auf dem Friedhof,Kerben,"Kriegerdenkmal, Engel",50.310238,7.356789
Hauptstraße,Kerben,"Katholische Kirche St. Goar; Saalbau, bezeichnet 1720, im Kern gotisch; vor der Kirche Wegekreuz, Basalt, bezeichnet 1734",50.310526,7.358083
Hauptstraße,Kerben,"Wegekreuz, 18. oder 19. Jahrhundert",50.310526,7.358083
Hauptstraße 3,Kerben,"Fachwerkhaus, teilweise massiv, 19. Jahrhundert",50.310738,7.354238
Hauptstraße 34,Kerben,"Hofanlage; Krüppelwalmdachbau, bezeichnet 1824",50.310019,7.357885
Hauptstraße 62,Kerben,"Bahnhof; Typenbau der Rhein-Hunsrück-Bahn; Basaltbruchstein, teilweise verputzt, um 1900",50.311458,7.362179
"Hauptstraße, Ecke Rüberer Straße",Kerben,"Kapelle, 19. Jahrhundert",50.310526,7.358083
"an der K 49, Richtung Rüber",Kerben,"Wegekreuz, bezeichnet 1745",49.160943,11.261586
Hauptstraße 12,Kerben,"Wohnhaus eines Gehöfts; Krüppelwalmdachbau, um 1800",50.310025,7.355828
Hauptstraße 15,Kerben,"Hofanlage; Fachwerkhaus, teilweise massiv, verputzt, wohl aus dem 18. Jahrhundert, bauliche Gesamtanlage",50.31025,7.356681
Hauptstraße 19,Kerben,"Hofreite; Mansarddachbau, Heimatstil, 1907, Bruchsteinscheune, 19. Jahrhundert, bauliche Gesamtanlage",50.310376,7.357256
