"Hauptstraße, Ecke Mayener Straße",Kollig,Bildstock,50.265144,7.277504
Alter Weg,Kollig,"Wegekreuz, Nischentyp, bezeichnet 1623",52.175219,10.536502
Kirchstraße,Kollig,"Katholische Kirche St. Willibrord; romanischer Turm, erste Hälfte des 12. Jahrhunderts; Saalbau, bezeichnet 1729",50.263837,7.275725
Mayener Straße,Kollig,"Wegekreuzfragment, Nischentyp, bezeichnet 1671",50.266008,7.277755
Mayener Straße,Kollig,"Meilensteinrest, Mitte des 19. Jahrhunderts",50.266008,7.277755
"Mayener Straße, Ecke Ecke Hauptstraße",Kollig,barockes Relief,50.266008,7.277755
an der K 30,Kollig,Wegekreuz,49.160943,11.261586
Brückenmühle,Kollig,"Kapelle; Backstein, um 1900; drei neugotische Figuren",50.265876,7.278132
Kolliger Mühle,Kollig,"Hofanlage; Krüppelwalmdachbau, teilweise Fachwerk, 18. Jahrhundert, Bruchsteinstall, Fachwerkökonomie, Mühlrad, wohl aus dem 19. Jahrhundert, Scheune, weiteres Mühlengebäude; neue Kapelle; Gesamtanlage",50.260589,7.260606
südlich von Kollig,Kollig,Wegekreuz,50.265876,7.278132
