Denkmalzone Jüdischer Friedhof (an der Bundesstraße),Kruft,"wohl um 1800 eröffnetes, eingezäuntes Areal; 46 Bestattungen zwischen 1851 und 1926",50.383005,7.334313
Bachstraße 5,Kruft,"Hof der Abtei Laach, Wildberger Hof; barocker Mansardwalmdachbau, 18. Jahrhundert",47.464906,9.572825
Bachstraße 13,Kruft,"Fachwerkhaus, teilweise massiv, verputzt, 18. Jahrhundert",47.464797,9.575295
Bahnhofstraße 20,Kruft,"Bahnhof; Tuffquaderbau mit Basaltquadergliederung, um 1877/78",50.392866,7.348785
Bahnhofstraße 35/37,Kruft,"Doppelhaus; stattlicher neubarocker Mansardwalmdachbau, um 1910/20",50.392866,7.348785
Bundesstraße,Kruft,"Kapelle; neugotischer Saal, erste Hälfte des 19. Jahrhunderts",50.385429,7.336999
Burgasse,Kruft,"Wegekreuz, mit neubarockem Altaraufsatz, barocker Auszug",50.381833,7.338912
auf dem Friedhof,Kruft,"Friedhofskreuz, 20. Jahrhundert",50.383005,7.334313
Große Gasse,Kruft,Mauerreste der Stadtmauer,50.382592,7.336182
Große Gasse 21,Kruft,"Propstei der Abtei Laach mit ehemaliger integrierter Kapelle (geweiht 1719); stattlicher zwölfachsiger barocker Mansardwalmdachbau mit Dachreiter über der Apsis; Wappen des Abtes Michael Godarth (1711–18), der den Bau initiierte; Große Gasse, Ecke Bundesstraße: Gragkreuz, 1811; Wegekreuz mit Kreuzigungsgruppe, bezeichnet 1757; bauliche Gesamtanlage mit ummauertem Garten (unter anderem mit Neubau des Kindergartens) und Gehöft mit Stall, bezeichnet 1762",50.382678,7.335454
(an) Hochstraße 1,Kruft,"Torbogen, bezeichnet 1604",50.38281,7.335813
"Hochstraße, Ecke Brückenstraße",Kruft,sogenannter Römerkeller,50.383666,7.337421
Kirchstraße,Kruft,"Katholische Kirche St. Dionysius und Sebastian; barocker Chor, ein Joch und Westturm, bezeichnet 1722; Turmaufstockung 1839/40, Architekt Johann Claudius von Lassaulx, neubarocke Haube 1912; barockisierender Halle, Architekt Peter Marx, Trier, unter querhausartiger Einbeziehung der älteren Kirche; Kriegerdenkmal, Anlage mit Soldat und Engel; alter Friedhof: neugotisches Friedhofskreuz, 19. Jahrhundert; 50 Grabkreuze, vornehmlich aus dem 17. und 18. Jahrhundert; Gesamtanlage mit altem Friedhof",50.385515,7.338338
Kolpingplatz 7,Kruft,"ehemalige Schule; Basaltbruchstein, Mitte des 19. Jahrhunderts, jetzt Rathaus",50.384786,7.339236
Kretzer Straße 21,Kruft,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",50.386446,7.342766
Ochtendunger Straße,Kruft,"Kapelle; neugotischer Saal, 19. Jahrhundert; innen zwei Reliefs, frühes 19. Jahrhundert",50.377083,7.342398
Wingertsberg,Kruft,"Wegekreuz, bezeichnet 1868",50.379892,7.342371
Wingertsberg,Kruft,"Kapelle; neugotischer Bruchsteinsaal, zweite Hälfte des 19. Jahrhunderts",50.379892,7.342371
am Wasserwerk,Kruft,"Bildstock, Schöpflöffelform",50.376888,7.341571
an der K 52 Richtung Ochtendung,Kruft,"Kreuz, Stein, 16. Jahrhundert",49.160943,11.261586
an der K 52 Richtung Ochtendung,Kruft,"Wegekreuz, bezeichnet 1662",49.160943,11.261586
an der K 52 Richtung Ochtendung,Kruft,"Wegekreuz, bezeichnet 1690 und 1882",49.160943,11.261586
östlich von Kruft,Kruft,Kapelle (relativ neu),50.383005,7.334313
südlich von Kruft auf dem Weg nach Fraukirch (Wellinger Weg),Kruft,"Bahnerhof, ehemalige Wasserburg der Prämonstratenserabtei Rommersdorf, doppelte Gräben erhalten, große Vierflügelanlage der Barockzeit, möglicherweise älterer Kern aus dem 13. Jahrhundert; Wohngebäude, bezeichnet 1739, Krüppelwalmdachbauten, Spitzbogenportal, 16. Jahrhundert, bezeichnet 1741; Kapelle, bezeichnet 1741; Bildstock, 16. Jahrhundert; Wegekreuz, bezeichnet 1703, erneuert 1912; Gesamtanlage","",""
südlich von Kruft auf dem Weg nach Welling,Kruft,"Kapelle; Mansardwalmdachbau, zweibogiger Eingang, bezeichnet 1801; Grabkreuz, 1910; Wegekreuz, 1813","",""
südwestlich von Kruft,Kruft,Wegekreuz,50.383005,7.334313
südwestlich von Kruft,Kruft,"Wegekreuz, bezeichnet 1659",50.383005,7.334313
