Alte Moselstraße 7,Löf,"Wegekreuz, Kreuzigungsgruppe, bezeichnet 1769",50.238056,7.441743
Alte Moselstraße 8,Löf,"im Hof: hoher dreigeschossiger Bruchschieferbau, Krüppelwalmdach, Wohnturm?",50.237975,7.441868
Alte Moselstraße 26,Löf,"Putzbau, Schildwand mit gotischen Fenstern, Schildgiebel",50.235889,7.443189
(an) Alte Moselstraße 32,Löf,"Türsturz, bezeichnet 1709",50.235636,7.44336
Dorfstraße 42,Löf,"Wegekapelle, bezeichnet 1701; Wegekreuz, 18. Jahrhundert",50.234357,7.442866
"Dorfstraße, Ecke Kornstraße",Löf,"Wegekreuz, Nischentyp, bezeichnet 1737",50.235734,7.442021
"Kornstraße, Ecke Alte Moselstraße",Löf,"Heiligenhäuschen mit zwei Reliefs, bezeichnet 1728",50.234149,7.443387
Niederbachstraße,Löf,"Katholische Pfarrkirche St. Luzia; gotischer Turm, Saalbau, 1737/38, Architekt Johannes Seiz, Erweiterung 1883/84; vor der Kirche: Skulpturen des Guten Hirten und Antonius von Padua; Grabkreuz, 1804; Grabkreuz, 1814; Friedhof: Kriegerdenkmal in Kapellenform; Wegekreuz, bezeichnet 1665 und 1666; Gesamtanlage von Kirche, Pfarrhaus und Friedhof",50.238425,7.441276
Niederbachstraße 5,Löf,"Winzergehöft; stattlicher Krüppelwalmdachbau, bezeichnet 1805",50.238315,7.441159
Niederbachstraße 10/12,Löf,"ehemaliges Pfarrhaus (?) Dreiflügelanlage; Krüppelwalmdachbau, 18. Jahrhundert, steinerne Scheune, bezeichnet 1699; weitere Scheune, Krüppelwalmdach; Gesamtanlage mit Kirche und Friedhof",50.239266,7.440745
(bei) Niederbachstraße 22,Löf,"Wegekreuz, Nischentyp, bezeichnet 1606",50.237946,7.440781
(bei) Niederbachstraße 26,Löf,"Heiligenhäuschen, Bildstocktyp",50.237514,7.441123
an der B 49 zwischen Löf und Kattenes,Löf,"Heiligenhäuschen, Michaels-Relief",54.137362,10.495574
"Denkmalzone Katteneser Mühlental (Mühltal 13, 15, 16/17, 18, 20, 21, 25)",Löf,"Fachwerkhäuser und Bruchsteinbauten des frühen 18. und 19. Jahrhunderts, teilweise verfallen",50.235429,7.443728
Am Bahnhof 5,Löf,"Bahnhof; Fachwerkbau mit eingeschossigen Fachwerkseitentrakten, bezeichnet 1880",50.254306,7.439515
Mühlstraße,Löf,Reste einer Schwengelpumpe mit Brunnenbecken,50.253218,7.440215
an der K 41 von Löf in Richtung Münstermaifeld,Löf,Wegekreuz,49.160943,11.261586
Kergeshöfe,Löf,"Kapelle; Bruchsteinbau mit Dachreiter, bezeichnet 1819",50.235429,7.443728
