auf dem Friedhof,Macken,"Friedhofskreuz, 19. oder 20. Jahrhundert",48.285616,9.734037
Hauptstraße,Macken,"Katholische Kirche St. Kastor; neubarocker Saalbau, separater Westturm, 1927, Architekt Josef Moritz, Müden; Kriegerdenkmal, reliefierter Pylon",50.174164,7.398435
Hauptstraße,Macken,"Wegekapelle, wohl aus dem 19. Jahrhundert",50.174164,7.398435
Hauptstraße 12,Macken,"Fachwerk-Quereinhaus, teilweise massiv und verputzt, Krüppelwalmdach, frühes 19. Jahrhundert",50.175457,7.402639
Hauptstraße 17,Macken,"Fachwerk-Quereinhaus, teilweise massiv und verschiefert, 19. Jahrhundert",50.174649,7.400753
Hauptstraße 65,Macken,"ehemalige Schule; Bruchsteinbau, Walmdach, bezeichnet 1848",50.173709,7.396899
Hauptstraße 71,Macken,"Wohnhaus eines Gehöfts, Fachwerkbau, teilweise massiv und verkleidete, Krüppelwalmdach, 18. Jahrhundert",50.173178,7.396387
Hauptstraße 97,Macken,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",50.172664,7.394554
Im Gässchen 5,Macken,"Fachwerkhaus, teilweise massiv, 19. Jahrhundert, Stall/Scheunentrakt; Gesamtanlage",50.17338,7.397456
"Hauptstraße, am Ortseingang",Macken,"Kapelle; Bruchsteinbau, 19. oder 20. Jahrhundert",50.174164,7.398435
östlich von Macken,Macken,"Wegekreuz; Gusseisen, wohl aus der Rheinböllener Hütte, Ende des 19. Jahrhunderts",50.173414,7.395902
