Denkmalzone Bachstraße 24–34,Mayen,"Siedlungsbau; Giebelrisalite, in der Mitte Mittelrisalit mit Walm, die zwei Seitenrisalite mit Krüppelwalmdach, um 1910/20","",""
Denkmalzone Jüdischer Friedhof (Waldstraße),Mayen,"1847 eröffnet, 203 Grabsteine, zum Teil nur Sockel erhalten, 1860 bis 1942",50.326688,7.223281
Denkmalzone Ostbahnhofstraße 30–42 (gerade Nummern),Mayen,"neubarocke Siedlungsbauten unter Mansardwalmdächern, zu zwei Zeilen zusammengezogen, bezeichnet 1921; Nr. 30/32 mit triumphbogenartigem Torbau","",""
Denkmalzone Ostbahnhofstraße 33–35 (ungerade Nummern),Mayen,"einheitliche späthistoristische Häuserzeile mit Tuffquaderfassaden und Basaltgliederungen; variierte Giebelrisalite und Zwerchgiebel bis auf Nr. 43 und 45; der Kopfbau Nr. 33 Gasthof mit anspruchsvoller neugotischer Fassade, bezeichnet 1903","",""
"Denkmalzone St.-Elisabeth-Krankenhaus (Siegfriedstraße 18, 20)",Mayen,"ehemalige Städtisches Krankenhaus; neubarocker schlossartiger Tuffquaderbau unter Mansardwalmdach mit rückwärtigen Seitenflügeln, 1906–09, in den 1950er Jahren umgebaut; vorgelagert Chefarztvilla von 1910 (Nr. 18), Tuffstein","",""
Denkmalzone Stadtbefestigung,Mayen,"Baubeginn wohl bald nach 1291 (Stadterhebung), 1329 als vollendet bezeichnet, die unteren Geschosse des „Wittbender“- und „Obertors“, des „Mühlen“-, „Vogels“- und „Pützhausturms“ wohl unter Erzbischof Balduin, Erhöhung der Türme und Aufstockung der Mauer im 15. und 16. Jahrhundert, bis 1944 fast vollständig erhalten; kreisrunder Bering mit ursprünglich vier Toren und 16 Wehrtürmen; von der Mauer erhalten größere Strecken am Boemund- und Habsburgring, in der Nähe des Wasserpförtchens und der Veitsstraße, im Norden entlang der Nette als Vollmauer; neben der Herz-Jesu-Kirche und Burg großer Bereich bezeichnet 1916 (rekonstruiert); fünfgeschossiges „Obertor“, Anfang des 14. Jahrhunderts, Ausbau im 15. Jahrhundert; „Wittbendertor“ 1390 erwähnt, 1944 zerstört, angrenzende Mauerreste; Mauerstraße: Reste der Stadtmauer, Schalenturm; „Mühlenturm“ im Nordwesten und angrenzende Mauerreste; Brückentor: Brücke und vorgelagerter Stadtgraben, Anfang des 14. Jahrhunderts, Wiederaufbau mit Treppenturm bezeichnet 1599; Mauer „Am Wasserpförtchen“ hinter der Steinmetzschule, zwei Bauphasen; „Vogelturm“ im Nordosten: mittelalterlicher Rundturm, Anfang des 14. Jahrhunderts, mit der Stadtmauer im 16. Jahrhundert erhöht",50.326688,7.223281
Denkmalzone Grubenfeld Mayen (Layerhof),Mayen,"Basaltabbau unter und über Tage; bereits in vor- und frühgeschichtlicher und in römischer Zeit durch Funde belegt; nach dem Zweiten Weltkrieg aufgegeben, Produktionsgebäude weitgehend erhalten",50.326688,7.223281
Alkenstraße 31,Mayen,"Bahnhof Mayen-West; Krüppelwalmdachbau mit eingeschossigen Anbauten, um 1900",50.328275,7.214172
Alleestraße 4,Mayen,"Rustikabau, im Obergeschoss Betonung der Mitte durch Pilaster und Dreiecksgiebel über dem Mittelfenster, um 1900",50.328879,7.227692
Alleestraße 6,Mayen,"Tuffquaderbau auf Basaltsockel, um 1910/20",50.329017,7.227683
