"Denkmalzone Lavakeller (Brauerstraße, Laacher-See-Straße)",Mendig,"am Nordrand von Niedermendig unter der Vulkanbrauerei gelegenes Labyrinth unterirdischer Basaltkammern, ab 1840 auch als Bierkeller genutzt",50.372539,7.281438
Denkmalzone Jüdischer Friedhof,Mendig,37 Grabsteine des 19. und 20. Jahrhunderts,50.372539,7.281438
Am Bahnhof,Mendig,"Kriegerdenkmal 1870/71, Obelisk",50.369275,7.29079
Am Bahnhof 5,Mendig,"sogenannter Kaiserbahnhof; Basaltquaderbau, 1877, mit abgetrepptem Giebel, Zinnen und Maßwerkfenster",50.370723,7.298147
Bachstraße 6,Mendig,"Putzbau, 18. Jahrhundert",50.370896,7.278734
Bahnstraße 13,Mendig,"späthistorischer Tuffquaderbau, bezeichnet 1897",50.370723,7.298147
Bahnstraße 27,Mendig,"dreigeschossiger Basaltquaderbau, 1875",50.370723,7.298147
(bei) Bahnstraße 30,Mendig,"Wegekreuz, bezeichnet 1651",50.370723,7.298147
Brunnenstraße 6,Mendig,"Putzbau, im Kern wohl aus dem 17. Jahrhundert",50.372228,7.279309
Brunnenstraße 7,Mendig,"dreigeschossiger neubarocker Mansardwalmdachbau, gusseiserner Balkon und Veranda, Mitte des 19. Jahrhunderts",50.372068,7.278725
auf dem Friedhof,Mendig,"stattliches Kreuz, bezeichnet 1735; Pfarrergrabmal, kreuzbekrönte Nische, 1920er Jahre",50.372539,7.281438
Heidenstockstraße,Mendig,"Evangelische Kirche; neugotischer Saalbau, um 1850",50.373533,7.280989
"Heidenstockstraße, Ecke Niederstraße",Mendig,"reliefierte Nische, 1920er Jahre",50.373533,7.280989
Kirchberg,Mendig,"Katholische Pfarrkirche St. Cyriakus; romanische Basilika, Ende des 12. Jahrhunderts, Turmobergeschosse von 1474, spätgotische Sakristei, romanisches Portal mit romanisierendem Türsturz, bezeichnet 1717; an der Nordseite angebaut dreischiffige, neugotische Basilika, 1852–57, Architekt Vincenz Statz, Köln; Friedhofskreuz, 16. Jahrhundert; barocker Treppenaufgang, bezeichnet 1748; Wegekreuz, bezeichnet 1692",50.371476,7.275357
Lessingstraße 1,Mendig,"neugotischer Tuffquaderbau, um 1900",50.370723,7.298147
Marktplatz,Mendig,"Kreuzigungsrelief, 19. Jahrhundert",50.37224,7.281474
Marktplatz 1–3,Mendig,"ehemalige Realschule; späthistoristischer Tuffquaderbau, um 1900/10",50.372108,7.280432
Marktplatz 4,Mendig,"Verwaltungsgebäude; Putzbau mit Rundbogenfenstern, zweite Hälfte des 19. Jahrhunderts",50.3722,7.281402
Marktplatz 5,Mendig,"ehemalige Schule; Basaltbruchsteinbau, Mitte des 19. Jahrhunderts",50.371987,7.280261
(bei) Mühlenweg 3,Mendig,"Wegekreuz, bezeichnet 1720",51.753377,8.032771
Niederstraße 6,Mendig,"Fachwerkhaus, teilweise massiv, verputzt, Krüppelwalmdach, bezeichnet 1844; Bruchsteinhaus, bezeichnet 1815",50.371539,7.279866
Pellenzstraße 1/3,Mendig,"Basaltbruchsteinbau, erste Hälfte des 19. Jahrhunderts; Ökonomietrakte, Basaltbruchsteinbau; Gesamtanlage",50.372918,7.279911
(an) Pellenzstraße 50,Mendig,Neurenaissancenische mit kleiner Skulptur,50.373498,7.275294
"Pellenzstraße, Ecke Backeleyenstraße",Mendig,"Grabkreuz, bezeichnet 1713",50.374952,7.267712
"Pellenzstraße, Ecke Kaplan-Schlicker-Straße",Mendig,"Wegekapelle; gotisierender Basaltbruchsteinbau, erste Hälfte des 19. Jahrhunderts; Votivkreuz, bezeichnet 1697",50.374952,7.267712
"Pellenzstraße, Ecke Schäferspforte",Mendig,"Wegekreuz, 18. oder 19. Jahrhundert; neubarockes Kreuz",50.374952,7.267712
Saunsstraße 2,Mendig,"Hofanlage; stattlicher Putzbau, bezeichnet 1838",50.371867,7.278914
Saunsstraße 7/9,Mendig,"Putzbau, bezeichnet 1741, eventuell älter",50.371648,7.278905
Saunsstraße 15,Mendig,"Putzbau, im Kern wohl spätmittelalterlich",50.371395,7.279067
Thürer Straße,Mendig,"Bildstock, Schöpflöffelform, 16. oder 17. Jahrhundert; Wegekreuz, bezeichnet 1689",50.368339,7.277126
an der K 55 Richtung Obermendig,Mendig,"Wegekreuz, bezeichnet 1697",49.160943,11.261586
in der Nähe des jüdischen Friedhofs,Mendig,"Bildstock; Nische mit Bildnis Christ, bezeichnet 1628",50.372539,7.281438
Fallerstraße,Mendig,"Relief „Flucht nach Ägypten“, 1920er Jahre",50.370068,7.265116
Fallerstraße,Mendig,"Wegekreuz, bezeichnet 1659",50.370068,7.265116
