(an) Auf dem Nippes 38,Mülheim-Kärlich,"Wegekreuz, bezeichnet 1713",50.384539,7.490827
Burgstraße 3,Mülheim-Kärlich,"Fachwerkhaus, teilweise massiv, wohl aus dem 19. Jahrhundert",50.388226,7.485329
Burgstraße 8,Mülheim-Kärlich,"späthistoristische Backsteinvilla, um 1900; Gesamtanlage mit Garten",50.38845,7.486865
Burgstraße 9,Mülheim-Kärlich,"Burghof, wohl ehemals kurfürstlicher Erblehnshof; um 1710, Erweiterung 1775, Hoftor bezeichnet 1767; Fachwerkhaus, teilweise massiv, 18. Jahrhundert; bauliche Gesamtanlage",50.388599,7.485571
"Burgstraße, Ecke Clemensstraße",Mülheim-Kärlich,"Wegekreuz, bezeichnet 1722",50.389231,7.485877
Hauptstraße 1,Mülheim-Kärlich,"Fachwerkhaus, teilweise massiv, bezeichnet 1653",50.387996,7.484925
Im Grünen Meer 5/7,Mülheim-Kärlich,"Fachwerkhaus, teilweise massiv, bezeichnet 1712, Fachwerkanbau aus dem 19. Jahrhundert",50.387617,7.483442
Kirchstraße,Mülheim-Kärlich,"Katholische Kirche St. Mauritius; Chor einer 1217 erwähnten Kirche, nördlicher Nebenchor aus der zweiten Hälfte des 15. Jahrhunderts, neuromanischer Turm, 1903, Regierungsbaumeister Leopold Schweitzer, Koblenz; dreischiffige romanisierende Halle, expressionistische Fassade, 1931/32, Architekten Ludwig Becker und Anton Falkowski, Mainz; außen: Relief des Schweißtuchs der Veronika, um 1500; Votivkreuz, bezeichnet 1768[1]",50.387433,7.485877
Kirchstraße 15,Mülheim-Kärlich,"ehemaliger Prälatenbau; Krüppelwalmdachbau, um 1800",50.387456,7.485976
Kirchstraße 18/20,Mülheim-Kärlich,"Fachwerkhaus, teilweise massiv, verputzt, 18. oder 19. Jahrhundert",50.387169,7.486173
nördlich von Kärlich am Rhein (Stromkilometer 605) neben dem Kernkraftwerk Mülheim-Kärlich,Mülheim-Kärlich,"Kapelle Am Guten Mann, Basaltlava und Tuff, nach einem Entwurf von Johann Claudius von Lassaulx, 1838; mit Ausstattung[2]",52.866262,14.057547
zwischen Urmitz und Mülheim,Mülheim-Kärlich,Grenzstein,50.386514,7.497357
"





Burgstraße 9",Mülheim-Kärlich,"Burghof


",50.388599,7.485571
"





nördlich von Kärlich am Rhein",Mülheim-Kärlich,"Kapelle Am Guten Mann


",52.866262,14.057547
Denkmalzone Jüdischer Friedhof (Lohrweg),Mülheim-Kärlich,"um 1850 gegründet, etwa 15 Grabsteine von 1862 bis 1941",50.386514,7.497357
Bachstraße 1,Mülheim-Kärlich,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert, bezeichnet 1650 (?)",50.386227,7.499477
Bachstraße 25,Mülheim-Kärlich,"Fachwerkhaus, verputzt, 19. Jahrhundert",50.38474,7.498166
"Bahnhofstraße, Ecke Kaltenengerser Weg",Mülheim-Kärlich,"Dreifaltigkeitskapelle; Putzbau, bezeichnet 1880",50.393774,7.526139
"Bassenheimer Straße, Ecke Luisenstraße",Mülheim-Kärlich,"Bildstock, bezeichnet 1639",50.384768,7.49521
"Bergstraße, Ecke Bachstraße",Mülheim-Kärlich,"Wegekreuz, Nischentyp, bezeichnet 1719",50.384275,7.500834
auf dem Friedhof,Mülheim-Kärlich,"Kriegerdenkmal, Ädikula; Grabkreuze",50.386514,7.497357
(zu) Kapellenstraße 16,Mülheim-Kärlich,"ehemalige Marienkapelle (jetzt Sitzungssaal des Rathauses); einschiffiges Langhaus, bezeichnet 1313, barocker Dachreiter, Türsturz bezeichnet 1898, neugotischer Anbau",50.386825,7.497483
Kapellenstraße 22,Mülheim-Kärlich,"Wegekreuzfragment, bezeichnet 1658",50.386756,7.497753
Kärlicher Straße 29,Mülheim-Kärlich,"Backsteinbau, um 1900; Muttergottes-Skulptur",50.386738,7.494492
Kärlicher Straße 48,Mülheim-Kärlich,Villa; expressionistischer Putzbau,50.386888,7.493674
"Kurfürstenstraße, Ecke Poststraße",Mülheim-Kärlich,"Wegekreuz, 20. Jahrhundert",50.38845,7.495183
Pfarrer-Rödelstürtz-Straße,Mülheim-Kärlich,"Katholische Pfarrkirche Maria Himmelfahrt; querhauslose neugotische Hallenkirche, Tuffsteinquader, 1888–90/91; bauliche Gesamtanlage mit Pfarrhaus",50.385176,7.496818
Pfarrer-Rödelstürtz-Straße 1,Mülheim-Kärlich,"Pfarrhaus; zweiflügeliger neugotischer Tuffquaderbau, Architekt Caspar Clemens Pickel, Düsseldorf; Gesamtanlage mit Kirche",50.385417,7.497142
Ringstraße 5,Mülheim-Kärlich,"Wohnhaus, Basaltlava mit Einsätzen aus Tuffstein, 19. Jahrhundert, dreigeteilte Tür mit Immaculata-Relief, 18. Jahrhundert",50.386968,7.499262
Rübenacher Straße 30,Mülheim-Kärlich,"Fachwerkhaus, teilweise massiv, 19. Jahrhundert",50.384659,7.498947
(an) Rübenacher Straße 40,Mülheim-Kärlich,frühklassizistische Tür,50.384257,7.498435
"Rübenacher Straße, Ecke Lohrweg",Mülheim-Kärlich,"Kapelle; Backstein, Ende des 19. Jahrhunderts",50.393774,7.526139
Winninger Straße (südlich am Ortsausgang),Mülheim-Kärlich,"Kapelle mit Glockentürmchen, 1935/36; Kreuzwegstationen[3]",50.380897,7.500268
bei der Heckenmühle,Mülheim-Kärlich,"Kapelle; Saalbau, wohl älterer Kern, Umgestaltung in den 1950er Jahren; Wegekreuz",50.386514,7.497357
"





(bei) Kapellenstraße 16",Mülheim-Kärlich,"ehemalige Marienkapelle


",50.386825,7.497483
"





Pfarrer-Rödelstürtz-Straße",Mülheim-Kärlich,"Katholische Pfarrkirche Maria Himmelfahrt


",50.385176,7.496818
↑ Kath. Kirchengemeinde St. Mauritius Kärlich (Hrsg.),Mülheim-Kärlich,Pfarrei und Pfarrkirche St. Mauritius Kärlich. Mülheim-Kärlich 1991.,26.996536,94.614051
↑ Udo Liessem,Mülheim-Kärlich,"Studien zum Werk von Johann Claudius von Lassaulx. Görres-Verlag, Koblenz 1989, ISBN 3-920388-03-8.",50.386514,7.497357
