Denkmalzone Frankenstraße 22–30 (gerade Nummern),Münstermaifeld,"zeile spätgründerzeitlich geprägter Wohnhäuser, um 1900; Putzbauten mit backsteingliederung und Zwechgiebeln, Nr. 30 mit Eckturm; Nr 24 bezeichnet 1903","",""
Denkmalzone Friedhof (Bahnhofstraße),Münstermaifeld,"fünf Grabkreuze, Basalt, bezeichnet 1661, 1720, 1632, 1593 und 1646; fünf Grabsteine, neugotisch, vier bezeichnet 1855, einer bezeichnet 1862; Obelisken 1834, Grabplatte 1822; neugotisches Kruzifix, 1862; zwei Grabkreuze, eines bezeichnet 1619; Kreuz, um 1800; Friedhofskreuz, neugotischer Aufbau, Mitte des 19. Jahrhunderts, davor fünf Pfarrergrabmale",50.245735,7.363553
"Denkmalzone Ortskern (Bornstraße 1; Heilig-Geist-Spital 1, 3/4; Herrenstraße 1–7 (ungerade Nummern), 2, 6–24 (gerade Nummern); Martinsstraße; Michelstraße; Münsterplatz; Obertorstraße 1–29 (ungerade Nummern) und 2–38 (gerade Nummern); Stiftsstraße 1–5 (ungerade Nummern), 2, 4, 10, 12, 20–34 (gerade Nummern); Untertorstraße 1–35 (ungerade Nummern) und 2–20 (gerade Nummern))",Münstermaifeld,"Ortskernbereich entlang und nördlich von Ober- und Untertorstraße einschließlich des ehemaligen Stiftsbezirkes; die Denkmalzonen umfasst einen Großteil des Bereiches innerhalb der Stadtmauer; in diesem Bereich lassen sich an dem großteils geschlossenen, wenn auch abschnittweise modern überformten Baubestand zwischen Spätmittelalter und 19. Jahrhundert die historischen stadträumlichen Bezüge am besten nachvollziehen.","",""
Denkmalzone Stiftsbezirk (Münsterplatz 4–14 (gerade Nummern); Stiftsstraße 1–5 (ungerade Nummern) und 24–34 (gerade Nummern)),Münstermaifeld,"Bereich der ehemaligen Stiftsimmunität unter anderem mit Stiftskirche, Dechanei, Propstei und Stiftsherrenhäuser; der bis in die Gegenwart im Katasterplan ablesbar gebliebene Stiftsbereich veranschaulicht mit seinem Baubestand seit dem Mittelalter die spezifischen historischen Funktionszusammenhänge eines bedeutenden Kanonikerstifts","",""
Am Bahnhof 1–3,Münstermaifeld,"Bahnhof; neubarocker Putzbau, 1915",50.251265,7.356178
Bornstraße 9,Münstermaifeld,"„Schönecker‘sche Burg“; im Kern gotischer Wohnturm, im 20. Jahrhundert stark überformt",50.246386,7.361388
Frankenstraße,Münstermaifeld,ummauerter Garten,50.246801,7.364928
Frankenstraße 15,Münstermaifeld,"Mansarddachvilla, um 1910",50.247625,7.365413
Frankenstraße 32/34,Münstermaifeld,"neubarocker Mansarddachbau, um 1910",50.247596,7.365637
Herrenstraße 18,Münstermaifeld,"ehemaliges Stiftsherrenhaus; Putzbau, im Kern aus der ersten Hälfte des 18. Jahrhunderts, Fassadengliederung um 1830/40",50.247049,7.363508
