Bachstraße,Niederfell,"Kapelle, 19. Jahrhundert; drei Skulpturen, 19. Jahrhundert",50.293535,7.467183
Bachstraße 12,Niederfell,"Schwalbermühle; dreigeschossiger Krüppelwalmdachbau, teilweise Fachwerk, 19. Jahrhundert (50° 17′ 37″ N, 7° 28′ 2″ O50.2936777777787.4671669444444)",50.293357,7.467803
Engelstraße 3,Niederfell,"Fachwerkhaus, teilweise verputzt, 18. Jahrhundert",50.292096,7.463733
Kehrstraße 16,Niederfell,"Hofanlage; Bruchschieferbau, 19. Jahrhundert, Fachwerkscheune, teilweise massiv; bauliche Gesamtanlage",50.290468,7.463024
(an) Kehrstraße 24,Niederfell,Barockmadonna in expressionistischer Nische,50.290157,7.463715
Kirchstraße,Niederfell,"Katholische Pfarrkirche St. Lambertus; Saalbau, 1792, Architekt Michael Wirth, Erweiterung 1872; Turm 1955; neben der Kirche 39 Grabkreuze, 18. und 19. Jahrhundert (50° 17′ 37″ N, 7° 27′ 44″ O50.2936777777787.4621416666667)",50.289886,7.461802
Kirchstraße 13,Niederfell,"Krüppelwalmdachbau, bezeichnet 1789",50.289777,7.462072
Moselstraße 7,Niederfell,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",50.292557,7.463473
Moselstraße 13/15,Niederfell,"stattliches Fachwerkhaus, um 1900",50.292309,7.463158
Marktstraße,Niederfell,"Wegekreuz, bezeichnet 1652",53.520033,8.107224
Marktstraße 93/95,Niederfell,"sogenannter Domhof; Putzbau, Schildgiebel, im Kern aus dem 13. Jahrhundert, Umbau im 16. Jahrhundert, renoviert 1987",53.520167,8.107718
Arkenwälder Hof,Niederfell,"Kapelle; Bruchstein, 18. Jahrhundert",50.290778,7.461766
