Denkmalzone Burgruine Wernerseck,Ochtendung,"fünfeckige Hauptburg, Bergfried, Kapelle, Reste eines Palas, Mannschafts- oder Burgmannsgebäude, drei Schalentürme; Torweg aus dem 16. Jahrhundert; zwingerartige Vorburg; Kreuze bei der Ruine",50.348708,7.389667
Denkmalzone Emminger Hof,Ochtendung,"große Hofreite, bezeichnet 1786, Putzbau mit Krüppelwalmdach, Grenzsteine, Kreuz; Emminger Hof 1, Gehöft, neugotisches Wohnhaus, um 1900, großer Garten; Kapelle zur heiligen Familie, Basaltbau über kreuzförmigen Grundriss, bezeichnet 1881; Grabmal, 1846; Bildstock, 17. oder 18. Jahrhundert; Brunnenhaus, frühes 19. Jahrhundert",50.348708,7.389667
Denkmalzone Jüdischer Friedhof,Ochtendung,"gegründet um 1875, Grabstein F. S. Cahn, geboren 1790",50.348708,7.389667
Bahnhofstraße,Ochtendung,"Bahnhof; Krüppelwalmdachbau, Erkertürmchen, vor 1904; Bahnhofsgaststätte, Walmdachbau, Eingangsrisalit; Verladehalle, Fachwerk, Putzbau, Gleiskörper",50.34765,7.400537
auf dem Friedhof,Ochtendung,"Kapelle, innen Kyffhäuserfahne, 1860; 40 Grabkreuze, 16. bis 19. Jahrhundert; Priestergrabmal, 19. Jahrhundert; Grabkreuz, 19. Jahrhundert; Wegekreuzfragment, bezeichnet 1701; Wegekreuz, bezeichnet 1814; Grabkreuz; Grabkreuz, Gusseisen, Rheinböllener Hütte, Ende des 19. Jahrhunderts; Kriegerdenkmal für die Kriege von 1815, 1843, 1864, 1870/71, Basalt-Obelisk",50.348708,7.389667
Hauptstraße,Ochtendung,"Katholische St.-Martins-Kirche; Neubau, 1957/58, Architekt Alfons Leitl, Trier, Fenster nach Entwurf von Georg Meistermann; Turm, angeblich aus dem 11. Jahrhundert, barockes Glockengeschoss; Kriegerdenkmal, Bronzeplastik",50.348116,7.384583
Hauptstraße 12,Ochtendung,"ehemalige Schule; Basaltquaderbau, Rundbogenstil, 1834, Architekt Johann Claudius von Lassaulx, Koblenz",50.348748,7.389515
(bei) Hauptstraße 43,Ochtendung,"Wegekreuz, bezeichnet 1631; Bildstock, 19. Jahrhundert",50.348507,7.385858
Klöppelsgasse 27,Ochtendung,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert, Umbau im 19. Jahrhundert",50.348869,7.386891
Koblenzer Straße 7,Ochtendung,"Basaltbruchsteinbau, um 1910",50.349737,7.392093
Saalgangstraße 8,Ochtendung,"ehemalige Zehntscheune; eingeschossiger Fachwerkbau, 18. Jahrhundert",50.348288,7.390754
Alzinger Hof,Ochtendung,"Kapelle, bezeichnet 1803",50.348708,7.389667
an der Ausfallstraße nordwestlich von Ochtendung,Ochtendung,"Wegekreuz, Basalt, bezeichnet 1711",50.348708,7.389667
an der B 258 Richtung Mayen,Ochtendung,"Wegekreuz, Basalt, bezeichnet 1725",54.137362,10.495574
an der K 94,Ochtendung,"Wasserwerk; Grottenarchitektur, bezeichnet 1893",49.160943,11.261586
an der K 94,Ochtendung,Wegekreuzfragment,49.160943,11.261586
an der L 117,Ochtendung,"Wegekapelle; Kreuzdach, 19. Jahrhundert",53.975883,10.588352
Fressenhöfe,Ochtendung,"Hofanlage; Walmdachbau, bezeichnet 1678, Erweiterung im 19. Jahrhundert, Fachwerkanbau; Fachwerkscheune, Walmdach, 17. oder 18. Jahrhundert; Kapelle St. Potentinius, neugotischer Saalbau, bezeichnet 1853",50.348708,7.389667
Heselermühle,Ochtendung,Bildstock,50.348708,7.389667
Sackenheimer Höfe an der K 95,Ochtendung,Wegekreuz,50.348708,7.389667
"südwestlich von Ochtendung, bei den Waldorfer Höfen",Ochtendung,Wegekreuz,"",""
Waldorfer Höfe,Ochtendung,"Kapelle; Wegekreuz, bezeichnet 1681; Grabstein, 19. Jahrhundert",50.348708,7.389667
