(bei) Eltzalstraße 3,Pillig,Schwengelpumpe,"",""
auf dem Friedhof,Pillig,"Friedhofskreuz, bezeichnet 180(?)",50.238978,7.311891
Hauptstraße 19,Pillig,"ehemalige Schule; Basaltbruchsteinbau, teilweise verputzt, Walmdach, 1910",50.240718,7.313086
"Hauptstraße, Ecke Pyrmonter Straße",Pillig,"Brunnenanlage, Basalt, 1742",50.240401,7.313266
Pyrmonter Straße,Pillig,"Brunnen, bezeichnet 1663",50.239001,7.309798
Pyrmonter Straße,Pillig,"Katholische Pfarrkirche St. Firmin; spätgotischer Turm, Teile der Turmnordwand noch spätromanisch, barocker Saalbau, bezeichnet 1772; Kriegerdenkmal, Engel; neben der Kirche: Wegekreuz, bezeichnet 1665; Wegekreuz, Nischentyp, bezeichnet 1682",50.239001,7.309798
Pyrmonter Straße 20,Pillig,"Hofanlage; dreigeschossiger Bruchsteinbau, Krüppelwalmdach, 20. Jahrhundert",50.239335,7.309798
am Ortsrand von Pillig,Pillig,"Kapelle; Bruchstein, 19. Jahrhundert",50.238978,7.311891
an der K 35 Richtung Burg Pyrmont,Pillig,"Kalvarienberg, bezeichnet 1652",49.160943,11.261586
nördlich von Pillig,Pillig,"Wegekreuz, bezeichnet 1684",50.238978,7.311891
