(bei) Alter Kirchplatz 3,Plaidt,"Wegekreuz, bezeichnet 1650",50.39073,7.390584
An der Pfaut,Plaidt,"Kapelle, wohl aus dem 19. Jahrhundert",50.389288,7.387197
Brückenstraße 5a,Plaidt,"Quereinhaus, neubarocker Giebel, um 1900/10",50.395657,7.392353
"Fraukircher Straße, Ecke Wankelburgsweg",Plaidt,"Wegekreuzfragment, Nischentyp, bezeichnet 1649 (?); Grabkreuz, bezeichnet 1822; Bildstock mit Nische; Rest eines Kreuzwegs, Bildstock mit Dornenkrönungsszene, wohl aus dem 19. Jahrhundert",50.380547,7.390027
auf dem Friedhof,Plaidt,"Friedhofskreuz; Grabmal Herfeld, Säulenädikula, Skulptur, 1890er Jahre",50.396088,7.403879
Mayener Straße 2,Plaidt,"späthistoristischer Putzbau, Fachwerkgiebel, um 1900",50.396088,7.403879
Miesenheimer Straße 12a,Plaidt,"Neurenaissancebau, 1740 begonnen (?), 1890 überformt",50.391339,7.394428
Mühlenstraße,Plaidt,"Katholische Pfarrkirche St. Willibrord; dreischiffige neugotische Basilika, Basaltquader, 1859/60, Architekt Vincenz Statz, Köln; neben der Kirche Kapelle, 19. Jahrhundert, Kreuzigungsgruppe, barockes Relief, Wappen, bezeichnet 168(?); Kriegerdenkmal, Portikus auf Säulen, Engel, Soldaten; Gesamtanlage mit Pfarrhaus",50.389208,7.393494
Mühlenstraße 10,Plaidt,"Pfarrhaus; Säulenportikus, 1920er Jahre; Gesamtanlage mit Kirche",50.390288,7.392219
(an) Niederstraße 29,Plaidt,"Altar mit Nische, bezeichnet 1833",50.388737,7.390215
am Ortsrand,Plaidt,"Kapelle, 19. Jahrhundert; Wegekreuz, bezeichnet 1666",50.396088,7.403879
nördlich von Plaidt,Plaidt,"Wasserbehälter; Zinnenkranz, Anfang des 20. Jahrhunderts",50.396088,7.403879
südwestlich von Plaidt,Plaidt,"Kapelle, Putzbau, 19. Jahrhundert; Kreuzwegstationsrelief, 19. Jahrhundert",50.396088,7.403879
südwestlich von Plaidt,Plaidt,"Wegekreuz, bezeichnet 1894",50.396088,7.403879
südwestlich von Plaidt,Plaidt,"Wegekreuz, Nischentyp, 17. Jahrhundert",50.396088,7.403879
