"Denkmalzone Am Bahnhof 1, 5/7, Bahnhofstraße 34, 35",Polch,"Bahnhof (Am Bahnhof 5/7), um 1904/05; Am Bahnhof 1: ursprünglich wohl Wohnhaus für Bahnbedienstete: ehemaliges Postamt (Bahnhofstraße 35): neubarocker Giebelrisalitbau; zugehörig Bahnhofstraße 34: Bahnhofsgaststätte, Backsteinbau, alle um 1900/10","",""
Denkmalzone Friedhof mit Georgskirche,Polch,"Georgskirche dreischiffige querhauslose romanische Basilika, um 1200, eventuell älter, Obergaden mit Okuli, wahrscheinlich kurz nach 1739, Ausstattung; Friedhof: 1806 angelegt, 88 Grabkreuze, 16. und 17. Jahrhundert; Kreuzwegstationen: Bildstocktyp, in die Mauer eingelassen, Reliefs, 18. Jahrhundert; vor der Kapelle neugotische Grabkreuze, Ende des 19. oder Anfang des 20. Jahrhunderts; neugotisches Friedhofskreuz, 19. Jahrhundert; Kriegerdenkmal, 1950er Jahre; zugehörig: Grabmäler Familie Berressen-Loch 1925, Familie Nell 1927, Familie Hermann 1929, Familie Reth, 1930er Jahre; Kriegerdenkmal 1864, 1866, 1870/71: Obelisk mit Adler, flankiert von Löwen auf Postamenten, 1906","",""
(bei) Albert-Lortzing-Straße 12,Polch,"Wegekreuz, Nischentyp, 17. oder 18. Jahrhundert",50.293299,7.303483
Am Bahnhof 1,Polch,"eingeschossiger Krüppelwalmdachbau, Basaltsockel, historisierend-romantischer Stil, um 1900/10",50.303915,7.310553
Am Bahnhof 5/7,Polch,"Bahnhof; mehrgliedriger Putzbau, Verladebahnhof, teilweise Fachwerk, Jugendstiltür, um 1904/05",50.304146,7.311262
(zwischen) Bach- und Mennstraße,Polch,"Brunnen, 1854",47.892649,13.59858
Bachstraße 19,Polch,Hospitalkapelle St. Josef; neugotischer Saalbau; neugotische Josefsskulptur; bauliche Gesamtanlage mit dem ehemaligen Hospital St. Josef (heute Caritas-Sozialstation),50.300578,7.306115
Bahnhofstraße 33,Polch,"neubarocke Villa, Jugendstilornamente, um 1900/10, Gartenzaun; Gesamtanlage",50.303144,7.310023
Bahnhofstraße 35,Polch,"ehemaliges Postamt; neubarocker Putzbau, Basaltsockel, um 1900/10",50.303639,7.309906
"Bahnhofstraße, Ecke Ackerstraße",Polch,"Denkmal für die Mütter; „1914/18 Söhne des Maifelds gedenket der Taten der Mütter“, Relief mit drei Müttern, 1920er Jahre",50.302189,7.310544
"Bahnhofstraße, Ecke Viedelstraße",Polch,Wegekreuz,50.302189,7.310544
"Blumenbergstraße, Ecke Sankt-Georgen-Straße",Polch,"Kreuz, bezeichnet 1593; Wegekreuz, Nischentyp, bezeichnet 1946",50.298725,7.319132
"Kehrstraße, Ecke Im Bienengarten",Polch,"neugotische Kapelle, 1881; Wegekreuz, 1785",50.303639,7.306187
Marktplatz,Polch,"Katholische Pfarrkirche St. Stephan und Georg; neugotische dreischiffige Hallenkirche, 1849–52, Architekt Hermann Nebel, Koblenz, Pläne 1847/48 von Johann Claudius von Lassaulx; Stephanusportal",50.29861,7.31287
Marktplatz 4,Polch,"Rathaus; Bruchsteinbau, Ecktourellen, 1859, Architekt Hermann Nebel",50.298587,7.312224
Marktstraße 2/4,Polch,"Hof der Abtei St. Matthias; dreiflügelige Barockanlage; barocker Adelshof, Mansardwalmdachbau, bezeichnet 1748; Gehöft, Eckbau bezeichnet 1755, separate Putzbauten, Hofportal; bauliche Gesamtanlage",50.299427,7.313239
Marktstraße 11,Polch,"Putzbau, Rustikasockelgeschoss, bezeichnet 1849",50.299226,7.314137
Ostergasse 11,Polch,"ehemalige Synagoge, bezeichnet 5637 (= 1877), Ecktürmchen und Rundbogenfenster",50.298156,7.314694
(an) Ostergasse 15,Polch,"Relief, 18. Jahrhundert",50.297937,7.314847
Pastorstraße 1,Polch,"Fachwerk-Doppelhaus, verkleidet, Krüppelwalmdach, im Kern aus dem 17. oder 18. Jahrhundert",50.296965,7.312394
Pastorstraße 22,Polch,"Krüppelwalmdachbau, 19. Jahrhundert",50.297344,7.314128
(bei) Sankt-Georgen-Straße 39,Polch,"Wegekreuz, bezeichnet 1742",47.502266,8.736026
(bei) Vormaystraße 22a,Polch,"Bildstock, Backstein; Kreuz, bezeichnet 1789",50.300636,7.316212
"am Ortsrand, in der Nähe des Friedhofs",Polch,"Bildstock mit Nische und Relief, 19. Jahrhundert; Wegekreuz, bezeichnet 1724",48.561293,10.389061
"an der L 52, Ortsausgang",Polch,"Meilenstein; dreieckiger Obelisk, Mitte 19. Jahrhundert",53.975883,10.588352
"an der L 52, westlich von Polch",Polch,"Wasserbehälter; Backsteinbau, bezeichnet 1896",53.975883,10.588352
an der L 52,Polch,"Wegekreuz, Basalt, bezeichnet 1716",53.975883,10.588352
