Denkmalzone Schlosspark,Saffig,"vom im 18. Jahrhundert erbauten, Anfang des 19. Jahrhunderts abgerissenen Schloss erhalten: sogenanntes Schlösschen: zwei pavillonartige Nebengebäude, um 1751, um 1900 zu neubarocker Wohnanlage erweitert; im Schlosspark Gartenpavillon mit Wasserspielen, 18. Jahrhundert; am Parkeingang zwei rustizierte Pfeiler mit Pinienzapfen; Grotte mit Wasserspender, Bronzelöwe, 1890",50.379679,7.415997
"Alter Mühlenweg, Ecke Neuwieder Straße",Saffig,"Wegekreuz, bezeichnet 1648",50.384062,7.412844
Friedhofstraße,Saffig,"Kapelle, 19. Jahrhundert; barockes Relief",50.375262,7.420749
Hauptstraße,Saffig,"Katholische Kirche St. Cäcilia; Saalbau mit querhausartigen Annexen, 1738–48, Architekten Johann Georg Seitz und Johannes Seiz nach Plänen von Balthasar Neumann, moderner Anbau, 1958–60, Architekt J. Klein, Essen; vor der Kirche Kriegerdenkmal, reliefierter Pylon; Wegekreuz, bezeichnet 1722",50.378565,7.417776
Hauptstraße 31,Saffig,"katholisches Pfarrhaus; Krüppelwalmdachbau, Ende des 18. Jahrhunderts; Gesamtanlage mit Garten",50.378157,7.418377
Hauptstraße 33,Saffig,"Krankenhaus der barmherzigen Brüder „Maria Hilf“; kreuzförmiger Bau, bezeichnet 1900, neubarocke Erweiterung aus den 1920er Jahren; Gesamtanlage",50.378059,7.418934
Am Klöppelsberg,Saffig,"ehemalige Synagoge; Basaltbruchsteinsaal, Backsteintreppengiebel, 1848–55",50.378864,7.418243
(bei) Neuwieder Straße 35,Saffig,"Sockel mit Festonkartusche, 18. Jahrhundert",50.381127,7.420039
"Ochtendunger Straße, Ecke Lonniger Straße",Saffig,"Kreuzstumpf, bezeichnet 1692",50.377364,7.413509
an der K 63 Richtung Miesenheim,Saffig,"Wegekreuz, bezeichnet 1678",49.160943,11.261586
an der K 63 Richtung Ochtendung,Saffig,"Wegekreuz, 18. oder 19. Jahrhundert",49.160943,11.261586
Wegekreuz,Saffig,"Nischentyp, 17. Jahrhundert",50.379679,7.415997
