Hauptstraße 1,Sankt Sebastian (am Rhein),"Fachwerkhaus, teilweise massiv, wohl aus dem 18. Jahrhundert",48.019644,11.010363
Hauptstraße 24,Sankt Sebastian (am Rhein),"Fachwerkhaus, teilweise massiv, 18. oder 19. Jahrhundert",50.085524,10.143237
Hauptstraße 31/33,Sankt Sebastian (am Rhein),"Nr. 31 Fachwerkhaus, bezeichnet 1767; Nr. 33 Fachwerkhaus verputzt, wohl aus dem 19. Jahrhundert, Scheune bezeichnet 1907; Gesamtanlage",48.053371,10.415148
Hauptstraße 60,Sankt Sebastian (am Rhein),"Fachwerkhaus, teilweise massiv, bezeichnet 1707",48.053371,10.415148
Hauptstraße 62,Sankt Sebastian (am Rhein),"Streckhof; Schieferbruchsteinbau, zweite Hälfte des 19. Jahrhunderts; bauliche Gesamtanlage",48.053371,10.415148
Heimesgasse 2,Sankt Sebastian (am Rhein),"Fachwerkhaus, verputzt, 19. Jahrhundert",50.411819,7.563132
Kesselheimer Straße,Sankt Sebastian (am Rhein),"Brunnen, Gusseisen, Sayner Hütte, zweite Hälfte des 19. Jahrhunderts",50.408765,7.567309
Kirchstraße,Sankt Sebastian (am Rhein),"Katholische Pfarrkirche St. Sebastian; barocker Saalbau, 1789, Architekt Michael Wirth, Ehrenbreitstein, Erweiterung 1902, Glockenturm im Kern romanisch; Kapelle, 19. Jahrhundert, Neurenaissance-Relief; Friedhof, 13 Grabkreuze, 16. bis 18. Jahrhundert; Wegekreuz, bezeichnet 1821",50.411159,7.565764
Kirchstraße 1,Sankt Sebastian (am Rhein),"Hofreite; zwei Fachwerkhäuser, 19. Jahrhundert; Gesamtanlage",51.307817,6.275154
südlich von St. Sebastian,Sankt Sebastian (am Rhein),Wegekapelle; barock mit Dreifaltigkeitsrelief,51.9335,12.225388
südlich von St. Sebastian,Sankt Sebastian (am Rhein),"Wegekreuz, bezeichnet 1767",51.9335,12.225388
