Alte Fischergasse 3/4,Spay,"Fachwerkhäuser, teilweise massiv, im Kern aus dem 16. Jahrhundert",50.264597,7.646963
Kieselsteinweg 10,Spay,"Hakenhof; Fachwerkhaus, 18. oder 19. Jahrhundert, Scheune, teilweise Fachwerk",50.261937,7.648562
Kieselsteinweg 12,Spay,"Fachwerkhaus, teilweise massiv, Mansarddach, bezeichnet 1730",50.261879,7.648768
Kieselsteinweg 13,Spay,"Fachwerkhaus, wohl aus dem 18. Jahrhundert, ehemalige Scheune",50.262058,7.648616
Kirchgasse,Spay,"Katholische Kirche St. Lambertus; neugotischer, basilikal gestaffelter Zentralbau, Ziegelbackstein, angrenzend Stufenhalle und Westturm, 1898–1900, Architekten Richard Odenthal und Carl Rüdell, Köln; auf dem Friedhof: zwei neugotische Grabmäler",50.262634,7.647035
Kirchgasse 7,Spay,"Fachwerkhaus, teilweise massiv, Ende des 17. oder Anfang des 18. Jahrhunderts",50.262985,7.647915
Salmgasse 9,Spay,"Fachwerkhaus, teilweise massiv, Krüppelwalmdach, im Kern aus dem 16. Jahrhundert, Fachwerkremise; Gesamtanlage",50.264298,7.64699
Salmgasse 11,Spay,"Fachwerkhaus, bezeichnet 1717",50.264396,7.647089
Zehnthofstraße,Spay,"Evangelische Kirche; Saalbau, nachträglich integrierter Westturm, bezeichnet 1670",50.263733,7.646702
Zehnthofstraße,Spay,"Schwengelpumpe, Gusseisen, Rheinböller Hütte, Ende des 19. Jahrhunderts",50.263733,7.646702
Zehnthofstraße 8,Spay,"ehemaliger Zehnthof; Krüppelwalmdachbau, Anfang des 18. Jahrhunderts, Anbau mit Loggia; Gesamtanlage mit Garten",50.262708,7.648005
Zehnthofstraße 21,Spay,"Fachwerkhaus, Ende des 18. Jahrhunderts",50.263186,7.646882
Zehnthofstraße 31,Spay,"Fachwerkhaus, bezeichnet 1711, wohl eher aus dem 19. Jahrhundert",50.263745,7.646666
Zehnthofstraße 39/41,Spay,"L-förmiges Fachwerk-Doppelhaus, teilweise massiv, 17. Jahrhundert; L-förmiger Fachwerkanbau, 18. Jahrhundert; Grenzstein, bezeichnet 1678",50.264148,7.646478
Zehnthofstraße 47,Spay,"ehemaliges Pfarrhaus; Backsteinbau, Walmdach, um 1900",50.26458,7.646289
Zehnthofstraße 52,Spay,"Fachwerkhaus, 18. Jahrhundert",50.264925,7.645939
"Zehnthofstraße, Ecke Kieselsteinweg",Spay,"Schwengelpumpe, Gusseisen, Rheinböller Hütte, Ende des 19. Jahrhunderts",50.263733,7.646702
"Denkmalzone Ortskern (Dorfstraße 4–52, Rheinufer 5–30 und Zur Bleiche 3–12)",Spay,"intaktes Ortsbild mit Fachwerkhäusern des 16. bis 18. Jahrhunderts innerhalb des Areals Dorfstraße, Rheinufer und Zur Bleiche",50.253097,7.646325
Am Zenthof 1,Spay,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",50.252106,7.645516
Am Zenthof 2a,Spay,"Fachwerkhaus, 18. Jahrhundert",50.251386,7.646199
Backhausgasse 6,Spay,"dreigeschossiges Fachwerkhaus, teilweise massiv, bezeichnet 1664, Ökonomietrakt, 19. Jahrhundert; Gesamtanlage",50.25202,7.645076
Bahnhofstraße 7,Spay,"Fachwerkhaus, teilweise massiv, Krüppelwalmdach, 18. Jahrhundert",50.252515,7.647475
Bahnhofstraße 9,Spay,"Fachwerkhaus, teilweise massiv, bezeichnet 1728",50.252446,7.647493
Brunnengasse 2,Spay,"Fachwerkhaus, teilweise massiv, Krüppelwalmdach, bezeichnet 1670; bauliche Gesamtanlage mit separater Scheune",50.251449,7.645355
Burggasse 1,Spay,"Fachwerkhaus, teilweise massiv, im Kern wohl aus dem 18. Jahrhundert, Überformung im 19. Jahrhundert",50.251369,7.645067
Dorfstraße 1,Spay,"Hofreite; Fachwerkhäuser, teilweise massiv, Krüppelwalmdächer, bezeichnet 1680",50.25153,7.64443
Dorfstraße 4,Spay,"Fachwerkhaus, teilweise massiv, Krüppelwalmdach, 18. Jahrhundert",50.251426,7.644474
Dorfstraße 10,Spay,"Fachwerkhaus, abgewalmtes Mansarddach, bezeichnet 1713",50.251749,7.645337
Dorfstraße 12,Spay,"Fachwerkhaus, teilweise massiv, Krüppelwalmdach, bezeichnet 1687",50.251795,7.645606
