Denkmalzone Fraukircher Hof (Fraukirch 192),Thür,"ehemaliges Priorat der Abtei Maria Laach; barocker Mansardwalmdachbau, bezeichnet 1765",47.516946,9.208019
Denkmalzone Jüdischer Friedhof (südlich von Thür),Thür,"heckenumsäumtes Areal, kein Grabstein erhalten",47.516946,9.208019
Bahnhofstraße,Thür,"Wegekreuz, bezeichnet 1814",50.357685,7.282534
Breitsteinstraße 1,Thür,"Hofanlage; Putzbau, bezeichnet 1665, Fassadenüberformung im 19. Jahrhundert, Krüppelwalmdachscheune",50.357306,7.276399
Breitsteinstraße 6/8,Thür,"zwei Putzbauten, Hofeinfahrt bezeichnet 1553",50.357386,7.276093
Fallerstraße,Thür,"Wegekreuz, 19. Jahrhundert",50.354714,7.275078
"Fallerstraße, Ecke Breitsteinstraße",Thür,"Wegekreuz, bezeichnet 1804",50.354714,7.275078
auf dem Friedhof,Thür,"12 Grabkreuze, bezeichnet 1597, 1614, 1774 und aus dem 18. und 19. Jahrhundert",47.516946,9.208019
"Josephstraße, Ecke Alter Graben",Thür,"Wegekapelle, 19. Jahrhundert",51.49168,7.210687
Kirchstraße,Thür,"Katholische Pfarrkirche St. Johannes; dreischiffige, querhauslose, neugotische Basilika, Basaltquader, 1867/68, Architekt Friedrich von Schmidt, Köln, separater Turm, im Kern wohl noch mittelalterlich, Erdgeschoss romanisch, im Obergeschoss Veränderungen von 1565, 1868 aufgestockt",50.356731,7.275402
Kirchstraße 3,Thür,"Hofanlage; Massivbau, im Kern wohl aus dem 16. Jahrhundert",47.510574,9.171233
"Mendiger Straße, Ecke Hochstraße",Thür,"Wegekreuz, wohl aus dem 17. Jahrhundert",50.360266,7.275932
Segbachstraße 2–4,Thür,"mehrteilige Gebäudegruppe; Putzbau, bezeichnet 1738, Basaltbruchsteinbau, Krüppelwalmdach, bezeichnet 1828, Scheune; Gesamtanlage",50.357754,7.275402
3 km südöstlich von Thür,Thür,"Katholische Wallfahrtskirche St. Maria, sogenannte Fraukirche; ursprünglich spätromanische Basilika (heute Saal), frühgotischer Chor, Mitte des 13. Jahrhunderts; außen eingelassen: Wegekreuz, Nischentyp, bezeichnet 1690; Wegekreuzfragment, bezeichnet 1661; in der Nähe der Fraukirche: Wegekreuz, bezeichnet 1648; Grabkreuz, bezeichnet 1723",57.181017,27.011721
an der L 120 beim Reginarisbrunnen,Thür,"Wegekreuz, bezeichnet 1624",53.975883,10.588352
an der L 120,Thür,"Wegekreuz, bezeichnet 1658",53.975883,10.588352
in der Nähe der Fraukirche,Thür,"Votivkapelle; nach drei Seiten offene Kapelle, 1605; Relief, 18. Jahrhundert; Kreuz, Nischentyp, bezeichnet 1648",47.516946,9.208019
in der Nähe der Fraukirche,Thür,"Wegekreuze, je eines bezeichnet 1644 und 1657, das dritte aus dem 19. Jahrhundert",47.516946,9.208019
westlich der Fraukirche,Thür,"Wegekreuz, bezeichnet 1648",47.516946,9.208019
