Hauptstraße,Trimbs,barockes Relief,50.328332,7.302558
Hauptstraße 18,Trimbs,"Hofreite; Putzbau, wohl aus dem 19. Jahrhundert; Wegekreuz, bezeichnet 1801",50.323835,7.299135
(gegenüber) Hauptstraße 61,Trimbs,"Kreuzwegstation, Stelentyp, 18. oder 19. Jahrhundert",50.327355,7.302144
"Hauptstraße, Ecke Auf dem Reuch",Trimbs,"Wegekreuz, bezeichnet 1755",50.328332,7.302558
In der Fahrt 1,Trimbs,"Ulmerhof; Krüppelwalmdachbau, Fachwerkgiebel, 18. Jahrhundert",50.322967,7.298434
Kirchstraße 1,Trimbs,"Katholische Kirche St. Petrus; Saalbau, bezeichnet 1738, Erweiterung 1932",50.323237,7.298066
Kirchstraße 12,Trimbs,"eineinhalbgeschossiger Putzbau, im Kern romanisch, gegenüber Kirche",50.323398,7.298102
"Kirchstraße, Ecke Im Winkel",Trimbs,"Wegekreuz, Nischentyp, bezeichnet 1608",50.323738,7.297186
"Umgasse, Ecke Kirchstraße",Trimbs,"Wegekreuz, bezeichnet 1659",50.324002,7.298291
an der K 51 Richtung Welling,Trimbs,"Wegekreuz, bezeichnet 1715",49.160943,11.261586
an der L 113,Trimbs,"Bildstock, Schöpflöffelform, 16. oder 17. Jahrhundert",53.975883,10.588352
"an der L 113, Richtung Straßburger Häuser",Trimbs,"Grabkreuz, bezeichnet 1732",53.975883,10.588352
"an der L 113, Richtung Welling",Trimbs,Kapelle und barocke Kreuzigungsgruppe,53.975883,10.588352
Birkenhof,Trimbs,"Wegekreuz, bezeichnet 1689 (Kreuz neu)",50.332133,7.299539
Kümmerter Hof,Trimbs,"Wegekreuz, bezeichnet 1629",50.324278,7.300276
nordwestlich von Trimbs,Trimbs,Wegekreuz,50.324278,7.300276
Strassburger Häuser,Trimbs,"Bildstock, bezeichnet 1504",50.324278,7.300276
