Dürnerstraße 9,Urmitz,"Portal, bezeichnet 1707",48.563916,10.863075
auf dem Friedhof,Urmitz,"Friedhofskapelle, neugotisch, 19. oder Anfang des 20. Jahrhunderts; Friedhofskreuz, bezeichnet 17(??); Kriegerdenkmal, Soldat",50.4152,7.519177
Hauptstraße 15,Urmitz,"Schule; Putzbau, 1920er Jahre",50.419866,7.530164
(an) Hauptstraße 60,Urmitz,Löwenmaske,50.419866,7.530164
"Hauptstraße, Ecke Am Alten Schloß",Urmitz,Heiligenhäuschen,51.229774,10.679073
"Hauptstraße, Ecke Kreuzgässchen",Urmitz,"Wegekapelle und Kreuz, Kreuz bezeichnet 1538",50.419866,7.530164
Kirchstraße,Urmitz,"Katholische Pfarrkirche St. Georg; Saalbau, 1772, Architekt aus dem Umkreis von Johannes Seiz, Turm, 1923/24, Architekten Amsel, Koblenz, und Anton Helf, Urmitz, 1961/62 querhausartige Erweiterung; sieben Grabkreuze; Gesamtanlage",50.416331,7.51933
Ringstraße,Urmitz,"Altaraufsatz, 18. Jahrhundert; Wegekreuz, bezeichnet 1658",50.415274,7.519411
Ringstraße,Urmitz,"Brunnen, Sayner Hütte, Mitte des 19. Jahrhunderts",50.415274,7.519411
Ringstraße 1,Urmitz,"Wegekreuz, bezeichnet 1730",50.416067,7.520839
