Denkmalzone Burg Virneburg (Hauptstraße),Virneburg,"ursprünglich pfalzgräfliches Lehen der Grafen von Sayn; Ausbau im 16. Jahrhundert, 1689 zerstört; Teil der Schildmauer, Torbau mit Pechnase, 15. Jahrhundert; Schalenturm; Wohnturm, Palas, 16. oder 17. Jahrhundert; bauliche Gesamtanlage mit Kapelle, ehemaligem Amtshaus (Hauptstraße 19) und Hauptstraße 17 sowie den Häusern an der Haupt- und Talstraße",50.341706,7.078886
Denkmalzone Nitzbachbrücke,Virneburg,"Rundbogenbrücke über den Nitzbach am alten Ortsrand von Virneburg, angrenzend zwei Fachwerkgebäude: Hauptstraße 20 (zweite Hälfte des 17. Jahrhunderts) und Hauptstraße 33",50.341706,7.078886
Hauptstraße 17,Virneburg,"Fachwerkhaus, teilweise massiv, bezeichnet 1616, Fachwerk aus dem 18. oder 19. Jahrhundert, riedgedecktes Dach",50.342706,7.080072
Hauptstraße 19,Virneburg,"ehemaliges Amtshaus; barocker Mansarddachbau, bezeichnet 1750",50.342569,7.080243
Hauptstraße 33,Virneburg,"Fachwerkhaus, teilweise massiv, Krüppelwalmdach, spätes 18. oder frühes 19. Jahrhundert; Fachwerkanbau, Ende des 19. Jahrhunderts, Bruchsteinanbau; Gesamtanlage",50.341925,7.078159
Mühlenberg,Virneburg,"Wegekreuz, Nischentyp, bezeichnet 1730",50.340505,7.076802
Sankt Joster Straße 1,Virneburg,"Mansardwalmdachbau, eventuell mit Fachwerk, 18. Jahrhundert",51.652908,5.93905
Sankt Joster Straße 2,Virneburg,"Fachwerkhaus, teilweise massiv, bezeichnet 1680, jedoch aus dem 19. Jahrhundert",51.653238,5.938565
Talstraße 4/6,Virneburg,"Doppelhaushälfte; Fachwerkbau, teilweise massiv, bezeichnet 1680, Fachwerk wohl aus dem 18. oder 19. Jahrhundert",50.342488,7.077458
an der B 258,Virneburg,"Wegekapelle, Saalbau, bezeichnet 1814; Bildstock, Schöpflöffelform, bezeichnet 1594",54.137362,10.495574
an der B 258 Richtung Mayen,Virneburg,"Kreuzwegstationen, wohl noch aus dem 18. Jahrhundert",54.137362,10.495574
