"Hauptstraße, Ecke Niederelzer Straße",Weiler (bei Mayen),"Kapelle St. Leonhard, Saalbau, bezeichnet 1758; Bildstock, bezeichnet 1755",48.330974,8.839539
Kirchstraße,Weiler (bei Mayen),"Katholische Kirche St. Kastor; barocker Saalbau, Turm, bezeichnet 1727, neugotisches Querhaus und Chor, 1906/07, Baumeister Rüppel, Bonn; am Chor Relief, 18. Jahrhundert; Kriegerdenkmal, reliefierter Pylon; 22 Grabkreuze; in der Friedhofsmauer 14 Kreuze; Friedhofskreuz, Basalt, wohl aus dem 19. Jahrhundert",48.888212,8.546015
Kirchstraße 11,Weiler (bei Mayen),"Streckhof; Fachwerkhaus, teilweise massiv, bezeichnet 1850",48.519625,10.12166
"Kirchstraße, Ecke In den Weiden",Weiler (bei Mayen),"Wegekreuz, bezeichnet 1715",48.805617,8.936764
Schulstraße 1,Weiler (bei Mayen),"Schule; Putzbau, Bruchsteinsockel, 1907",49.031907,10.088233
an der L 97,Weiler (bei Mayen),Kreuze,53.975883,10.588352
an der Straße nach Luxem,Weiler (bei Mayen),"Wegekreuz, bezeichnet 1615",51.132813,11.224809
nördlich von Weiler Richtung Luxem,Weiler (bei Mayen),"Wegekreuz mit Bildstock, Nischentyp, wohl aus dem 17. Jahrhundert",51.518444,6.453012
südwestlich von Weiler,Weiler (bei Mayen),"Wegekreuz, bezeichnet 1652",51.518444,6.453012
südwestlich von Weiler an der K 9 Richtung Anschau,Weiler (bei Mayen),"Wegekreuz, Nischentyp, bezeichnet 1663","",""
Denkmalzone Wiesbachmühle,Weiler (bei Mayen),"im 18. Jahrhundert angelegt, bis 1957 Mühlenbetrieb; Ausbau der Mühlengebäude im 19. Jahrhundert und 1921, Mühlrad des 19. Jahrhunderts",51.518444,6.453012
an der K 9 Richtung Anschau,Weiler (bei Mayen),"Wegekreuz, bezeichnet 1660",49.160943,11.261586
