Denkmalzone Burg Eltz,Wierschem,"teilweise sechs- bis siebengeschossige Häuser, 1157 genannt; Haus Platteltz, bergfriedartiger Wohnbau, 13. Jahrhundert, im 15. Jahrhundert verändert; Haus Rübenach, 1472; Pfortenhaus; Kapelle, 1327; Haus Groß-Rodendorf, 1470–1540, polygonale Fachwerktürmchen; Klein-Rodendorf, zweite Hälfte des 16. Jahrhunderts; Groß- und Klein-Kempenich, zwischen 1550 und 1627; Befestigungsanlage",50.225926,7.35157
Burg-Eltz-Straße,Wierschem,"Wegekreuz, bezeichnet 1653",50.224071,7.349728
Kirchgasse,Wierschem,"Katholische Pfarrkirche St. Apollonia, Chor, im Kern wohl spätromanisch, Saalbau, im 18. Jahrhundert verlängert, im Kern wohl ebenfalls mittelalterlich; Ostturm, 18. Jahrhundert; auf dem Friedhof: Grabstein, Basalt, 12. Jahrhundert; Wegekreuz, bezeichnet 1701; Wegekreuz, Nischentyp, bezeichnet 1700; Gesamtanlage",50.226641,7.35033
Pappelstraße 1,Wierschem,"Fachwerkhaus, teilweise massiv, 19. Jahrhundert",50.22618,7.351776
Raiffeisenplatz,Wierschem,"Schwengelpumpe, Gusseisen, zwei Basaltbrunnenbecken",50.2258,7.351363
am Ortsausgang,Wierschem,"Kapelle, Saalbau, 1899",50.225926,7.35157
am Ortsausgang in Richtung Münstermaifeld,Wierschem,"Meilenstein, Obelisk, Mitte des 19. Jahrhunderts",50.225926,7.35157
in der Nähe Burg Eltz,Wierschem,"Antoniuskapelle; Saalbau, 18. Jahrhundert (?); Kreuzwegstation, Bildstocktyp, 19. Jahrhundert",50.225926,7.35157
in der Nähe der Burg Eltz,Wierschem,"Wegekreuz, Nischentyp, Basalt, bezeichnet 1698; Missionskreuz",50.225926,7.35157
Neuhof,Wierschem,"Kapelle, Bruchsteinbau, Fachwerkgiebel; Wegekreuz, Nischentyp, bezeichnet 1710, Vesperbild",50.221696,7.358505
nördlich der Burg Eltz,Wierschem,"Trutzeltz; zweigeschossiger Wohnturm, erste Hälfte des 14. Jahrhunderts",50.225926,7.35157
