"Denkmalzone Friedrichstraße 33–55 (ungerade Nummern) und 26–46 (gerade Nummern), Marktstraße 22 und 24",Winningen,"geschlossene Zeilen zweigeschossiger Winzerhäuser aus dem späten 19. und frühen 20. Jahrhundert, meist typenhafte Schieferbruchsteinbauten mit Toreinfahrten, Kniestock und oft Bogenfriesen","",""
"Am Moselufer 1, Amtsstraße 7, Kirchstraße 6",Winningen,"ehemaliger Hof der Freiherrn von Heddesdorf; dreigeschossiger Putzbau mit Eckerkertürmchen, frühes 19. Jahrhundert, Gesamtanlage mit Garten und Gartenmauer.; rückwärtiger Mansarddachanbau, spätes 18. Jahrhundert; Amtsstraße 7: Fachwerkhaus, teilweise massiv, 18. Jahrhundert; sechs Grabplatten, teilweise mittelalterlich; Kirchstr. 6: Putzbau, 16. Jahrhundert (?)",50.312016,7.518315
Am Moselufer 5,Winningen,"sogenannter Weinhof; Weinkeller 1897, zwei Zinnentürme",50.312689,7.520309
(an) Amtsstraße 6,Winningen,"Torbogen der ehemaligen Poststation, bezeichnet 1618",50.312016,7.518315
August-Horch-Straße 3,Winningen,"Rathaus; Putzbau, Giebelfachwerk, bezeichnet 1901",50.315358,7.52278
August-Horch-Straße 5,Winningen,"Putzbau, Treppengiebel, um 1900",50.315358,7.52278
Bachstraße 47,Winningen,"Fachwerkhaus, teilweise massiv; Bachstraßen-Fassade vorgeblendet, 19. oder 20. Jahrhundert, Vorderhaus bezeichnet 1763, Mansarddachbau 18. Jahrhundert",50.315358,7.52278
Bachstraße 70,Winningen,"Fachwerkhaus, teilweise massiv, abgewalmtes Mansarddach, bezeichnet 1762",50.315358,7.52278
Bahnhofstraße,Winningen,"Bahnhof; mehrgliedriger Bau, Schieferbruchsteinsockel, Treppengiebel, 1907; Alter Bahnhof, früher Typenbau, um 1880, Verladebahnhof; Gesamtanlage mit Gleisen",50.314391,7.522205
Bahnhofstraße,Winningen,"Katholische Kirche St. Martin; neuromanischer Saalbau, 1852, Architekt Ferdinand Nebel, Koblenz",50.314391,7.522205
Bahnhofstraße 10,Winningen,"Villa; mehrgliedriger Putzbau, Treppeneingangsturm, um 1900",50.315358,7.52278
Bahnhofstraße 11,Winningen,"Villa, dreigeschossiger Walmdachbach, Ende des 19. Jahrhunderts, zweigeschossiger Keller",50.315358,7.52278
Fährstraße 1,Winningen,"spätklassizistischer Putzbau, spätes 19. Jahrhundert",50.311947,7.519088
Fährstraße 7,Winningen,"Mansarddachbau, 18. Jahrhundert, Tür bezeichnet 1569",50.312378,7.518989
Fährstraße 23,Winningen,"Fachwerkhaus, teilweise massiv, Ende des 17. Jahrhunderts",50.31289,7.518117
Fährstraße 25,Winningen,"Fachwerkhaus, teilweise massiv, Mansarddach, 17. Jahrhundert",50.312999,7.517929
(an) Fährstraße 27,Winningen,"Tafel am Eingang zum alten Friedhofstor, bezeichnet 1784",50.31308,7.517893
Fährstraße 33,Winningen,"Putzbau, 19. Jahrhundert",50.313195,7.51748
Fährstraße 35,Winningen,"Krüppelwalmdachbau, Anfang des 19. Jahrhunderts",50.31331,7.517201
