Kirchstraße 3,Kirchstraße 3, Anhausen,,"Evangelische Pfarrkirche, ehemals St. Maria; spätromanische Basilika, zweites Viertel des 13. Jahrhunderts",,50.500114,7.552105,
Mittelstraße 24,Mittelstraße 24, Anhausen,,"stattliches Fachwerkhaus, teilweise massiv und verschiefert, Krüppelwalmdach, 19. Jahrhundert",,50.4996,7553,
Schulstraße 2,Schulstraße 2, Anhausen,,"ehemalige Schule; klassizistischer Walmdachbau, Bruchstein, 1852/53",,50.50005,7.553239,
östlich der Ortslage an der L 258,östlich der Ortslage an der L 258, Anhausen,,"Kriegerdenkmal; Denkmal für die Gefallenen 1866 und 1870/71, 1910",,,,
Flammersfelder Straße,Flammersfelder Straße, Asbach (Westerwald),,"Wegekreuz, bezeichnet 1865",,50.666334,7.427365,
Hauptstraße,Hauptstraße, Asbach (Westerwald),,"Wegekreuz, Sandstein, bezeichnet 1877",,50.664071,7.42246,
Hauptstraße,Hauptstraße, Asbach (Westerwald),,"Katholische Pfarrkirche St. Laurentius; Westturm, um 1230; neugotisches Langhaus, 1867–71, Architekt Vincenz Statz, Köln, 1945 zerstört, 1946–51 verändert wiederaufgebaut; Sandsteinkreuz, um 1800 (?); zahlreiche Grabkreuze, 17. und 18. Jahrhundert",,50.664071,7.42246,
Hauptstraße 32,Hauptstraße 32, Asbach (Westerwald),,"stattliches Fachwerkhaus, Krüppelwalmdach, wohl noch aus dem 17. Jahrhundert",,50.66516,7.42429,
Hauptstraße 35,Hauptstraße 35, Asbach (Westerwald),,"sogenannte Alte Apotheke; stattliches Wohn- und Geschäftshaus in neugotischen Formen, um 1860",,50.66574,7.424811,
Hospitalstraße 27,Hospitalstraße 27, Asbach (Westerwald),,"Fachwerk-Quereinhaus, 19. Jahrhundert",,50.669613,7.420909,
Marktstraße 16,Marktstraße 16, Asbach (Westerwald),,"Hofanlage; Fachwerk-Quereinhaus, teilweise massiv, Fachwerkscheune, 19. Jahrhundert",,50.669158,7.425411,
Wallstraße,Wallstraße, Asbach (Westerwald),,"sechs barocke Grabkreuze, in die Anlage des Kriegerdenkmals integriert",,50.665358,7.426302,
(gegenüber) Bennau 35,(gegenüber) Bennau 35, Asbach (Westerwald),,"Wegekreuz, um 1880",,,,
Büsch 11,Büsch 11, Asbach (Westerwald),,"stattlicher Wohnteil eines Fachwerk-Quereinhauses, teilweise verkleidet, 18. Jahrhundert",,50.670626,7.400484,
südöstlich von Büsch an der Straße nach Asbach,südöstlich von Büsch an der Straße nach Asbach, Asbach (Westerwald),,"Wegekreuz; Sandstein, bezeichnet 1869 (?)",,,,
Zum Bierkeller 12,Zum Bierkeller 12, Asbach (Westerwald),,"Hofanlage; kleines Fachwerkhaus mit Niederlass, im Kern aus dem 17. Jahrhundert, Fachwerkanbau und Fachwerkscheune, 19. Jahrhundert",,50.660994,7.411724,
Kreuzbruderweg 1,Kreuzbruderweg 1, Asbach (Westerwald),,"Kloster Ehrenstein; spätgotische Dreifaltigkeitskirche, wohl von 1477 und 1486; vom Kloster nur der im Kern spätgotische Westtrakt erhalten, wohl von 1495, mit Resten des ehemaligen Kreuzgangs; vor der Kirche Kreuz, bezeichnet 1694 (Kreuzbruderweg 1)",,50.617523,7.453845,
nordwestlich von Ehrenstein an der Straße nach Neustadt (Wied),nordwestlich von Ehrenstein an der Straße nach Neustadt (Wied), Asbach (Westerwald),,"Rochuskapelle; Putzbau mit Dachreiter, bezeichnet 1761",,,,
Bonner Straße 32,Bonner Straße 32, Asbach (Westerwald),,"Zweiseithof, zweite Hälfte des 19. Jahrhunderts; Fachwerk-Quereinhaus, teilweise massiv, Fachwerkscheune",,50.66357,7.37903,
Hauptstraße,Hauptstraße, Asbach (Westerwald),,Wegekapelle, kleiner Putzbau aus dem 18. oder 19. Jahrhundert als Kriegergedächtnis des Ersten und Zweiten Weltkriegs,50.664071,7.42246,
Asbacher Straße 5,Asbacher Straße 5, Asbach (Westerwald),,"stattliches Fachwerkhaus, 18. Jahrhundert, im 19. Jahrhundert verbreitert",,50.67891,7.4347,
Asbacher Straße 14,Asbacher Straße 14, Asbach (Westerwald),,"Wohnhaus mit Zierverschieferung, zweite Hälfte des 19. Jahrhunderts; Gesamtanlage mit Fachwerkscheune und zweitem Nebengebäude",,50.6789,7.43538,
Bennauer Straße 6,Bennauer Straße 6, Asbach (Westerwald),,"Fachwerk-Quereinhaus, im Kern aus dem 17. Jahrhundert, erweitert im 18. Jahrhundert und später",,50.654487,7.388181,
"Krumbach 8, an der K 65","Krumbach 8, an der K 65", Asbach (Westerwald),,"Fachwerk-Quereinhaus, 18. Jahrhundert",,50.67009,7.45064,
Altenkirchener Straße,Altenkirchener Straße, Asbach (Westerwald),,"Katholische Kirche; dreiachsiger gotisierender Saalbau, 1889; Kreuzigungsgruppe, bezeichnet 1859 und 1909",,50.684669,7.44184,
"Altenkirchener Straße, auf dem Friedhof","Altenkirchener Straße, auf dem Friedhof", Asbach (Westerwald),,Kriegerdenkmal 1914/18 mit Christusfigur,,,,
Im Winkel 12,Im Winkel 12, Asbach (Westerwald),,"kleines Fachwerk-Quereinhaus mit Niederlass, 19. Jahrhundert",,50.683908,7.442291,
