Flammersfelder Straße, Asbach (Westerwald),"Wegekreuz, bezeichnet 1865"
Hauptstraße, Asbach (Westerwald),"Wegekreuz, Sandstein, bezeichnet 1877"
Hauptstraße, Asbach (Westerwald),"Katholische Pfarrkirche St. Laurentius; Westturm, um 1230; neugotisches Langhaus, 1867–71, Architekt Vincenz Statz, Köln, 1945 zerstört, 1946–51 verändert wiederaufgebaut; Sandsteinkreuz, um 1800 (?); zahlreiche Grabkreuze, 17. und 18. Jahrhundert"
Hauptstraße 32, Asbach (Westerwald),"stattliches Fachwerkhaus, Krüppelwalmdach, wohl noch aus dem 17. Jahrhundert"
Hauptstraße 35, Asbach (Westerwald),"sogenannte Alte Apotheke; stattliches Wohn- und Geschäftshaus in neugotischen Formen, um 1860"
Hospitalstraße 27, Asbach (Westerwald),"Fachwerk-Quereinhaus, 19. Jahrhundert"
Marktstraße 16, Asbach (Westerwald),"Hofanlage; Fachwerk-Quereinhaus, teilweise massiv, Fachwerkscheune, 19. Jahrhundert"
Wallstraße, Asbach (Westerwald),"sechs barocke Grabkreuze, in die Anlage des Kriegerdenkmals integriert"
(gegenüber) Bennau 35, Asbach (Westerwald),"Wegekreuz, um 1880"
Büsch 11, Asbach (Westerwald),"stattlicher Wohnteil eines Fachwerk-Quereinhauses, teilweise verkleidet, 18. Jahrhundert"
südöstlich von Büsch an der Straße nach Asbach, Asbach (Westerwald),"Wegekreuz; Sandstein, bezeichnet 1869 (?)"
Zum Bierkeller 12, Asbach (Westerwald),"Hofanlage; kleines Fachwerkhaus mit Niederlass, im Kern aus dem 17. Jahrhundert, Fachwerkanbau und Fachwerkscheune, 19. Jahrhundert"
Kreuzbruderweg 1, Asbach (Westerwald),"Kloster Ehrenstein; spätgotische Dreifaltigkeitskirche, wohl von 1477 und 1486; vom Kloster nur der im Kern spätgotische Westtrakt erhalten, wohl von 1495, mit Resten des ehemaligen Kreuzgangs; vor der Kirche Kreuz, bezeichnet 1694 (Kreuzbruderweg 1)"
nordwestlich von Ehrenstein an der Straße nach Neustadt (Wied), Asbach (Westerwald),"Rochuskapelle; Putzbau mit Dachreiter, bezeichnet 1761"
Bonner Straße 32, Asbach (Westerwald),"Zweiseithof, zweite Hälfte des 19. Jahrhunderts; Fachwerk-Quereinhaus, teilweise massiv, Fachwerkscheune"
Hauptstraße, Asbach (Westerwald),Wegekapelle; kleiner Putzbau aus dem 18. oder 19. Jahrhundert als Kriegergedächtnis des Ersten und Zweiten Weltkriegs
Asbacher Straße 5, Asbach (Westerwald),"stattliches Fachwerkhaus, 18. Jahrhundert, im 19. Jahrhundert verbreitert"
Asbacher Straße 14, Asbach (Westerwald),"Wohnhaus mit Zierverschieferung, zweite Hälfte des 19. Jahrhunderts; Gesamtanlage mit Fachwerkscheune und zweitem Nebengebäude"
Bennauer Straße 6, Asbach (Westerwald),"Fachwerk-Quereinhaus, im Kern aus dem 17. Jahrhundert, erweitert im 18. Jahrhundert und später"
"Krumbach 8, an der K 65", Asbach (Westerwald),"Fachwerk-Quereinhaus, 18. Jahrhundert"
Altenkirchener Straße, Asbach (Westerwald),"Katholische Kirche; dreiachsiger gotisierender Saalbau, 1889; Kreuzigungsgruppe, bezeichnet 1859 und 1909"
"Altenkirchener Straße, auf dem Friedhof", Asbach (Westerwald),Kriegerdenkmal 1914/18 mit Christusfigur
Im Winkel 12, Asbach (Westerwald),"kleines Fachwerk-Quereinhaus mit Niederlass, 19. Jahrhundert"
Eitorfer Straße, Asbach (Westerwald),"Wegekreuz, bezeichnet 1888"
Eitorfer Straße 13, Asbach (Westerwald),"stattliches Fachwerkhaus, um 1800"
Eitorfer Straße 19, Asbach (Westerwald),"zweizoniger Wohnteil einer Hofanlage, Zierfachwerk aus dem 18. Jahrhundert"
Eitorfer Straße 20, Asbach (Westerwald),"Dreiseithof; Wohnhaus mit Zierverschieferung, zweite Hälfte des 19. Jahrhunderts; Vorgarten mit Einfriedung, Hofbäumen und Wegekreuz"
Niedermühlen 2, Asbach (Westerwald),"stattliches Fachwerkhaus, teilweise massiv, erste Hälfte des 19. Jahrhunderts"
Zur Wallfahrtskapelle, Asbach (Westerwald),"Katholische Wallfahrts- und Rektoratskirche zur Schmerzhaften Muttergottes; achtseitiger gotisierender Zentralbau, 1892/93, Architekten Carl Rüdell und Richard Odenthal, Köln; Chor 1861/62, Architekt Vincenz Statz, Köln"
Am Spielhügel, Asbach (Westerwald),"Wegekreuz, bezeichnet 1884"
Im Weidchen 3, Asbach (Westerwald),"zweizoniger Wohnteil eines Quereinhauses mit Niederlass, Fachwerk aus dem 18. Jahrhundert"
Parscheider Straße 3, Asbach (Westerwald),"Fachwerkhaus mit Niederlass, teilweise verkleidet, 18. Jahrhundert"
Parscheider Straße 19, Asbach (Westerwald),"Hofhaus einer ehemals ritterschaftlichen Hofanlage; stattlicher Krüppelwalmdachbau, im Kern vor 1700"
(bei) Rindhausener Straße 5, Asbach (Westerwald),"Wegekreuz, Sandstein, bezeichnet 1881"
Rindhausener Straße 11, Asbach (Westerwald),"Fachwerk-Quereinhaus, Mitte oder zweite Hälfte des 19. Jahrhunderts"
Diefenau, Asbach (Westerwald),"siebenachsiger eingeschossiger Krüppelwalmdachbau, Bruchstein, Ende des 18. Jahrhunderts oder um 1800"
"Ütgenbach, südwestlich von Schöneberg im Wald an der Kreisstraße 69 (zwischen Heide und Krankel)", Asbach (Westerwald),"Katholische Kapelle St. Florinus; kleiner Saalbau, 12. Jahrhundert"
Sessenhausen 13, Asbach (Westerwald),"kleines Fachwerk-Quereinhaus, 18. Jahrhundert mit einem Fachwerkanbau 19. Jahrhundert"
Wester 3, Asbach (Westerwald),"Hofanlage, ehemaliger Zehnthof (?); Fachwerkhaus, teilweise massiv, 17.Jahrhundert, Fachwerkscheune aus dem 18. oder 19. Jahrhundert"
