"Am Paffelter, auf dem Friedhof", Bad Hönningen,"Wegekreuz, barock, bezeichnet 1704; Kriegerdenkmal 1914/18, bezeichnet 1939"
Auf dem Plänzer 2, Bad Hönningen,"Wohnhaus, repräsentativer Putzbau, expressionistisch beeinflusste Reformarchitektur, um 1920/30"
Hauptstraße, Bad Hönningen,"Wasserturm (?) der Kali-Werke, Backsteinturm auf quadratischem Grundriss, um 1920/30"
Hauptstraße ohne Nummer, Bad Hönningen,"Mansarddachbau, 1741, im 19. Jahrhundert überformt, polygonaler Kapellenanbau, bezeichnet 1569; Scheune, 1765"
Hauptstraße 44, Bad Hönningen,"dreigeschossiges Wohnhaus, Mittelerker, Jugendstildekor, um 1905"
Hauptstraße 46, Bad Hönningen,"Wohnhaus, repräsentativer Putzbau, viergeschossiger Eckturm mit Fachwerkobergeschoss, um 1900"
Hauptstraße 74a, Bad Hönningen,"repräsentatives Wohnhaus, Neurenaissance, um 1900"
Hauptstraße 82, Bad Hönningen,"repräsentative Mansarddach-Villa, Ende des 19. Jahrhunderts"
Hauptstraße 130, Bad Hönningen,"Wohn- und Geschäftshaus; Fachwerkbau, teilweise massiv, Mansarddach"
Hauptstraße 162, Bad Hönningen,"sogenanntes Hohes Haus, ehemaliger Wohnturm; dreigeschossiger Putzbau, im Kern aus dem 14. oder 15. Jahrhundert"
Hellingsgasse 8, Bad Hönningen,"stattlicher barocker Mansarddachbau, bezeichnet 1725"
Hofstraße 6, Bad Hönningen,"stattliches Fachwerkhaus, teilweise massiv, 17. Jahrhundert"
Kirchstraße, Bad Hönningen,"Katholische Pfarrkirche St. Peter und Paul; ursprünglich ein barocker Saalbau, 1718–20, Ostturm 1788, Erweiterung mit Seitenschiffen und Querschiff, 1919/20"
Kirchstraße 7, Bad Hönningen,von einem Wohngebäude des 18. Jahrhunderts ein tonnengewölbter Keller sowie das Mauerwerk des Erd- und erstes Obergeschosses erhalten
Kreuzgasse 2, Bad Hönningen,"kleines Fachwerkhaus, bezeichnet 1748"
Marktstraße 8, Bad Hönningen,"sogenanntes Haus Lacher, ehemaliger Freiadelshof; Fachwerkhaus, Mansarddach, erste Hälfte des 18. Jahrhunderts"
Marktstraße 12, Bad Hönningen,"Burghaus; stattlicher Putzbau, erstes Viertel des 17. Jahrhunderts"
Melkenweg, Bad Hönningen,"Wegekreuz, Balkenkreuz, bezeichnet 1630"
Neustraße 20, Bad Hönningen,"Fachwerkhaus, erste Hälfte des 17. Jahrhunderts"
Neustraße 52, Bad Hönningen,dreigeschossiger Putzbau
Schmiedgasse 7, Bad Hönningen,"Wohn- und Gasthaus; Fachwerkbau, teilweise massiv, bezeichnet 1610; Querflügel, bezeichnet 1620"
Waldbreitbacher Straße 90, Bad Hönningen,"sogenannter Mönchshof; stattlicher barocker Krüppelwalmdachbau, 18. Jahrhundert, die Anlage im Kern älter; profanierte Kapelle"
nördlich der Ortslage, Bad Hönningen,"Hof Homborn; stattliche Hofanlage; repräsentativer Bruchsteinbau, wohl aus der Mitte des 19. Jahrhunderts, Backstein-Dachgeschoss wohl vom Ende des 19. Jahrhunderts, Bruchstein-Wirtschaftsgebäude, erste Hälfte oder Mitte des 19. Jahrhunderts"
"Denkmalzone Ortskern, Burg, Kapelle (Ariendorfer Straße 10, 13, 14, 17, 19, Bergstraße 2)", Bad Hönningen,südlich anschließend an die Burg charakteristisches Straßenbild aus Kapelle und mehreren Fachwerkanwesen des 18. und 19. Jahrhunderts
"Denkmalzone Ariendorfer Rheinufer (Rheintalstraße 2 und 5, Ariendorfer Straße 4 (nur Altbau))", Bad Hönningen,drei stattliche Anwesen des 18. Jahrhunderts mit repräsentativen Fachwerkwohnhäusern
Ariendorfer Straße 4, Bad Hönningen,"stattliches zweiflügliges Anwesen; Fachwerkbau, angeblich von 1746, Querflügel wohl etwas jünger"
Ariendorfer Straße 17, Bad Hönningen,"Winkelhof; Fachwerkhaus, 18. Jahrhundert, Fachwerk-Wirtschaftsteil wohl etwas jünger"
Ariendorfer Straße 19, Bad Hönningen,"stattliches Fachwerkhaus, bezeichnet 1710"
Ariendorfer Straße 21, Bad Hönningen,"schmales Fachwerkhaus, 18. Jahrhundert"
Bergstraße, Bad Hönningen,Kriegerdenkmal 1914/18
Bergstraße 3, Bad Hönningen,"Fachwerkhaus, 18. Jahrhundert"
Markenweg, Bad Hönningen,"Katholische Kapelle St. Johann Baptist; kleiner Saalbau, 1712"
Rheintalstraße 2, Bad Hönningen,"stattliches Fachwerkhaus, Mansarddach, angeblich 1763"
nordwestlich der Ortslage (an der B 42), Bad Hönningen,"Pegelturm; kleiner runder Turm, Kegeldach, bezeichnet 1900"
am westlichen Ortseingang, Bad Hönningen,"Kapelle, Putzbau, zweite Hälfte des 19. Jahrhunderts"
