Denkmalzone Burg Dattenberg (Burgstraße 2), Dattenberg,"kreisförmige Anlage, Bergfried, Reste des Berings der Kernburg, Mitte des 13. Jahrhunderts; historistische Villa, um 1890"
Burgstraße, Dattenberg,"Wegekreuz, bezeichnet 1699"
Burgstraße 14, Dattenberg,"Winkelhof; Fachwerkhaus, teilweise massiv, 17. oder 18. Jahrhundert, stattliche Fachwerkstallscheune, 18. Jahrhundert, Fachwerknebengebäude"
Burgstraße 27, Dattenberg,"Fachwerkhaus, 16. Jahrhundert"
Burgstraße 33, Dattenberg,"Fachwerkhaus, teilweise massiv, um 1700"
Burgstraße 35, Dattenberg,"Fachwerkhaus, 18. Jahrhundert; Gesamtanlage mit Hof und Fachwerknebengebäuden"
Hauptstraße, Dattenberg,"Wegekreuz, bezeichnet 1719"
Hauptstraße 24, Dattenberg,"sogenannter Grabenhof; Winzergehöft, 17. und 18. Jahrhundert, bezeichnet 1633; Fachwerkwohnhaus mit Wirtschaftsgebäude"
Hauptstraße 34, Dattenberg,"Fachwerkhaus, 18. oder frühes 19. Jahrhundert"
Kirchstraße 9, Dattenberg,"Katholische Pfarrkirche Heilige Schutzengel; neuspätromanische Säulenbasilika, Backstein, 1890–1892, Architekten Carl Rüdell und Richard Odenthal, Köln"
Neustraße 13, Dattenberg,barocker Mansarddachbau
Römerwall 1, Dattenberg,"langgestrecktes Fachwerkhaus, teilweise massiv, 18. Jahrhundert"
nordöstlich der Ortslage, Dattenberg,"Hof Ronig; stattliches Wohnhaus einer Hofanlage; Fachwerkbau, zweite Hälfte des 18. Jahrhunderts"
"(auf) Hof Ronig, nordöstlich der Ortslage an der Straße nach Ronig", Dattenberg,"Wegekapelle; kleiner Putzbau, bezeichnet 1858"
