"Denkmalzone Rheinstraße 10–19, August Bungert-Allee 6–11, Kleine Fährgasse 2", Leutesdorf,"an der Rheinfront nahezu lückenlose Folge historischer Wohnbauten beiderseits des ehemaligen Zolltors, nördlich des Tores in dichter Reihung, südlich eher aufgelockert"
Ortsbefestigung, Leutesdorf,"August-Bungert-Allee 11: ehemaliges Zolltor, bezeichnet 1522; Krautsgasse: Turmstumpf an der sogenannten Marienburg"
Allergasse 2, Leutesdorf,"Krüppelwalmdachbau, bezeichnet 1563, Hoftor bezeichnet 1574"
Allergasse 3, Leutesdorf,"Fachwerkhaus, teilweise massiv, bezeichnet 1567"
August-Bungert-Allee 5, Leutesdorf,"ehemaliger Bahnhof; spätklassizistischer Typenbau, um 1870"
August-Bungert-Allee 6, Leutesdorf,"sogenanntes Bungert-Haus; villenartiges Wohnhaus, heutiges Erscheinungsbild von 1911/12, Umbau durch den Kölner Dombaumeister Karl Schauppmeyer"
August-Bungert-Allee 7, Leutesdorf,"sogenannte Löwenburg; siebenachsiger barocker Mansarddachbau, bezeichnet 1780, um 1900 um dreigeschossigen Torbau und langgestreckten, barockisierenden Wohnflügel verlängert"
August-Bungert-Allee 8, Leutesdorf,"repräsentativer barocker Mansarddachbau, bezeichnet 1770, Torbogen bezeichnet 1777"
August-Bungert-Allee 9, Leutesdorf,"sogenannter Leyscher Hof; Walmdachbau, im Kern 1683 (bezeichnet), im 19. Jahrhundert klassizistisch überformt und erhöht"
August-Bungert-Allee 10, Leutesdorf,"Wohnhaus, dreigeschossiger Massivbau, teilweise Zierfachwerk, um 1700, Fassade in der Mitte des 19. Jahrhunderts klassizistisch überformt"
August-Bungert-Allee 11, Leutesdorf,"ehemaliges Zolltor; südliche Begrenzung der einstigen Ortsbefestigung; Torhaus, bezeichnet 1533, anschließender Rundturm, 1690 mit Haube versehen"
Brandgasse 3, Leutesdorf,"Wohnhaus, fünfachsiger dreigeschossiger klassizistischer Putzbau, Mitte des 19. Jahrhunderts"
Drosselgasse, Leutesdorf,"ehemalige Alte Brennerei, Backsteinbau mit quadratischem Schlot, um 1880-90"
Große Fischgasse 6, Leutesdorf,"zweiflügliges Fachwerkhaus, teilweise massiv, bezeichnet 1657"
Große Fischgasse 23, Leutesdorf,"Fachwerkhaus, teilweise massiv, bezeichnet 1593 und 1804"
Hauptstraße, Leutesdorf,"Katholische Pfarrkirche St. Laurentius; romanischer Turm, um 1200, Chorraum 15. Jahrhundert, Schiff 1728–30; auf dem Kirchhof Kapelle mit Kielbogendach, 18. Jahrhundert oder älter"
Hauptstraße, Leutesdorf,"romanischer Basalttorbogen des ehemaligen Burghauses bzw. des Klosterhofes des Augustiner-Chorfrauen-Klosters St. Barbara, Koblenz; Relief einer Kreuzwegstation, 18. Jahrhundert"
Hauptstraße, Leutesdorf,"Wegekapelle, tonnengewölbter Putzbau, 19. Jahrhundert"
Hauptstraße 20, Leutesdorf,"repräsentatives Wohnhaus eines Weinguts, barockisierende Fassade, Ende des 19. Jahrhunderts"
"(neben) Hauptstraße 121, gegenüber der Kreuzkirche", Leutesdorf,"Ölbergkapelle, welsches Dach, 1684, Kurtriererischer Hofbaumeister Johann Christoph Sebastiani (?)"
Hintergasse 1, Leutesdorf,"Putzbau, im Kern eventuell mittelalterlich"
Hintergasse 3, Leutesdorf,"Fachwerkhaus, teilweise massiv, bezeichnet 1602"
Hintergasse 5, Leutesdorf,"Fachwerkhaus, teilweise massiv, 15. oder 16. Jahrhundert"
Hintergasse 11, Leutesdorf,"sogenanntes Spitzhaus; Fachwerkhaus, teilweise massiv, verputzt, wohl aus dem 16. oder 17. Jahrhundert"
In der Betz, Leutesdorf,"sogenanntes Siechenkreuz, 1643; kleine Grab- oder Wegekreuze, 17. und 18. Jahrhundert"
Kirchstraße, Leutesdorf,"Katholische Kreuzkirche, gotisierender Saalbau, Krypta, 1646–80, Westfront 1662"
Kirchstraße 2, Leutesdorf,"sogenannter Fronhof; Bruchsteinscheune 1550, Wohnhaus 1776 verändert"
Kirchstraße 4, Leutesdorf,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert"
Kirchstraße 8, Leutesdorf,"stattliches Zeilenwohnhaus, um 1800 (?)"
Kirchstraße 11/13, Leutesdorf,"massiver Putzbau, im Kern eventuell aus dem 17. Jahrhundert, im 18. und 19. Jahrhundert überformt"
"Kirchstraße 26a, Ölbergstraße 17", Leutesdorf,"sogenannter Nonnenhof, ehemaliger Hof des Nonnenklosters St. Thomas bei Andernach; Dreiflügelanlage, teilweise Fachwerk, Hofhaus angeblich von 1780"
Kleine Fischgasse 2, Leutesdorf,"stattliches Fachwerkhaus, teilweise massiv, 15. Jahrhundert, zweizoniger Anbau, um 1600"
Krautsgasse 1–3, Leutesdorf,"sogenannte Marienburg, ehemaliges Hofgut der Abtei St. Marien zu Herford; stattlicher Barockbau; Gesamtanlage mit Park, sogenanntem Pächterhäuschen, 1794, und Wirtschaftsgebäude, um 1900"
Krautsgasse 17, Leutesdorf,"Hofanlage; Fachwerkhaus, teilweise massiv, 15. Jahrhundert, Wirtschaftsgebäude, teilweise Fachwerk, Hofmauer mit steinernem Torbogen"
Neuer Weg 7, Leutesdorf,"ehemalige Umspannzentrale; neuklassizistischer Putzbau, Giebelrelief, um 1920/30"
Rheinstraße 13, Leutesdorf,"Mansarddachbau, Fachwerkzwerchhaus"
Rheinstraße 14, Leutesdorf,"fünfachsiges Wohn- und Gasthaus; Mansarddachbau, bezeichnet 1794"
Rheinstraße 15, Leutesdorf,"dreigeschossiges Fachwerkhaus, 17. Jahrhundert, massives Erdgeschoss aus dem 18. oder 19. Jahrhundert"
Rheinstraße 18, Leutesdorf,"Wohnhaus; massives Erdgeschoss, bezeichnet 1698, Zierfachwerk des 17. Jahrhunderts"
Rheinstraße 19, Leutesdorf,"Wohnhaus; Zierfachwerk aus dem 16. Jahrhundert, massive Erneuerung, Putz- und verschieferte Partien bezeichnet 1698"
Rheinstraße 20, Leutesdorf,"zweigiebliges Wohnhaus, teilweise verschiefert, Fachwerk wohl aus dem 16. oder 17. Jahrhundert"
Rheinstraße 21, Leutesdorf,"Gasthaus „Kurtrierischer Hof“; Mansarddachbau, um 1800 (?)"
Rheinstraße 22, Leutesdorf,"dreiachsiges Wohnhaus, Zwerchhaus mit Schweifgiebel, 17. Jahrhundert"
Vordergasse 2, Leutesdorf,"Wohnhaus oder ehemaliger Streckhof; Fachwerkhaus, teilweise massiv, 16. Jahrhundert"
Vordergasse 3, Leutesdorf,"Fachwerkhaus, teilweise massiv, wohl noch aus dem 15. Jahrhundert, Hoftor bezeichnet 1603"
Vordergasse 5, Leutesdorf,"Hoftor, Basalt, bezeichnet 1603"
Vordergasse 6, Leutesdorf,"Fachwerkhaus, teilweise massiv, bezeichnet 1659"
Vordergasse 9, Leutesdorf,"Fachwerkhaus, teilweise massiv, bezeichnet 1659, kleiner, wohl etwas jüngerer Anbau"
