Hauptstraße 17, Neustadt (Wied),"Fachwerkhaus, teilweise massiv, 18. Jahrhundert"
Brüchen 19, Neustadt (Wied),"Fachwerk-Quereinhaus, angeblich von 1707"
Bühlinger Straße 34, Neustadt (Wied),"Fachwerk-Quereinhaus, 18. Jahrhundert"
(bei) Thalhof 30, Neustadt (Wied),"Fachwerkhaus einer Hofanlage, wohl aus der ersten Hälfte des 19. Jahrhunderts"
Dinkelbach 6, Neustadt (Wied),"stattliches Fachwerk-Quereinhaus, wohl noch aus dem 17. Jahrhundert"
"Ehrenberg 9, an der K 35", Neustadt (Wied),"Fachwerkhaus mit Niederlass, 18. Jahrhundert"
"Antoniusstraße, an der Abzweigung der Schulstraße", Neustadt (Wied),"Katholische Antoniuskapelle; kleiner barocker Saalbau, 1680"
Kirchhell, Neustadt (Wied),"Katholische Kapelle St. Maria Mater Dolorosa; fünfachsiger romanisierender Bruchsteinsaal, 1911/12 ??"
Zur Linde 2, Neustadt (Wied),"Fachwerkhaus mit Niederlass, um 1700"
Kodden 20, Neustadt (Wied),"regionaltypisches Fachwerkhaus, spätes 19. Jahrhundert"
Kodden 24, Neustadt (Wied),"Fachwerkhaus, 18. Jahrhundert"
Kodden 52, Neustadt (Wied),"Fachwerkhaus, teilweise verkleidet, 18. Jahrhundert"
Oberhoppen 27, Neustadt (Wied),"Wohnteil eines Fachwerk-Quereinhauses, teilweise massiv, verkleidet, wohl aus dem 17. oder 18. Jahrhundert"
am Ortsausgang Richtung Niederhoppen, Neustadt (Wied),"Scheune, Fachwerkscheune, Ständerbau, Gefache ausgemauert, 19. Jahrhundert"
(bei) Prangenberg 7, Neustadt (Wied),"Wegekapelle, tonnengewölbter Putzbau, 19. Jahrhundert"
Kurstraße 35, Neustadt (Wied),"kleines Fachwerkhaus, teilweise massiv, eventuell noch aus dem 17. Jahrhundert"
