Ortsbefestigung, Neuwied (Außenbereiche),fast vollständig erhaltene Umwehrung mit rechteckigen und runden Türmen
Am Brückenstein, Neuwied (Außenbereiche),"Straßenbrücke, zweibogig, Bruchstein, 19. Jahrhundert"
Burgtorstraße, Neuwied (Außenbereiche),"Evangelische Pfarrkirche; Saalbau; Chor aus dem dritten Viertel des 15. Jahrhunderts, Schiff, Portal und Vorhalle von 1689; Gesamtanlage mit Pfarrhaus (Burgtorstraße 9): fünfachsiger Putzbau, erste Hälfte des 19. Jahrhunderts"
Burgtorstraße 2, Neuwied (Außenbereiche),"Fachwerkhaus, teilweise massiv, 18. Jahrhundert"
Burgtorstraße 3, Neuwied (Außenbereiche),"ehemalige Schule, 1886/87"
Burgtorstraße 4, Neuwied (Außenbereiche),"Fachwerkhaus, teilweise massiv, 17. oder 18. Jahrhundert"
Burgtorstraße 6, Neuwied (Außenbereiche),"Fachwerkhaus, teilweise massiv, verkleidet, wohl aus dem 17. oder 18. Jahrhundert"
Oberstraße 3, Neuwied (Außenbereiche),"Wohnhaus mit rechtwinklig angebautem Fachwerktrakt, spätes 19. Jahrhundert"
Denkmalzone ehemaliges kurfürstliches Schloss, Neuwied (Außenbereiche),"zweieinhalbgeschossiger, siebzehnachsiger Mansarddachbau, dreiachsige Seitenflügel, Mittelrisalite, 1759–62, Hofbaumeister Johannes Seiz; Ehrenhof mit schmiedeeisernen Gittern, Sandsteinpfeilern nach Seiz-Entwurf, Sandsteinskulpturen von Johann Feill; zwei Wachthäuschen; am Rheinufer sogenanntes von Speesche Haus, Mansarddachbau, sieben zu sieben Achsen, um 1770; sogenannter Grauer Turm, siehe Stadtbefestigung"
"Stadtbefestigung; um 1370, im Unterbau der Häuser; sogenannter Grauer Turm (westlich des Schlosses)", Neuwied (Außenbereiche),"Bruchsteinrundturm; ehemaliger Wehrturm (am Nordrand des katholischen Friedhofs): dreigeschossiger Bruchsteinbau auf trapezförmigem Grundriss, Dach mit Glockendachreiter angeblich von 1778; sogenanntes Duckesje (Klosterstraße, südlich der katholischen Pfarrkirche): zweigeschossiger Rundturm mit Kegeldach"
Alte Schloßstraße 3, Neuwied (Außenbereiche),"ehemaliges Rathaus; Krüppelwalmdachbau, teilweise Fachwerk, 1642"
Alte Schloßstraße 5, Neuwied (Außenbereiche),"Gasthaus Schloßschenke; teilweise Fachwerk, angeblich von 1621, eher von 1691"
Alte Schloßstraße 27, Neuwied (Außenbereiche),"Wohn- und Gasthaus; repräsentativer zweiflügliger Putzbau, im Kern wohl aus dem ersten Viertel des 19. Jahrhunderts"
Am alten Rathaus 1, Neuwied (Außenbereiche),"Fachwerkhaus, teilweise massiv, Krüppelwalmdach, bezeichnet 1756"
Am Heinrichhaus 2, Neuwied (Außenbereiche),"sogenanntes Meisterhaus; repräsentativer dreigeschossiger barockisierender Putzbau, um 1905/10"
"Am Heinrichhaus 9, Helle 2, Untere Rheinstraße 9", Neuwied (Außenbereiche),"Fachwerkhaus, 17. Jahrhundert; Helle 2: teilweise massiv erneuert, teilweise verbrettertes Fachwerk, teilweise verschiefert, wohl älter; an der Hausecke wohl Reste eines Stadtmauerturms"
Bendorfer Straße, Neuwied (Außenbereiche),"Pestkapelle St. Sebastian, bezeichnet 1662"
Bendorfer Straße 32, Neuwied (Außenbereiche),"Zeilenwohnhaus, Klinkerfassade, kurz nach 1900"
Dietrich-Bonhoeffer Straße, Neuwied (Außenbereiche),"Evangelische Pfarrkirche; neuspätgotischer Bau, 1900/02"
Falksgasse 5/7, Neuwied (Außenbereiche),"Fachwerkhaus, teilweise massiv und verputzt, im Kern wohl noch aus dem 16. Jahrhundert"
Jakobusstraße, Neuwied (Außenbereiche),"Katholische Pfarrkirche St. Martin; neuspätromanische Säulenbasilika, Backstein und Tuff, 1897/98; auf dem Friedhof Kriegerdenkmal 1870/71, bezeichnet 1897; ehemaliger Wehrturm der Stadtbefestigung (Nordrand des Friedhofs), siehe dort"
Klosterstraße 12, Neuwied (Außenbereiche),"Heidenmäuerchen, römischer Burgus; wohl keine obertägigen Reste erhalten"
Klosterstraße 17a, Neuwied (Außenbereiche),"spätklassizistische Villa, um 1860"
Mühlhofer Straße 31, Neuwied (Außenbereiche),"Bahnhof; spätklassizistischer Typenbau, um 1860/70"
Sayner Landstraße 20, Neuwied (Außenbereiche),"villenartiges Wohnhaus; eingeschossiger Mansarddachbau, zweifarbige Klinkerfassaden, um 1900"
Weiser Straße, Neuwied (Außenbereiche),"Wasserturm, bezeichnet 1900"
