Denkmalzone Augustastraße 2–14, Neuwied,"für die Stadterweiterung der Jahrhundertwende charakteristische geschlossene Zeile aus überwiegend zweigeschossigen Wohnhäusern; Fassadengliederung oft noch in spätklassizistischer Tradition, Einzelformen durchweg der Renaissance entlehnt"
"Denkmalzone Dierdorfer Straße 131–133 und 141–143, Von-Runkel-Platz 1 und 2", Neuwied,"zwei einheitlich gestaltete dreigeschossige Wohnblocks, um 1920; symmetrisch angeordnete, neuklassizistische Putzbauten"
Denkmalzone Eduard-Verhülsdonk-Straße 14–28 (gerade Nummern), Neuwied,"geschlossene Wohnhauszeile aus acht abwechslungsreich gestalteten Putz- und Klinkerbauten, um 1905 bis um 1914"
"Denkmalzone Gutenbergstraße 30–36 (gerade Nummern), Engerser Landstraße 48, Reckstraße 11", Neuwied,"kleine Wohnsiedlung, um 1920; dreigeschossigen Walmdachbauten, weitgehend symmetrisch angelegt"
"Denkmalzone Hahnenstraße 2, 5, 7 und 10", Neuwied,"relativ dicht gereihte Gruppe aus vier kleineren Anwesen mit etwa gleich großen Wohnhäusern des 18. Jahrhunderts, Haus Nr. 5 verputzt, sonst weitgehend freiliegendes konstruktives Sichtfachwerk"
Denkmalzone Heddesdorfer Straße 21–31 (ungerade Nummern), Neuwied,"eindrucksvolles Ensemble sechs überdurchschnittlich aufwändig gestalteter Wohnhäuser, größtenteils mit von bauzeitlichen Eisenzäunen eingefriedeten Vorgärten, spätes 19. Jahrhundert"
"Denkmalzone Hermannstraße 21–61 (ungerade Nummern), 32 und 34, Friedrichstraße 37–48, Friedrich Siegert-Straße 1", Neuwied,"nahezu geschlossener Bestand an Wohnhäusern zwischen 1850 und 1900, Straßenbild von beachtlicher Einheitlichkeit und seltener historischer Dichte; die Einzelbauten oft von guter architektonischer Qualität und äußerlich weitgehend unverändert, teilweise bei entsprechendem Erhaltungszustand des Inneren auch als Einzeldenkmäler zu bewerten; besterhaltener Teil der um die Mitte des 19. Jahrhunderts beginnenden Stadterweiterung"
Denkmalzone Herrnhuter Gottesacker (Elisabethstraße), Neuwied,"Friedhof der Herrnhuter Brüdergemeine, ab 1794, flachliegende Grabsteine"
"Denkmalzone Herrnhuter Viertel (Engerser Straße 51, 53, 55, 57, 60, 72a, 74, 74a, 74b, 76, 85, 88, Friedrichstraße 25, 26, 27, Brüderkirche, 30, 31, 32a, 32b, 32c, 33, 35, Langendorfer Straße 168–190 (gerade Nummern), Pfarrstraße 23, 26, 28, 29, 31, 32, 34, Wilhelmstraße 21–29 (ungerade Nummern))", Neuwied,"Wohnviertel der 1750 nach Neuwied zugezogenen Herrnhuter Brüdergemeine mit zwei unterschiedlich großen Baublocks, zweite Hälfte des 18. Jahrhunderts"
Denkmalzone Hochwasserschutzdeich, Neuwied,"7,5 km langer Deich im Altstadtbereich, Quadermauerwerk mit bossierten und glatten Schichten, 1928–31, Architekt Walter Furthmann, Düsseldorf; gesamte Anlage einschließlich Toren, Pegelturm und Gasthaus „Deichkrone“ bis in die Details vollständig und unverändert erhalten"
Denkmalzone Hofgründchen 27–37 (ungerade Nummern), Neuwied,"geschlossene Zeile aus sechs unterschiedlich gestalteten Wohnhäusern in einer Mischung aus spätem Historismus und Reformarchitektur mit originellen Details, um 1905/10"
"Denkmalzone Kastellstraße 9–27 (ungerade Nummern) und 18–34 (gerade Nummern), Beringstraße 26 und 28–33", Neuwied,"geschlossene Bebauung aus durchweg zweigeschossigen, unterschiedlich gestalteten, teilweise bis in die Details (Fenster, Türen, Hoftore usw.) erhaltenen Wohnhäusern, auf der Nordwestseite um 1900/05, auf der Südostseite um 1905/10"
"Denkmalzone Pfarrstraße 64–70, 93–101", Neuwied,"weitgehend ungestört erhaltener Abschnitt mit spätklassizistischen Wohnhäusern zu beiden Seiten der Straße, um 1860/70; zusammen mit der Denkmalzone Hermannstraße wichtiges Zeugnis für die Stadtentwicklung in der zweiten Hälfte des 19. Jahrhunderts"
Denkmalzone Schloss der Fürsten zu Wied (Schloßstraße 1), Neuwied,"Schlossanlage, 1706 begonnen, Architekt Julius Ludwig Rothweil, 1748–56 unter Behagel von Adlerskron, Frankfurt, vollendet; Corps de logis, breitgelagerter Mansarddachbau, Mittelrisalit, 1707–13; Stukkatur 1714/15, Giovanni Battista Genone und Eugenio Castelli; Nebenentrakte 1707/1748–56, eingeschossiger siebensachsiger Mansarddachbau; dreiachsige Eckpavillons; Wachhäuschen, 1719/20; Eisengitter, 1887"
