Hauptstraße 5,Bell (Hunsrück),"Evangelische Kirche; barocker Saalbau, bezeichnet 1728, romanischer Westturm; bauliche Gesamtanlage aus Kirche und Friedhof",49.248628,8.874277
Hauptstraße 24,Bell (Hunsrück),"Mansarddachbau, Fachwerk verschiefert, um 1800",49.249886,8.872022
Hauptstraße 25,Bell (Hunsrück),"Streckhof; abgewalmter Mansarddachbau, Fachwerk verkleidet, um 1800, Scheune, Stall",49.249675,8.871986
Hauptstraße 27,Bell (Hunsrück),"Fachwerkhaus, teilweise massiv und verschiefert, Mitte des 19. Jahrhunderts",49.249798,8.871735
Hauptstraße 29,Bell (Hunsrück),"Fachwerkhaus, teilweise massiv und verschiefert, Krüppelwalmdach, 18. Jahrhundert; bauliche Gesamtanlage mit Nr. 31",49.24991,8.871519
Hauptstraße 31,Bell (Hunsrück),"Fachwerkhaus, verschiefert, 18. oder 19. Jahrhundert; bauliche Gesamtanlage mit Nr. 29",49.250074,8.871169
"Hauptstraße, Ecke L 204",Bell (Hunsrück),"Grenzstein, bezeichnet 1866",49.249316,8.873001
Rothenberger Hof 5,Bell (Hunsrück),"Rothenberger Hof; Streckhof; Fachwerkhaus, verschiefert, 19. Jahrhundert",49.613416,7.067226
Dorfstraße 18,Bell (Hunsrück),"Fachwerkhaus, Krüppelwalmdach, 18. Jahrhundert",50.027389,7.414101
Dorfstraße 6,Bell (Hunsrück),"Quereinhaus, Fachwerk verputzt, teilweise verschiefert, 19. Jahrhundert",50.028436,7.41332
Dorfstraße 39,Bell (Hunsrück),"Hofanlage; Fachwerkhaus, teilweise massiv, verkleidet, 18. oder 19. Jahrhundert; Fachwerkscheune, bezeichnet 1792; zweite Scheune, bezeichnet 1849",50.024906,7.413131
Hauptstraße 6,Bell (Hunsrück),"Evangelische Kirche; Saalbau, 1850–52",49.248828,8.874484
(an) Oberstraße 1,Bell (Hunsrück),"klassizistische Tür, frühes 19. Jahrhundert",50.033106,7.362853
Im Weiherchen 1,Bell (Hunsrück),"Fachwerkhaus, verschiefert, 19. Jahrhundert",50.034008,7.393647
Ringstraße 7,Bell (Hunsrück),"Quereinhaus, Fachwerk verschiefert, 19. Jahrhundert",50.032249,7.394033
Ringstraße 19,Bell (Hunsrück),"Hofanlage, 19. Jahrhundert; Fachwerkhaus, verschiefert, Scheune",50.033268,7.392039
Ringstraße 21,Bell (Hunsrück),"Hofanlage, 19. Jahrhundert; Fachwerkhaus, verschiefert, Fachwerkscheune",50.033476,7.392254
Ringstraße 23,Bell (Hunsrück),"Hakenhof, 19. Jahrhundert; Fachwerkhaus, teilweise verschiefert, Ökonomietrakt",50.03365,7.392389
Dorfstraße 28,Bell (Hunsrück),"Fachwerkhaus, teilweise massiv, Krüppelwalmdach, erste Hälfte des 18. Jahrhunderts",50.026017,7.413302
