Hauptstraße 19,Beltheim,"ehemaliger Sitz des Dreiherrischen Gerichts, danach Pfarrhaus; Fachwerkhaus, teilweise massiv, abgewalmtes Mansarddach, um 1700; Muschelnische mit Madonna, bezeichnet 1760; Brunnen; Scheune, 19. Jahrhundert; bauliche Gesamtanlage",50.105998,7.461128
Hauptstraße 22,Beltheim,"Streckhof; Fachwerkhaus, teilweise verschiefert; Fachwerkscheune, erste Hälfte des 19 Jahrhunderts",50.105496,7.461263
Kirchstraße 1,Beltheim,"Katholische Kirche St. Goar; Basis, Wegekreuz, Chor im Kern aus dem 17. Jahrhundert, Saalbau 1740, Um- und Neubau 1955–57; im Garten des Pfarrhauses romanische Basis, wohl aus dem 13. Jahrhundert; neben der Kirche Wegekreuz, Basalt, bezeichnet 1767",50.106414,7.46182
Kirchstraße 11,Beltheim,"Fachwerkhaus, teilweise massiv, erste Hälfte des 18. Jahrhunderts",50.106905,7.461362
(zu) Lehnenstraße 11,Beltheim,"Fachwerk-Quereinhaus, teilweise massiv und verschiefert, 19. Jahrhundert, Scheune; bauliche Gesamtanlage",50.105259,7.459044
Uhler Weg,Beltheim,"Kapelle; Bruchsteinbau, bezeichnet 1853",40.753768,-75.227922
"an der L 215 nach Frankweiler, in der Nähe des Friedhofs",Beltheim,"Grabkreuz; Gusseisen, Rheinböllener Hütte, Ende des 19. Jahrhunderts",53.975883,10.588352
(bei) Im Oberdorf 2,Beltheim,"Kapelle; verputzter Saalbau, 19. Jahrhundert",50.115178,7.488464
Im Vogelsang 1,Beltheim,"Fachwerkhaus, teilweise massiv, verschiefert, erste Hälfte des 19. Jahrhunderts; bauliche Gesamtanlage mit Scheune",50.115097,7.490324
Rhein-Mosel-Straße 15,Beltheim,"abgewalmter Mansarddachbau, teilweise Fachwerk verschiefert, erstes Drittel des 19. Jahrhunderts",50.115669,7.48744
Rhein-Mosel-Straße 36,Beltheim,"Katholische Pfarrkirche St. Mauritius; barocker Saalbau, 1724, bezeichnet 1756 (wohl Umbau), 1875 Sakristeianbau, 1906/07 verlängert und umgestaltet; bauliche Gesamtanlage mit Friedhof",50.115825,7.489156
"Rhein-Mosel-Straße, Ecke Zum Wiesentall",Beltheim,"Brunnen, Gusseisen, Rheinböllener Hütte, zweite Hälfte des 19. Jahrhunderts",50.115767,7.4885
Hauptstraße 9,Beltheim,"Hakenhof; Fachwerkhaus, teilweise verschiefert, Ökonomietrakt, erste Hälfte des 19. Jahrhunderts; bauliche Gesamtanlage",50.1043,7.46085
Hauptstraße 17,Beltheim,"Evangelische Kirche; neubarocker Putzbau, Anfang des 20. Jahrhunderts; Kriegerdenkmal, Basalt; bauliche Gesamtanlage mit Friedhof",50.105369,7.460958
Hauptstraße 27,Beltheim,"Hakenhof; Fachwerkhaus, teilweise verschiefert, Scheune, erste Hälfte des 19. Jahrhunderts; bauliche Gesamtanlage",50.106449,7.460589
(an) Hauptstraße 39,Beltheim,"klassizistische Tür, bezeichnet 1820",50.106726,7.459736
St.-Martin-Straße 19,Beltheim,"ehemaliges Pfarrhaus, später Schule; spätbarocker Mansardwalmdachbau, bezeichnet 1780, Garten; bauliche Gesamtanlage",52.194898,7.844224
St.-Martin-Straße 26,Beltheim,"Katholische Kirche St. Martin; barocker Saalbau, 1767–70, Chorturm im Kern romanisch; drei Grabkreuze, 1807, 1814 und 1815; Grabplatte; Friedhof und Kirche bauliche Gesamtanlage",52.345327,7.654859
Kapellenweg,Beltheim,"Heiligenhäuschen; Bruchsteinbau, frühes 19. Jahrhundert",50.114808,7.513536
"Lindenstraße, auf dem Friedhof",Beltheim,"Friedhofskreuz, Basalt, bezeichnet 1844",48.285616,9.734037
Lindenstraße 28,Beltheim,"Hakenhof; Fachwerkhaus, teilweise verschiefert, erste Hälfte des 19. Jahrhunderts, Fachwerkscheune; bauliche Gesamtanlage",50.12662,7.483074
Lindenstraße 29,Beltheim,"Katholische Kirche St. Nikolaus; Saalbau, 1723–25, Vorhalle bezeichnet 1923, Sakristei 1949; drei Grabkreuze, 1783, 18. und 19. Jahrhundert; mit Friedhof bauliche Gesamtanlage",50.126389,7.482436
Lindenstraße 34,Beltheim,"Streckhof; Fachwerkhaus, teilweise verschiefert, Krüppelwalm, 18. Jahrhundert, Fachwerkscheune; bauliche Gesamtanlage",50.126695,7.482158
"an der K 34, südlich des Ortes",Beltheim,"Grabkreuze; zwei Kreuze aus Gusseisen, Rheinböllener Hütte, zweite Hälfte des 19. Jahrhunderts",49.160943,11.261586
"an der K 34, südlich des Ortes",Beltheim,"Passionskapelle; kleiner Walmdachbau, bezeichnet 1725; Wegekreuz",49.160943,11.261586
