An der Kirche 1,Dommershausen,"ehemaliges Pfarrhaus; Bruchschieferbau, bezeichnet 1837",50.143087,7.399037
An der Kirche 15,Dommershausen,"Katholische Pfarrkirche St. Markus; Saalbau, bezeichnet 1759; auf dem Friedhof: sieben Grabkreuze, unter anderem von 1623, 1691, 1715, 1722, 1729; Missionskreuz, bezeichnet 1783 und 1860; Pfarrer-Grabplatte, bezeichnet 1737; bauliche Gesamtanlage mit Friedhof",50.143075,7.397528
Hauptstraße 23,Dommershausen,"Hofanlage; Fachwerkhaus, teilweise massiv, Ende des 17. oder Anfang des 18. Jahrhunderts, Fachwerkscheune, bezeichnet 1894; bauliche Gesamtanlage",50.142694,7.39954
Denkmalzone Burgruine Waldeck[1] (nordöstlich der Ortslage),Dommershausen,"Gründung im ersten Viertel des 12. Jahrhunderts, in den 1680er Jahren zerstört; zwei Burgteile mit Unterburg (darin Schlossruine, Kapelle, Rundturm, Bastion, etc.) und Oberburg","",""
An der Kapelle 9,Dommershausen,"Katholische Kirche St. Willibrord und St. Barbara; Saalbau, im Kern gotisch, Chor 1733",50.140899,7.421683
Dorfstraße 16,Dommershausen,"Hofanlage; Fachwerkhaus, bezeichnet 1867, Scheune, Fachwerkhaus, teilweise massiv und verschiefert, bezeichnet 1858; bauliche Gesamtanlage",50.156865,7.394069
auf dem Friedhof,Dommershausen,"Friedhofskreuz, Basalt, bezeichnet 1709 und 1881; Grabkreuz, Basalt, bezeichnet 17(??); Grabkreuz, Basalt, bezeichnet 1696; Kriegerdenkmal, Kreuz, Basalt",50.145356,7.398192
Gartenstraße 21,Dommershausen,"Fachwerkhaus, frühes 18. Jahrhundert, Sandsteinmaske, 17. Jahrhundert",50.140356,7.420884
an der Straße nach Sabershausen,Dommershausen,"Wegekreuz; Basalt, bezeichnet 1754",51.132813,11.224809
Dorfstraße 28,Dommershausen,"Filialkapelle St. Veit; Saalbau, bezeichnet 1763; sechs Grabkreuze, unter anderem von 1604, 1702, 1713, 1783; bauliche Gesamtanlage mit Friedhof",50.155116,7.390799
an der Straße nach Dommershausen,Dommershausen,"Wegekreuz; Basalt, bezeichnet 1718",51.132813,11.224809
"Friedhofstraße, auf dem Friedhof",Dommershausen,"Friedhofkreuz, Basalt, bezeichnet 1843",50.121866,7.41297
Hauptstraße,Dommershausen,"Katholische Pfarrkirche St. Johannes der Täufer; Backsteinsaal, 1867/68; bauliche Gesamtanlage mit altem Friedhof und Pfarrgarten",50.143959,7.398731
(bei) Hauptstraße 8,Dommershausen,"Wegekreuz, Basalt, bezeichnet 1790; Grabplatte, Basalt, bezeichnet 1790",50.144166,7.401947
Hirtenstraße 2,Dommershausen,"Streckhof; Fachwerkbau, teilweise massiv und verschiefert, 19. Jahrhundert, Bruchsteinscheune; bauliche Gesamtanlage",50.121676,7.413437
Kapellenstraße,Dommershausen,"Heilig-Kreuz-Kapelle; Saalbau, teilweise Fachwerk",50.12033,7.414892
Stilweg 1,Dommershausen,"ehemalige Schule; Art des Johann Claudius von Lassaulx; Bruchsteinbau, bezeichnet 1844; Bruchsteinscheune; bauliche Gesamtanlage",50.120359,7.411164
↑ a b Kreisverwaltung Rhein-Hunsrück-Kreis,Dommershausen,Rechtsverordnungen zur Unterschutzstellung von Denkmalzonen im Rhein-Hunsrück-Kreis (PDF-Datei; 47 kB); abgerufen am 18. Oktober 2011,50.145356,7.398192
