Denkmalzone Schloss Gemünden[1] (Schloßstraße 20),Gemünden (Hunsrück),"älteres Burghaus, um 1300 (?), teilweise Ruine, Arkadengalerie um 1417 erwähnten, 1520 weitgehend erneuerten „Neuen Bau“, Rechteckbau mit Ecktürmen, nach Zerstörung 1689 dreigeschossig wiederaufgebaut, 1718–28, Kurtrierischer Hofbaumeister Hans Georg Judas; Wirtschaftshof, Anfang des 18. Jahrhunderts; bauliche Gesamtanlage mit dem Schlossberg","",""
Denkmalzone Jüdischer Friedhof[1],Gemünden (Hunsrück),"wohl 1815/20 eröffnet, 92 Grabstelen ab 1814; 14 Grabsteine aus dem frühen 19. Jahrhundert, Letztbelegung 1970","",""
Auf der Hohl,Gemünden (Hunsrück),"Umspannturm; dreigeschossiger Bruchsteinbau, bezeichnet 1927",49.892987,7.475968
Burgweg 1,Gemünden (Hunsrück),"eingeschossige Putzvilla, um 1930",49.893986,7.482275
Hauptstraße,Gemünden (Hunsrück),"Katholische Pfarrkirche St. Peter und Paul; zweischiffige Halle, Mischformen aus Neuromanik und Neugotik, 1899, Architekt Lambert von Fisenne, Gelsenkirchen, Turm 1900/01",50.557958,8.016081
Hauptstraße 13,Gemünden (Hunsrück),"Fachwerkhaus, teilweise massiv, Krüppelwalmdach, um 1700",50.556665,8.014302
Hauptstraße 19/21,Gemünden (Hunsrück),"Forellenhof; Fachwerkhaus, teilweise massiv, erste Hälfte des 18. Jahrhunderts",50.55714,8.014194
Hauptstraße 54,Gemünden (Hunsrück),"Fachwerkhaus, teilweise massiv, um 1700",50.558485,8.017248
Kirchberger Straße 3,Gemünden (Hunsrück),"Fachwerkhaus, verputzt, teilweise verschiefert, bezeichnet 1721",49.894844,7.475591
Kirchberger Straße 4,Gemünden (Hunsrück),"schmales Fachwerkhaus, um 1700, Fachwerkanbau des 19. Jahrhunderts",49.894746,7.475977
Kirchberger Straße 5,Gemünden (Hunsrück),"ehemaliges Bannwirtshaus; Fachwerkbau, teilweise massiv, Krüppelwalmdach, Ende des 17. oder Anfang des 18. Jahrhunderts",49.894839,7.475807
Kirchberger Straße 7,Gemünden (Hunsrück),"Fachwerkhaus, teilweise massiv, um 1700",49.894856,7.476004
Kirchberger Straße 12,Gemünden (Hunsrück),"Fachwerkhaus, teilweise massiv, erstes Drittel des 18. Jahrhunderts",49.894995,7.476903
Kirchberger Straße 13,Gemünden (Hunsrück),"Fachwerkhaus, teilweise massiv, Mansardwalmdach, bezeichnet 1721",49.894989,7.476543
Kirchberger Straße 15,Gemünden (Hunsrück),"Fachwerkhaus, teilweise massiv, verputzt, 17. Jahrhundert",49.895065,7.476813
(an) Kirchberger Straße 17/19,Gemünden (Hunsrück),hölzernes Schmiedewappen,49.895204,7.476912
Kirchberger Straße 23,Gemünden (Hunsrück),"Rathaus; Fachwerkhaus, teilweise massiv, angeblich von 1692/94, eher aus der ersten Hälfte des 18. Jahrhunderts",49.895204,7.477343
Kirchberger Straße 25,Gemünden (Hunsrück),"Fachwerkhaus, teilweise massiv, verputzt, im Kern aus dem 17. Jahrhundert",49.895239,7.47746
Kirchberger Straße 31,Gemünden (Hunsrück),"Fachwerkhaus, teilweise massiv, verputzt, Torhaus, 18. Jahrhundert; Grabplatte Schüler, um 1753",49.895285,7.478062
Raiffeisenstraße 6/8,Gemünden (Hunsrück),"ehemalige Schule; Bruchsteinbau, Mitte des 19. Jahrhunderts, Erweiterung in der zweiten Hälfte des 19. Jahrhunderts",49.894427,7.478987
Schloßstraße,Gemünden (Hunsrück),"Evangelische Kirche; im Unterbau spätromanischer Turm, erste Hälfte des 13. Jahrhunderts; spätgotischer Chor, um 1450; Langhaus und Turm-Obergeschosse 1905/06; klassizistisches Denkmal, nach 1822",49.895848,7.478295
Schloßstraße 4/6,Gemünden (Hunsrück),"ehemaliges Badisches Zollhaus; Doppelwohnhaus, eingeschossiges Fachwerkhaus, Mansarddach, bezeichnet 1719",49.895889,7.478816
Kaisergrube (südöstlich des ortes an der B 421),Gemünden (Hunsrück),"Schiefergrube, im Terrassen- und Stollenabbau; Grabungsschutzgebiet",50.694127,9.057524
↑ a b Kreisverwaltung Rhein-Hunsrück-Kreis,Gemünden (Hunsrück),Rechtsverordnungen zur Unterschutzstellung von Denkmalzonen im Rhein-Hunsrück-Kreis (PDF; 49 kB); abgerufen am 18. Oktober 2011,50.694127,9.057524
