"Denkmalzone Hauptstraße[1] (Hauptstraße 5, 6, 6a)",Neuerkirch,"drei charakteristische Fachwerkbauten im Ortskern:

Hauptstraße 5: Fachwerk-Quereinhaus mit Kniestrock, Anfang des 19. Jahrhunderts
Hauptstraße 6: ehemalige Fachwerkscheune, 19. Jahrhundert
Hauptstraße 6a: ehemalige Scheune (heute Museum); Fachwerkbau, teilweise massiv und verschiefert, 19. oder 20. Jahrhundert

","",""
Hauptstraße 5,Neuerkirch,"Fachwerk-Quereinhaus mit Kniestrock, Anfang des 19. Jahrhunderts",50.014106,7.491213
Hauptstraße 6,Neuerkirch,"ehemalige Fachwerkscheune, 19. Jahrhundert",50.014326,7.491249
Hauptstraße 6a,Neuerkirch,"ehemalige Scheune (heute Museum); Fachwerkbau, teilweise massiv und verschiefert, 19. oder 20. Jahrhundert",50.014187,7.490818
"Alterkülzer Straße 2, 2a",Neuerkirch,"Fachwerkhaus, teilweise massiv und verschiefert, 19. Jahrhundert, Stall-/Scheunentrakt, bezeichnet 1738; bauliche Gesamtanlage",50.014036,7.490602
Alterkülzer Straße 7,Neuerkirch,"Hakenhof; Fachwerkhaus, erste Hälfte des 18. Jahrhunderts; ehemalige Scheune, 19. Jahrhundert; bauliche Gesamtanlage",50.013365,7.489883
Hauptstraße 2,Neuerkirch,"Evangelische Kirche; Saalbau, kurz nach 1728, Umbau nach 1821; bauliche Gesamtanlage mit Friedhof",50.013729,7.491599
Hauptstraße 8,Neuerkirch,"Back- und Gemeindehaus; Fachwerkbau, teilweise massiv, 1930er Jahre",50.014609,7.491357
Külzbachstraße 6,Neuerkirch,"Hofanlage, um 1910; Krüppelwalmdachbau; bauliche Gesamtanlage",50.012155,7.491806
Laubacher Straße 3,Neuerkirch,"ehemaliges Quereinhaus, Fachwerk, 19. Jahrhundert",50.016085,7.491195
↑ Kreisverwaltung Rhein-Hunsrück-Kreis,Neuerkirch,Rechtsverordnungen zur Unterschutzstellung von Denkmalzonen im Rhein-Hunsrück-Kreis (PDF; 49 kB); abgerufen am 18. Oktober 2011,50.014904,7.491455
