Denkmalzone Puricellische Stiftung/ehemaliges Waisenhaus (Bacharacher Straße 11),Rheinböllen,"von Ringmauer umschlossene Baugruppe: Tor bezeichnet 18??; ehemaliges Waisenhaus, neugotischer Bruchsteinbau, 1862–64; Kapelle zur unbefleckten Empfängnis, dreischiffiger Bruchsteinbau, 1887/88, reiche neugotische Ausstattung; ehemaliges Krankenhaus, Bruchsteinbau; Fachwerkverwaltungsbau, Garten","",""
"Denkmalzone Bacharacher Straße 8 und 10, Marktstraße 13",Rheinböllen,"umfasst die evangelische Kirche, das evangelische Pfarrhaus und die ehemalige evangelische Schule","",""
Denkmalzone Katholische Pfarrkirche St. Erasmus (Kirchgasse 3–5),Rheinböllen,"umfasst die katholische Kirche, das katholische Pfarrhaus und die ehemalige katholische Schule","",""
Denkmalzone Jüdischer Friedhof Rheinböllen (Auf dem Rockenberg),Rheinböllen,"1845 gegründet, etwa 20 Grabsteine von 1852 bis 1935","",""
Am Markt 1,Rheinböllen,"altes Rathaus; neugotischer Backsteinbau, 1873",50.008809,7.672304
(vor) Am Markt 1,Rheinböllen,"Brunnen; klassizistischer Sandsteinpylon, gusseisernes Becken, 1840",50.008809,7.672304
Bacharacher Straße 8,Rheinböllen,"evangelisches Pfarrhaus; Fachwerkhaus, teilweise massiv und verschiefert, 1730–33",50.007749,7.673229
Bacharacher Straße 10,Rheinböllen,"Evangelische Kirche; barocker Saalbau, 1764/65, Verlängerung 1845/46, Turm im Unterbau eventuell mittelalterlich; Brüstungsmauer um die Kirche, 18. Jahrhundert; am Chorhaupt Familiengrabmal Utsch-Puricelli mit klassizistischem Grabmal Carl Puricelli",50.008039,7.673427
Kirchgasse,Rheinböllen,"Kreuz, 18. Jahrhundert",50.009428,7.672744
Kirchgasse 3,Rheinböllen,"ehemalige Schule; großes Fachwerkhaus, teilweise massiv und verschiefert, 1780",50.011425,7.669151
Kirchgasse 4,Rheinböllen,"Katholische Pfarrkirche St. Erasmus; neugotische Hallenkirche, Backstein, 1870–72",50.011425,7.669151
"Liebshauser Straße, auf dem Friedhof",Rheinböllen,"Kapelle, Bruchsteinbau, 19. Jahrhundert; neugotisches Grabmal Puricelli, Grabmal Utsch, um 1860; Grabmal für ?, um 1844; Block mit Vase und Tuch; Grabmal Illades, um 1851; Grabmal Smirdainiskow, Gusseisen, Rheinböllener Hütte, zweite Hälfte des 19. Jahrhunderts; Brunnenbecken, Gusseisen, Rheinböllener Hütte, zweite Hälfte des 19. Jahrhunderts","",""
"Simmerner Straße, Ecke Poststraße",Rheinböllen,"Grabkapelle Puricelli; neugotischer Backsteinbau, bezeichnet 1891",50.002081,7.664049
Wehrstraße 8,Rheinböllen,"Brunnenhaus, Backsteinbau; gusseiserne Schwengelpumpe, Rheinböllener Hütte, zweite Hälfte des 19. Jahrhunderts",50.011425,7.669151
südlich von Rheinböllen auf dem Hochsteinchen,Rheinböllen,"Aussichtsturm Hochsteinchen; Eisenkonstruktion, 1893",50.007489,7.673373
Denkmalzone Rheinböller Hütte (entlang der B 50),Rheinböllen,"ehemals wichtigste Eisenhütte im Soonwald, bekannt seit dem 9. Jahrhundert, die Hütte seit 1598 bezeugt, Ende des 18. Jahrhunderts Übernahme durch die Brüder Puricelli; Gruppe von Gebäuden der 1830er/40er Jahre und 1880er/90er Jahre (neues Direktionshaus, alte Lagerhalle, Torhaus/Magazin, sogenanntes Casino, Wohnhäuser, ehemaliges Gärtnerhaus und Brücke) sowie Gruftkapelle St. Maria und St. Michael der Familie Puricelli",50.007489,7.673373
Teves-Straße,Rheinböllen,"Gruftkapelle St. Maria und St. Michael der Familie Puricelli; Bruchsteinsaal, 1857, Erweiterung mit Triconchos und Vierungsturm, 1906, Architekt Eduard Endler, Köln",49.986955,7.697098
Teves-Straße 6–8,Rheinböllen,"Wohnhaus, zweite Hälfte des 19. Jahrhunderts",49.987876,7.695678
Teves-Straße 20,Rheinböllen,"Torhaus/Magazin; eingeschossiger Bruchsteinbau mit Uhrturm, um 1830/40; Brücke, um 1840",49.985397,7.698284
Teves-Straße 21,Rheinböllen,"spätklassizistischer Zweiflügelbau, 1860",49.985009,7.700556
Teves-Straße 24,Rheinböllen,"sogenanntes Casino; ehemaliges Putzhaus, Hausteinbau mit Kniestock, zweite Hälfte des 19. Jahrhunderts",49.985495,7.699173
Teves-Straße 30,Rheinböllen,"ehemaliges Gärtnerhaus; eingeschossiger Mansardwalmdachbau, Fachwerk verputzt, 18. oder 19. Jahrhundert; Bruchsteinscheune, teilweise Fachwerk, Krüppelwalmdach, 19. Jahrhundert; Brücke, Mitte des 19. Jahrhunderts",49.984789,7.700314
