"Denkmalzone Badhausstraße 1–5, Mainzer Straße 7–16, Bahnhofstraße 1–8 und Alexanderstraße 1–5",Bad Ems,"von Mainzer-, Badhaus-, Alexander- und Bahnhofstraße begrenzter Bereich, der in den späten 1820/40er Jahren erschlossen und nach städtebaulichem Konzept der nassauischen Regierung geplant und mit klassizistischen Wohnhäusern bebaut wurde; zugehörig die Grün- und Freiflächen","",""
"Denkmalzone Braubacher Straße 1–9 (alle Nummern), 52–56 (alle Nummern) und 58, Malbergstraße 2 und Wintersbergstraße 1, 2 und 3",Bad Ems,"kurz nach Mitte des 19. Jahrhunderts errichtete Wohnhäuser mit aufwändiger Fassadengliederung (Bauornamente aus Stein oder Stuck, guss- und schmiedeeiserne Balkone und Brüstungsgitter, Sprossenfenster, Klappläden, historische Haustüren etc.) und von städtebaulicher Geschlossenheit","",""
Denkmalzone Grabenstraße 10–26 und 30–32 (gerade Nummern),Bad Ems,"geschlossene, das Straßenbild prägende Blockbebauung, größtenteils klassizistische Häusergruppe, erste Hälfte des 19. Jahrhunderts","",""
Denkmalzone Jüdischer Friedhof (Am Friedhof),Bad Ems,"zwei Gräberfelder auf dem Gelände des christlichen Friedhofs, etwa 200 Grabsteine, frühes 19. Jahrhundert bis 1960",50.335008,7.711408
"Denkmalzone Kirchplatz (Kirchgasse 15–25, 29, Fronhof 1–5, 9, 10, Marktstraße 57–6)",Bad Ems,"über dem Gelände eines römischen Kastells gelegene Platzanlage, gekennzeichnet durch das große ehemalige Friedhofsareal sowie Wohnhäuser des 18. und 19. Jahrhunderts von eher ländlichem Charakter (alter Ortskern)",50.335008,7.711408
"Denkmalzone Kurviertel (Römerstraße 1–56 und 92–97 (jeweils alle Nummern), Kurpark, anschließender östlicher Abschnitt der Viktoriaallee, katholische Pfarrkirche St. Martin, gesamte Nordseite der Viktoriaallee (außer Nr. 15, von Nr. 12 nur das straßenseitige Grundstück), Oranienweg 1)",Bad Ems,"auf der rechten Seite der Lahn gelegener Bereich des Bades mit den historischen Kurgebäuden und dem Kurpark sowie die vor allem durch Bauten des 19. Jahrhunderts geprägte Front der Römerstraße einschließlich der drei Laufbrunnen, Kaiser-Wilhelm-Denkmal, Pavillon über Römerquelle und Ehrenmal an der Rathausstraße ( Bild) sowie der östliche Abschnitt der Viktoriaallee einschließlich der katholischen Pfarrkirche St. Martin und der gesamten Nordseite der Viktoriaallee einschließlich Oranienweg 1","",""
Denkmalzone Lahnstraße 3–18 und 20–38 (alle Nummern),Bad Ems,"das Straßenbild kennzeichnende Wohnhäuser sowie Darmstädter Hof (Nr. 3/4) von 1815–18 (Nr. 3) und 1878 (Nr. 4) mit elfachsiger spätklassizistischer Fassade und der ehemaligen Thurn- und Taxis’schen Posthalterei (Alte Post, Nr. 9) von 1694","",""
denkmalzone Malbergbahn (Villenpromenade),Bad Ems,"Gesamtanlage mit Talstation der Standseilbahn, 1886/87, Bahnstrecke und Bergstation",50.335008,7.711408
"Denkmalzone Römerstraße 95, 96, Viktoriaallee 3",Bad Ems,"zwei siebenachsige klassizistische Wohn- und Logierhäuser, Nr. 95 ehemals Zu den drei Schweizern (Bild), 1836/37, Architekt Bauaccessist Lossen, Nr. 96, ehemals Haus Nizza, 1835/36, wohl ebenfalls von Lossen, rückwärtig gelegen (Viktoriaallee 3) zweigeschossiges Gartenhaus, zweite Hälfte des 19. Jahrhunderts","",""
Denkmalzone Siedlung Am Martinshof (Am Martinshof 1–6 und Wilhelmsallee 51 und 52),Bad Ems,wohl um 1920/30 in Zusammenhang mit den Emser Blei- und Zinkwerken errichtete Wohnsiedlung aus acht Walmdachbauten sowie Begrenzungsmauer an der Wilhelmsallee mit Darstellung des heiligen Martin,"",""
