Denkmalzone Lahnfront (Lahnstraße 2–30 (gerade Nummern)),Dausenau,"Bebauung auf der Südseite der parallel zum Fluss verlaufenden Lahnstraße, deren historisches Erscheinungsbild vor allem lahnseitig mit den integrierten Teilen der ehemaligen Stadtbefestigung wirksam wird",50.328447,7.761615
Denkmalzonen Stadtmauer Dausenau Ost[1] und West[2],Dausenau,"dreieckiger Bruchsteinmauerbering, 1324 erwähnt, größtenteils erhalten; Ruine eines Flankenturms; Untertor; vom Obertor nur der Schiefe Turm erhalten","",""
Am Unterbach ohne Nummer,Dausenau,"ehemalige Kastormühle; Massivbau, 18. oder Anfang des 19. Jahrhunderts",50.336187,7.760079
Im Hamm ohne Nummer,Dausenau,"Bahnhof Dausenau; Empfangsgebäude der Lahnbahn, Reformarchitektur, um 1910",50.326556,7.755883
Kirchgasse 5,Dausenau,"kleines Fachwerkhaus, teilweise massiv, dendro-chronologisch datiert auf 1554",50.32904,7.760519
Kirchgasse 13,Dausenau,"Evangelische Pfarrkirche St. Kastor; Emporenhalle mit drei Chören, erste Hälfte des 14. Jahrhunderts, spätromanischer Westturm; auf dem Friedhof Grabmal J. Kurtz, gestorben 1824, Bildhauer Josef Scholl, Mainz",50.329437,7.760177
Lahnstraße,Dausenau,"Denkmal; Sandsteinpfeiler, um 1909",50.327826,7.763196
Lahnstraße 6,Dausenau,"Fachwerkhaus über hohem Kellersockel, 16. und 19. Jahrhundert",50.320597,7.736695
Lahnstraße 9,Dausenau,"Fachwerkhaus, teilweise massiv, 17. oder 18. Jahrhundert",50.320597,7.736695
Lahnstraße 22,Dausenau,"ehemaliges Rathaus; spätgotischer Ständerbau, teilweise massiv, dendrodatiert 1432/34",50.320597,7.736695
Lahnstraße 27,Dausenau,"fünfachsiger verputzter Fachwerkbau, Mansarddach, um 1810/20",50.320597,7.736695
Lahnstraße 30,Dausenau,"ehemalige Schule, später Rathaus; stattlicher klassizistischer Bau, bezeichnet 1830",50.320597,7.736695
Langgasse 12,Dausenau,"Fachwerkhaus mit ehemaligem Hallenerdgeschoss, um 1600",50.329419,7.761291
Langgasse 16,Dausenau,"Fachwerkhaus mit ehemaligem Hallenerdgeschoss, bezeichnet 1629",50.329609,7.761381
Langgasse 17,Dausenau,"Fachwerkhaus, teilweise verputzt, angeblich von 1684",50.329868,7.761255
Langgasse 18,Dausenau,"Fachwerkhaus, teilweise massiv, verputzt, wohl aus dem 17. oder 18. Jahrhundert",50.329764,7.761399
Langgasse 27,Dausenau,"Fachwerkhaus, angeblich von 1773",50.330069,7.760968
südwestlich der Ortslage,Dausenau,"Bahnwärterhaus Hollerborn der Lahntalbahn; zweieinhalbgeschossiger Typenbau mit Segmentbogenfenstern, mit Nebengebäude, um 1860/70, teilweise verändert",50.328447,7.761615
"





Kirchgasse 13",Dausenau,"Evangelische Pfarrkirche St. Kastor


",50.329437,7.760177
"





Lahnstraße 22",Dausenau,"ehemaliges Rathaus


",50.320597,7.736695
