Denkmalzone Altstadt,Diez,"Diezer Burg (sogenanntes Grafenschloss) und die zugehörige, ehemals vollständig ummauerte Siedlung sowie im Nordwesten und im Südwesten das Lahnufer",18.951444,-99.235695
"Denkmalzone Bahnhofstraße 1–7, Wilhelmstraße 69, 71, 73",Diez,"Gruppe aus drei einheitlich konzipierten klassizistischen Wohnbauten, um 1850 sowie die um 1870 kurz nach Eröffnung des Bahnhofs angelegte Bebauung aus sieben Villen im westlichen Abschnitt der Bahnhofstraße","",""
Denkmalzone Louise-Seher-Straße 15–23 (ungerade Nummern),Diez,fünf villenartige Wohnhäuser am nordwestlichen Rand der im späten 19. Jahrhundert am Hang nördlich des Bahnhofs angelegten Stadterweiterung; die Vorgärten mit den alten straßenseitigen Einfriedungen erhalten,"",""
Denkmalzone Neustadt Diez,Diez,einheitlich mit zwei rechteckigen Plätzen (Markt und Ernst-Scheuern-Platz) angelegte Stadterweiterung ab 1690 sowie im Westen das Lahnufer,18.951444,-99.235695
"Denkmalzone Parkstraße 1–17 (ungerade Nummern, von Nr. 15 nur straßenseitiger Garten), 2 und 4",Diez,"mehrere Villen und villenartige Wohnhäuser und dazugehörige Gärten mit alten straßenseitigen Einfriedungen, spätes 19. und frühes 20. Jahrhundert (Nr. 5 bezeichnet 1902)","",""
Denkmalzone Schloss Oranienstein,Diez,"Hauptflügel unter Wiederverwendung romanischen Mauerwerks 1671–84 errichtet, Umbau der mittelalterlichen Wohntrakte zum Schloss, 1704–09, Architekt Daniel Marot, Baumeister Johann Coulon; vom niederländischen Barock stark beeinflusster Bau im Louis-Seize-Stil; Kasernenbauten der preußischen Kadettenanstalt, 1900–14",18.951444,-99.235695
Friedrichstraße 14,Diez,"Schule; Backsteinbau, bezeichnet 1905–1906",49.510219,11.283343
Gartenstraße 2,Diez,"dreiflügliges Wohnhaus, ursprünglich wohl zwei parallele Fachwerkhäuser, 17. Jahrhundert, im 18. Jahrhundert wohl erweitert, erhöht und zusammengefasst",47.663428,8.889926
Limburger Straße,Diez,"Kriegerdenkmal 1870/71, Skulptur Kaiser Wilhelms I., bezeichnet 1895",50.375388,8.034352
Limburger Straße 122,Diez,"Strafvollzugsanstalt, 1912; Gesamtanlage",50.375859,8.038484
Mittelstraße 1,Diez,"Evangelische Jakobuskirche; Saalbau, 1851–53",50.369344,8.024677
Wilhelmstraße 90,Diez,"Gasthaus; achtachsiger Mansarddachbau, verputzt, Fachwerk teilweise wohl aus dem 18. Jahrhundert",50.370465,8.019467
Wikipedia,Diez,ilderwunsch an bestimmtem Ort,18.951444,-99.235695
