Kirberger Straße,Kaltenholzhausen,"Laufbrunnen; der Inschrift an der rechten Schmalseite zufolge angefertigt in der Michelbacher Hütte, zweite Hälfte des 19. Jahrhunderts",50.300072,8.105418
Kirberger Straße,Kaltenholzhausen,"Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",50.300072,8.105418
Kirberger Straße 21,Kaltenholzhausen,"Fachwerkhaus, verputzt und verkleidet, wohl aus dem 17. oder 18. Jahrhundert",50.300538,8.104232
Kirberger Straße 24,Kaltenholzhausen,"verputztes Fachwerkhaus, wohl aus dem 17. oder 18. Jahrhundert",50.300365,8.104502
Kirberger Straße 25,Kaltenholzhausen,"Fachwerkhaus, verputzt und verschiefert, wohl aus dem 17. oder 18. Jahrhundert, um Kniestock erhöht",50.300406,8.104816
Kirberger Straße 35,Kaltenholzhausen,"Wohnhaus, verputzt und verschiefert, um 1900",50.300049,8.105723
Kirberger Straße 39,Kaltenholzhausen,"Fachwerkhaus, 18. Jahrhundert, um Kniestock erhöht",50.299836,8.106199
Kirchgasse 3,Kaltenholzhausen,"Evangelische Kirche; neugotischer Bruchsteinbau, bezeichnet 1895",50.300647,8.105948
Ringstraße 1,Kaltenholzhausen,"Fachwerkhaus, verputzt und verschiefert, wohl aus dem 17. Jahrhundert",50.299738,8.105418
Ringstraße 8,Kaltenholzhausen,"Fachwerkhaus, teilweise massiv, verputzt und verkleidet, wohl aus dem 18. Jahrhundert",50.300026,8.104053
Ringstraße 21,Kaltenholzhausen,"gutshofartiges Anwesen; zweieinhalbgeschossiges Fachwerkhaus, wohl aus dem 17. oder 18. Jahrhundert, mit klassizistischer Putzfassade überformt, große Wirtschaftsgebäude um 1900",50.300325,8.103558
Waldstraße 12,Kaltenholzhausen,"Putzfachwerkbau, um 1880",50.298766,8.106999
