Denkmalzone Aftholderbach,Miehlen,"aus einem 1222 gestifteten, in der frühen Neuzeit aufgelösten Zisterzienserinnenkloster hervorgegangene Gehöftgruppe; drei große mehrseitige Hofanlagen in durchweg sehr vollständigem Erhaltungszustand, 16. und 17. Jahrhundert (Nr. 1), 18. Jahrhundert (Nr. 3) und 19. Jahrhundert (Nr. 2)",50.227217,7.830578
"Denkmalzone Hauptstraße 40, 43–59 (alle Nummern)",Miehlen,dicht gereihte giebel- und traufständige Bebauung vom Rathaus im Norden bis zu Haus Nr. 59 im Süden; seine besondere Charakteristik erhält das geschlossene und im Wesentlichen ungestörte Straßenbild durch den kanalartig eingefassten Mühlbach und die beiden Brücken,"",""
Denkmalzone Jüdischer Friedhof (nordöstlich der Ortslage am Westhang des Ehrlichsbergs),Miehlen,"Wiesengelände mit etwa 35 Grabsteinen, frühes 19. Jahrhundert bis 1938",50.227217,7.830578
Bettendorfer Straße 1,Miehlen,"ehemaliger Bahnhof; Fachwerkbau, Backsteingefache, teilweise verschiefert, Lagerschuppen",50.225287,7.835645
Borngasse 1,Miehlen,"Wohnhaus, teilweise verputzt und mit Zierfachwerk des 18. Jahrhunderts, Kniestock um 1900",50.226145,7.829626
Borngasse 7,Miehlen,"Fachwerkhaus, verputzt, wohl aus dem 18. Jahrhundert",50.22614,7.829177
Borngasse 15,Miehlen,"Fachwerkhaus, verputzt, wohl aus dem 17. oder 18. Jahrhundert, Kniestock um 1900",50.226088,7.82836
Bornköppel 2,Miehlen,"Quereinhaus, teilweise massiv, verputzt und mit Fachwerk des 18. Jahrhunderts, Kniestock um 1900",50.226895,7.827758
Bornköppel 9,Miehlen,"Fachwerkhaus, teilweise verputzt, 18. Jahrhundert",50.225857,7.828126
Haargasse 8,Miehlen,"ehemalige Zehntscheune (?); stattlicher Mansarddachbau, bezeichnet 1774",50.227315,7.831504
Haargasse 21,Miehlen,"Fachwerkhaus, verputzt und verkleidet, wohl aus dem 18. Jahrhundert",50.227638,7.83251
Haargasse 22,Miehlen,"Fachwerkhaus, teilweise massiv, verputzt und verschiefert, wohl aus dem 17. oder 18. Jahrhundert",50.227546,7.832689
Hauptstraße 19,Miehlen,"Fachwerkhaus, teilweise massiv, Krüppelwalmdach, spätes 18. Jahrhundert",50.228479,7.830084
Hauptstraße 20,Miehlen,"Wohnhaus, teilweise massiv, verputzt, verkleidet und mit Zierfachwerk des 17. Jahrhunderts",50.228087,7.829959
Hauptstraße 21,Miehlen,"stattliches Fachwerkhaus verputzt und verkleidet, Walmdach, wohl aus dem 17. oder 18. Jahrhundert, Querbau aus dem 19. Jahrhundert",50.228318,7.830228
Hauptstraße 24,Miehlen,"Fachwerkhaus, teilweise massiv, verputzt, wohl aus dem 18. Jahrhundert, Kniestock aus dem letzten Viertel des 19. Jahrhunderts",50.227736,7.830183
Hauptstraße 43,Miehlen,"ehemaliges Rathaus; Bruchsteinbau, Mittelrisalit, 1868",50.227125,7.830704
Hauptstraße 47,Miehlen,"Fachwerkhaus, verputzt und verschiefert, Krüppelwalmdach, wohl aus dem 18. Jahrhundert",50.226825,7.830668
Hauptstraße 49,Miehlen,"Fachwerkhaus, verputzt und verschiefert, wohl aus dem 17. oder 18. Jahrhundert",50.226727,7.830659
Hauptstraße 50,Miehlen,"Fachwerkhaus, verputzt, wohl aus dem 17. oder 18. Jahrhundert",50.226716,7.830255
Kirchgasse 9,Miehlen,"Evangelische Pfarrkirche; Chor wohl noch aus der zweiten Hälfte des 13. Jahrhunderts, barockes Schiff, 1924 erweitert",50.227546,7.828126
Kirchgasse 16,Miehlen,"Pfarrhaus; barocker Fachwerkbau, verputzt, wohl aus dem 17. oder 18. Jahrhundert, Kniestock aus dem späten 19. Jahrhundert",50.227696,7.828126
Krämergasse 28,Miehlen,"Fachwerkhaus, teilweise massiv, bezeichnet 1707, Kniestock um 1900",50.227027,7.833723
Schleifgasse 2,Miehlen,"Fachwerkhaus, verkleidet, wohl aus dem 17. oder 18. Jahrhundert",50.226589,7.829024
"Langgasse, auf dem Friedhof",Miehlen,"Kriegerdenkmal 1914/18, Statue eines Soldaten; Kriegerdenkmal 1870/71, Postament mit Obelisk",50.225269,7.828638
Hauptstraße 3,Miehlen,"Knabs- oder Ehrlichsmühle; dreiseitiges Mühlenhofanlage; Krüppelwalmdachbau, im Kern wohl aus dem 18. Jahrhundert",50.231055,7.830102
