Stadtbefestigung,Nassau (Lahn),"ehemals fünf Tortürme und Erdwälle der Stadtmauer, 1323/24, Mauern von 1546; erhalten: Grauer Turm, achteckiger Zeltdachbau; Eimelsturm, fünfeckig, Rest der Mühlpforte",25.078192,-77.343841
Am Adelsheimer Hof 1,Nassau (Lahn),"ehemaliger Adolzheimer Hof, heute Rathaus; stattlicher dreigeschossiger Fachwerkbau, Erdgeschosslaube, 1607–09; nach Kriegsbeschädigung 1945 wiederhergestellt",50.311929,7.800665
Am Eimelsturm 3,Nassau (Lahn),"siebenachsiger Fachwerkbau, verputzt, bezeichnet 1804 und 1954",50.314938,7.795867
Kettenbrückstraße 4,Nassau (Lahn),"spätklassizistisches Wohn- und Geschäftshaus; nach heutigen Maßstäben kein Denkmal, da durch moderne Ladeneinbauten zu stark verändert",50.312896,7.797529
Kettenbrückstraße 6,Nassau (Lahn),"langgestrecktes spätklassizistisches Eckwohn- und Geschäftshaus, wohl bald nach 1830",50.312729,7.797493
Kettenbrückstraße 8,Nassau (Lahn),"Evangelische Pfarrkirche; spätromanischer Chorturm, romanisches Schiff, frühgotisch erweitert",50.312516,7.79744
Kirchstraße 6,Nassau (Lahn),"ehemaliger Pfarrhof; verputztes Wohnhaus, im Kern aus dem 16. Jahrhundert, Querbau aus dem 17. Jahrhundert, 1835 durchgreifend umgestaltet; verputzte Fachwerkscheune",50.31052,7.793918
Lahnstraße 1,Nassau (Lahn),"langgestreckter stattlicher Putzbau, zweieinhalbgeschossige Eckbauten, im Kern wohl um 1850/60, Ausbau des Mansarddachs um 1910",50.31052,7.793918
Marktplatz,Nassau (Lahn),"Kriegerdenkmal 1914/18 als Brunnen, bezeichnet 1923",50.313224,7.797314
Neuzebachweg 1,Nassau (Lahn),"Forstamt; villenartiger Backsteinbau, teilweise mit Zierfachwerk, Ende des 19. Jahrhunderts",50.317906,7.794664
Obernhofer Straße 41,Nassau (Lahn),"Villa, um 1910; Gesamtanlage mit parkartigem Gelände und Zuffahrtstor",50.312556,7.805875
Römerstraße 3,Nassau (Lahn),"Gasthaus Zum Stern; verputzter Fachwerkbau, teilweise massiv, wohl von 1649",50.31052,7.793918
Schloßstraße 1/1a,Nassau (Lahn),"Stein’sches Schloss; Massivbau mit Säulenportal, 1621, Treppenturm und Querflügel, zweite Hälfte des 17. Jahrhunderts, Seitenflügel mit Mansarddächern, 1755; achteckiger neugotischer Turm, begonnen 1814, Architekt Johann Claudius von Lassaulx, Koblenz",46.832798,15.348777
Schloßstraße 3,Nassau (Lahn),"Buderushaus; stattlicher Fachwerkbau, bezeichnet 1800",46.832798,15.348777
Windener Straße 21,Nassau (Lahn),"Freiherr-vom-Stein-Grundschule; Zweiflügelbau, Reformarchitektur, um 1910/15",50.315749,7.802371
östlich der Stadt an der Straße nach Obernhof,Nassau (Lahn),Jüdischer Friedhof; teilweise von einer Bruchsteinmauer eingefasstes Areal mit insgesamt etwa 60 Grabsteinen,49.998092,8.659454
vor dem westlichen Portal des Tunnels bei der Elisenhütte,Nassau (Lahn),"Bahnwärterhaus; zweieinhalbgeschossiger Typenbau, um 1860",25.078192,-77.343841
Am Burgberg 5,Nassau (Lahn),"Fachwerkhaus, verputzt und verschiefert, wohl aus dem 17. oder 18. Jahrhundert",50.31052,7.793918
Bezirksstraße 3,Nassau (Lahn),"Fachwerkhaus, verputzt und verschiefert, wohl aus dem 17. oder 18. Jahrhundert",50.31052,7.793918
Bezirksstraße 5,Nassau (Lahn),"Fachwerkhaus, verputzt und verkleidet, wohl aus dem 17. oder 18. Jahrhundert",50.31052,7.793918
Bezirksstraße 9,Nassau (Lahn),"ehemalige Rezeptur; stattlicher verputzter Fachwerkbau, Dendrodatierung des Dachstuhls 1544",50.31052,7.793918
Bezirksstraße 11,Nassau (Lahn),"Karl-Todt-Haus; stattlicher Mansarddachbau mit Seitenrisaliten, um 1910/20",50.31052,7.793918
