"Denkmalzone Ortskern (Hauptstraße 1–13 (ungerade Nummern) und 2–16 (gerade Nummern, ohne Nr. 6))",Oberneisen,"in seinen Strukturen und in den Details in ungewöhnlicher Dichte erhaltener Straßenabschnitt mit überwiegend mit der Giebelseite unmittelbar an der Straße stehenden Wohnhäusern, zum Teil zu großen Hofanlagen gehörend, meist im verputzten Zustand des 19. Jahrhunderts, auf der Ostseite der Straße aufgrund des ansteigenden Hangs mit hohem Kellersockel","",""
Bahnhofstraße 7,Oberneisen,"ehemaliger Bahnhof der Aartalbahn; spätklassizistisches Empfangsgebäude, 1869/70",50.325969,8.068362
Hauptstraße 2,Oberneisen,"Hofanlage; stattliches Wohnhaus, spätes 19. Jahrhundert, Fachwerkscheune, massive Scheune, bezeichnet 1888, Stall, schmiedeeisernes Tor",50.326187,8.073231
Hauptstraße 3,Oberneisen,"ehemaliges Pfarrhaus; Fachwerkbau über hohem Kellersockel, 17. Jahrhundert",50.326136,8.073465
Hauptstraße 5,Oberneisen,"Fachwerkhaus, verkleidet, wohl aus dem 17. oder 18. Jahrhundert",50.325687,8.073869
Hauptstraße 7,Oberneisen,"verputztes Fachwerkhaus, wohl aus dem 17., eventuell noch aus dem 16. Jahrhundert, Kniestock um 1900",50.325474,8.074058
Hauptstraße 8,Oberneisen,"verputztes Fachwerkhaus, wohl aus dem 17. oder 18. Jahrhundert, später erhöht",50.325779,8.073627
Hauptstraße 12,Oberneisen,"Dreiseithof; verputztes Fachwerkhaus, wohl aus dem 17. oder 18. Jahrhundert, um Kniestock erhöht, Mansarddach-Scheune, Stall, Gesamterscheinungsbild aus dem späten 19. Jahrhundert",50.325319,8.074076
Hauptstraße 14,Oberneisen,"verputztes Fachwerkhaus, wohl aus dem 17. oder 18. Jahrhundert",50.32517,8.074273
Hauptstraße 15,Oberneisen,"Fachwerkhaus über hohem Kellersockel, verputzt und verschiefert, bezeichnet 1718",50.324807,8.074893
Hauptstraße 16,Oberneisen,"verputztes Fachwerkhaus, wohl aus dem 17. oder 18. Jahrhundert, Kniestock aus dem späten 19. Jahrhundert",50.325078,8.074363
Hauptstraße 23,Oberneisen,"Fachwerkhaus, verkleidet, wohl aus dem 17. oder 18. Jahrhundert",50.324238,8.075468
"Hauptstraße, Ecke Grebenstraße",Oberneisen,Burgruine; vierstöckige Mauer eines ehemaligen Burghauses der 1288 erbauten Burg,50.323674,8.076816
Kirchberg,Oberneisen,"Evangelische Pfarrkirche; anspruchsvoller klassizistischer Zentralbau, 1816–19, spätromanischer Westturm",50.32544,8.075001
