Hauptstraße 7,Oberwallmenach,"Fachwerkhaus, verputzt und verschiefert, wohl aus dem 17. oder 18. Jahrhundert",50.162948,7.82721
Hauptstraße 8,Oberwallmenach,"Fachwerkhaus, verputzt und verschiefert, wohl aus dem 17. oder 18. Jahrhundert, Kniestock aus dem 19. Jahrhundert",50.16289,7.827946
Hauptstraße 10,Oberwallmenach,"Fachwerkhaus, verputzt und verschiefert, wohl aus dem 17. oder 18. Jahrhundert",50.162705,7.827991
Hauptstraße 15,Oberwallmenach,"Fachwerkhaus, verputzt, 18. Jahrhundert",50.162636,7.827839
Kirchweg 2,Oberwallmenach,"Fachwerkhaus, teilweise massiv, verputzt, wohl aus dem 18. Jahrhundert",50.162469,7.827057
Kirchweg 3,Oberwallmenach,"Fachwerkhaus, verputzt, wohl aus dem 17. oder 18. Jahrhundert",50.162596,7.827353
Lindenstraße ohne Nummer,Oberwallmenach,"Spritzen- und Gemeindebackhaus, eingeschossiger Fachwerkbau, verputzt",50.163386,7.828701
Lindenstraße 4,Oberwallmenach,"Hofanlage; Fachwerkhaus, teilweise massiv und verschiefert, wohl aus dem 18. Jahrhundert, Kniestock aus dem 19. Jahrhundert; Gesamtanlage mit eineinhalbgeschossigem Anbau und Fachwerwerkscheune",50.163248,7.828126
Rheingaustraße,Oberwallmenach,"Evangelische Pfarrkirche; Saalbau mit Mansarddach, 1733",50.161211,7.827291
(bei) Rheingaustraße 5,Oberwallmenach,"gusseiserner Pumpbrunnen, zweite Hälfte des 19. Jahrhunderts",50.162099,7.827443
Rheingaustraße 6,Oberwallmenach,"Fachwerkhaus, verputzt, wohl aus dem 17. oder 18. Jahrhundert",50.162105,7.827713
Rheingaustraße 8,Oberwallmenach,"stattliches Fachwerkhaus, 18. Jahrhundert",50.161857,7.827803
