"Denkmalzone Hauptstraße 39–51 (ungerade Nummern), 46, 48, 52, 54 und Brunnen bei Hauptstraße 39",Patersberg,"Straßenabschnitt mit gut erhaltener, dicht gereihter Bebauung aus giebel- und traufständigen Fachwerkhäusern des 17. bis 19. Jahrhunderts, teilweise im verputzten Erscheinungsbild des 19. Jahrhunderts","",""
Bendergasse 44,Patersberg,"Wohnhaus, teilweise massiv und verschiefert, Zierfachwerk, bezeichnet 1585",50.15619,7.73498
Borngasse 50,Patersberg,"kleines Fachwerkhaus, teilweise massiv, angeblich von 1584",51.528385,11.537809
Borngasse 63,Patersberg,"verputztes Fachwerkhaus, wohl aus dem 17. oder 18. Jahrhundert",50.999458,7.092666
Hauptstraße 25,Patersberg,"Pfarrhaus; stattlicher Putzfachwerkbau, angeblich aus dem frühen 19. Jahrhundert, heutiges Erscheinungsbild um 1860/70; Gesamtanlage mit eingeschossigem Fachwerknebengebäude",50.156755,7.733983
(bei) Hauptstraße 39,Patersberg,"gusseiserner Pumpbrunnen, 1894",50.156686,7.735186
Hauptstraße 43,Patersberg,"Fachwerkhaus, teilweise verschiefert, eventuell noch aus der zweiten Hälfte des 16. Jahrhunderts und dem 19. Jahrhundert",50.156577,7.735465
Hauptstraße 52,Patersberg,"Fachwerkhaus, verkleidet, Krüppelwalmdach, wohl aus dem 17. oder 18. Jahrhundert",50.156178,7.736022
Kirchgasse 30,Patersberg,"Fachwerkhaus, teilweise massiv, bezeichnet 1596",49.361398,8.255661
Kirchgasse 32,Patersberg,"Evangelische Pfarrkirche; romanisches Schiff, wohl aus dem 12. Jahrhundert, Chor und Westturm wohl aus dem 14. Jahrhundert, Spitzhelm aus dem 19. Jahrhundert",49.361217,8.255634
Schulstraße ohne Nummer,Patersberg,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",50.1575,7.734243
Schulstraße 83,Patersberg,"ehemalige Schule, eingeschossiger Krüppelwalmdachbau, Reformarchitektur, 1912",50.157286,7.733893
