"Denkmalzone Jüdischer Friedhof (südlich von Obernhof, beim ehemaligen Kloster Arnstein)",Seelbach (Nassau),Areal mit vier Grabsteinen,48.309867,7.941053
Denkmalzone Kaiserlicher Soldatenfriedhof (am Dörsbach),Seelbach (Nassau),"1794 angelegtes Areal, gekennzeichnet durch ein modernes Denkmal",48.309867,7.941053
Kirchstraße,Seelbach (Nassau),"Katholische Filialkirche; Saalbau, wohl um 1920",48.31034,7.944961
Kirchstraße 3,Seelbach (Nassau),"Fachwerkhaus, teilweise verschiefert, 17. oder 18. Jahrhundert",48.310137,7.941862
Kirchstraße 8,Seelbach (Nassau),"Fachwerkhaus, verputzt, wohl aus dem 17. oder 18. Jahrhundert, Kniestock um 1900",48.309759,7.941772
(neben) Oberdorfstraße 3,Seelbach (Nassau),"Katholische Michaelskapelle; kleiner Saalbau, um 1700",48.291437,7.951689
Schulstraße 2,Seelbach (Nassau),"ehemaliges Rathaus; Fachwerkbau, spätes 17. oder 18. Jahrhundert",50.308506,7.872458
nördlich des Ortes,Seelbach (Nassau),"Tunnelportale der Lahntalbahn; West- und Ostportal, Quadermauerwerk mit Sandsteinzinnenkranz",48.309867,7.941053
südlich von Obernhof,Seelbach (Nassau),"Kloster Arnstein; Kirche St. Maria und Nikolaus: dreischiffige Pfeilerbasilika, um 1140 bis 1208, 1884–87 Wiederaufbau des 1814 abgebrochenen Querhauses; von den 1814 großteils abgebrochenen Klostergebäuden erhalten: romanischer Konventsbau, Teil der Mauer des Klostergartens, spätgotischer Anbau mit Pforte, bezeichnet 1562, gotische Magdalenenkapelle sowie ein Bauteil mit Fachwerkgiebel, 16. Jh.; ehemalige Kellnerei: Mansarddachbau; mit Ruine der Margarethenkirche",48.309867,7.941053
südöstlich der Ortslage,Seelbach (Nassau),"Windrad, 1907",48.309867,7.941053
"südwestlich der Ortslage, im Jammertal oberhalb des kaiserlichen Friedhofs",Seelbach (Nassau),Wegekreuz,"",""
"südwestlich der Ortslage, jenseits des Jammertals",Seelbach (Nassau),"Hof Salscheid; Hofanlage; Backstein-Wohnhaus und -Scheune sowie Bruchstein-Scheune, um 1900","",""
