Wohnhaus,Bauertstraße 18,Althornbach,"",Wohnhaus,Kein Bild vorhanden,49.204038,7.375358
Schulhaus,Hauptstraße 12,Althornbach,1880!um 1880,"ehemalige Schule; spätklassizistischer Putzbau, um 1880",Kein Bild vorhanden,49.202846,7.375533
Haus,Hauptstraße 14,Althornbach,"","Walmdachbau, Datierung unklar",Kein Bild vorhanden,49.203163,7.3756
Quereinhaus,Hauptstraße 26,Althornbach,1875!spätes 19. Jahrhundert,"Krüppelwalmdachbau, spätes 19. Jahrhundert",Kein Bild vorhanden,49.203895,7.374464
Evangelische Matthiaskirche,Luitpoldstraße 3,Althornbach,"","frühgotischer Chorturm, einbezogen in den Saalbau von 1883/84, gleichzeitig erhöht; gotische Bruchstein-Kirchhofmauer",,49.203701,7.376186
Evangelische Kirche,Hauptstraße 22,Battweiler,1250!zweite Hälfte des 13. Jahrhunderts,"gotischer Chor, wohl aus der zweiten Hälfte des 13. Jahrhunderts; zweischiffiger neugotischer Bau, 1906/07",Kein Bild vorhanden,49.277495,7.462081
Kriegerdenkmal,"Lindenstraße, auf dem Friedhof",Battweiler,1923,"Kriegerdenkmal 1914/18, errichtet 1923",Kein Bild vorhanden,49.280937,7.464465
Quereinhaus,Lindenstraße 1,Battweiler,1864,"Quereinhaus, bezeichnet 1864",Kein Bild vorhanden,49.277726,7.462093
Quereinhaus,Lindenstraße 4,Battweiler,1867,"Quereinhaus, bezeichnet 1867",Kein Bild vorhanden,49.277828,7.462652
Forsthaus,Lindenstraße 10,Battweiler,1850!Mitte des 19. Jahrhunderts,"angeblich ehemaliges Forsthaus; fünfachsiger Putzbau, wohl aus der Mitte des 19. Jahrhunderts",Kein Bild vorhanden,49.278506,7.463086
Schulhaus,Lindenstraße 25,Battweiler,1900!Anfang des 20. Jahrhunderts,"ehemalige Schule; eingeschossiger Krüppelwalmdachbau, Anfang des 20. Jahrhunderts",,49.280392,7.463682
Hofanlage,Altestraße 7,Bechhofen (Pfalz),1859,"Dreiseithof; Quereinhaus, bezeichnet 1859, zwei Wirtschaftstrakte, 1887",Kein Bild vorhanden,49.348568,7.411473
Wohnhaus,Brunnenpfad 3,Bechhofen (Pfalz),1848,"Wohnhaus einer Hofanlage; klassizistischer Krüppelwalmdachbau, bezeichnet 1848; Gesamtanlage mit Stallscheune",Kein Bild vorhanden,49.350126,7.408356
Quereinhaus,Ebertstraße 2,Bechhofen (Pfalz),1877,"Quereinhaus, bezeichnet 1877",Kein Bild vorhanden,49.349003,7.40765
Quereinhaus,Hauptstraße 82,Bechhofen (Pfalz),1870!um 1870/80,"Quereinhaus, um 1870/80",Kein Bild vorhanden,49.349678,7.407609
Katholische Pfarrkirche St. Michael,Rosenkopfer Straße 5,Bechhofen (Pfalz),1920!1920–30,"zweischiffiger romanisierender Bruchsandsteinbau, 1920–30, Architekt Albert Boßlet",Kein Bild vorhanden,49.34773,7.410761
