Beßlicher Straße 10,Aach (bei Trier),"Quereinhaus, bezeichnet 1872",49.790427,6.590212
Brunnenstraße,Aach (bei Trier),"Nischenkreuz, bezeichnet 1612",49.789525,6.591083
Brunnenstraße 1,Aach (bei Trier),"barockes Einhaus, 1777, Erneuerung 1809",49.789386,6.591424
Brunnenstraße 3,Aach (bei Trier),"Quereinhaus, bezeichnet 1881",49.78945,6.591352
Neuhäuserstraße 1,Aach (bei Trier),"ehemaliges Pfarrhaus; klassizistisches Quereinhaus, 1806, ummauerter Pfarrgarten",49.534219,8.574051
Neuhäuser Straße 4,Aach (bei Trier),"Katholische Pfarrkirche St. Hubertus; Saalbau mit Querschiff, 1783, neugotische Erweiterung, 1895, Architekt Lamberty, Glockenturm 1962; Kirchhof und Vorplatz; Schaftkreuz, bezeichnet 1597; Grabkreuz, 19. Jahrhundert",49.788635,6.590858
Neweler Straße,Aach (bei Trier),"Kriegerdenkmal 1914/18 und 1939/45; Rotsandsteinpfeiler, 1920er Jahre, Erweiterung nach 1945",49.790694,6.588765
Neweler Straße 2,Aach (bei Trier),"ehemalige Synagoge; neuromanischer Saalbau, 1859",49.789554,6.590418
Trierer Straße 14,Aach (bei Trier),"spätbarocker Winkelhof, 1783, Umbau 1827",49.78881,6.592386
Trierer Straße 25,Aach (bei Trier),"ehemaliges Hofgut von St. Irminen; barocker Parallelhof, bezeichnet 1752",49.789019,6.591604
"am Parallelweg zur L 44, nahe der Gemarkungsgrenze",Aach (bei Trier),"Wegekreuz; Nischenkreuz, bezeichnet 1894","",""
"nördlich der Ortslage an der L 43, nahe dem alten Kirchhof",Aach (bei Trier),"Wegekreuz; Pfeilerkreuz, bezeichnet 1893","",""
"südöstlich der Ortslage, an der L 44, neben dem jüdischen Friedhof",Aach (bei Trier),"Jubiläumskreuz; Schaftkreuz, bezeichnet 1826","",""
südöstlich des Ortes an einem Parallelweg zur L 44,Aach (bei Trier),"Wegekreuz; Schaftkreuz, bezeichnet 1824","",""
Kapellenstraße 1,Aach (bei Trier),"Katholische Filialkirche St. Maria; zweiachsiger Saalbau mit Dachreiter, neugotische Motive, 1899",49.790124,6.572676
