"Denkmalzone Moselstraße 29, 33, 35, 37, 38, 40, 44",Bekond,"Kreuzungsbebauung an der Nahtstelle von Unterdorf und Schlossbereich aus dem 18., 19. und frühen 20. Jahrhundert, kennzeichnendes, dörfliches Straßenbild","",""
Denkmalzone Schloss Bekond,Bekond,"barockes Landschloss, Hauptbau 1710, Seitenflügel 1769/72, Ökonomie 1713, Orangerie 1732, Architekten Philipp Honorius Ravensteyn, Johann Valentin Thomann, Johannes Seiz; Stallgebäude 1928 neu erbaut, Schlosspark mit Gartenanlage und Baumgarten",49.849519,6.802475
Kirchstraße ohne Nummer,Bekond,"Katholische Pfarrkirche St. Klemens; nachbarocker Saalbau, 1827/28, Architekt Briesch; zugehörig Pfarrhaus von 1818 (Kirchstraße 9), Kirchenbering und Friedhof mit nachbarocke Friedhofskreuz von 1914",49.84849,6.801684
Kirchstraße,Bekond,"Kriegerdenkmal 1914/18; Grünanlage, ehemaliger Standort der alten Filialkirche und alter Kirchhof",49.84849,6.801684
Moselstraße ohne Nummer,Bekond,"Rochuskapelle; neugotischer Putzbau, 1881",49.853596,6.802061
Moselstraße 5,Bekond,"neubarocker Mansardwalmdachbau, 1920",49.853596,6.802061
"Moselstraße, Am Weiher",Bekond,"Schaftkreuz, bezeichnet 1766, Renovierung 1820",49.850291,6.802313
Schulstraße 4,Bekond,"ehemaliges Schulgebäude; Halbwalmdachbau, Heimatstil, 1902",49.848705,6.804595
östlich der Ortslage im Weinberg an der Gemarkungsgrenze,Bekond,"Wegekreuz; Balkenkreuz, bezeichnet 1688",49.849519,6.802475
östlich der Ortslage im Weinberg,Bekond,"Wegekreuz; Schaftkreuz, bezeichnet 1786",49.849519,6.802475
