"Denkmalzone Moseluferbebauung (Hauptstraße 21, 22, 23, Ankerstraße 1, 2, 3, Pfarrkirche, Maximiner Hof, Agritiusstraße 6, 8, Maximinerstraße 2)",Detzem,"historischen Ortskern mit Moselpanorama um die Pfarrkirche, Pfarrhaus und sogenannte Zehntscheune, Bauten mit spätgotischem und renaissancezeitlichen Kern, mehrere barock; kennzeichnendes Straßenbild",49.823268,6.844794
Agritiusstraße,Detzem,"Katholische Pfarrkirche St. Agritius; barocker Saalbau, 1735/36, spätgotischer Chor, Ende des 15. Jahrhunderts; Kreuzigungsbildstock, bezeichnet 1660 und 1739",49.822275,6.844435
Ankerstraße 1,Detzem,"Pfarrhof; barocker Krüppelwalmdachbau, Mitte des 18. Jahrhunderts, Umbau 1902",49.822019,6.843707
Ankerstraße 3,Detzem,"Krüppelwalmdachbau, Treppenturm, frühes 18. Jahrhundert, im Kern älter",49.822019,6.843707
"Bahnhofstraße, Einmündung von Donatus- und Neustraße",Detzem,"neugotisches Stelenkreuz, bezeichnet 1857",49.824954,6.846294
auf dem Friedhof,Detzem,"Kriegerdenkmal 1914/18, 1921",49.823268,6.844794
Hauptstraße 15,Detzem,"Quereinhaus, bezeichnet 1655, Erneuerung und Erweiterung 1908",49.822588,6.844974
Hauptstraße 16,Detzem,"Breitgiebelhaus, Ende des 18. Jahrhunderts",49.822699,6.844857
(an) Hauptstraße 20,Detzem,"Kreuzigungsbildstock, bezeichnet 1687",49.822838,6.843905
Maximinerhof ohne Nummer,Detzem,"barockes Brunnenhäuschen, 18. Jahrhundert",49.821635,6.844695
Maximinerhof 1/3,Detzem,"ehemaliges Maximiner Hofgut; stattlicher barocker Krüppelwalmdachbau, um 1740",49.821688,6.844246
Neustraße 9,Detzem,"Quereinhaus, bezeichnet 1872",49.822815,6.845153
Neustraße 18/20,Detzem,"Krüppelwalmdachbau, 19. Jahrhundert; Saalbau mit Walmdach, um 1900",49.824349,6.844399
(an) Römerstraße 7,Detzem,"Wappenschild, frühes 17. Jahrhundert",49.820688,6.845378
Thörnicher Straße 8,Detzem,"Fassade und Kreuzigungsbildstock, 1787",49.823396,6.843078
am südlichen Ortsrand in Verlängerung der Hauptstraße,Detzem,"Wegekreuz; ehemaliges Friedhofskreuz, bezeichnet 1837",49.823268,6.844794
