Denkmalzone Burg Freudenburg (Burgstraße),Freudenburg,"Bauanlage der ehemaligen Burg mit nördlich anschließendem Graben, Schlossweiher und Herrengarten, ab 1330 von Johann von Böhmen, Graf von Luxemberg erbaut, seit 1646 Ruine, 1859 erneuert; Bergfried aus dem 14. Jahrhundert; Palas, imposanter dreigeschossiger Bruchsteinbau",49.542374,6.533124
Denkmalzone Jüdischer Friedhof (Neustraße),Freudenburg,"großes, dicht belegtes Areal, Grabsteine vom 18. Jahrhundert bis in die frühen 1930er Jahre",49.542374,6.533124
Denkmalzone Ortsbefestigung,Freudenburg,"Reste des Mauerrings, der auf dreieckigem Grundriss Burg und Burgdorf umschloss, angelegt im zweiten Viertel des 14. Jahrhunderts, von den ursprünglich drei Türmen nur der im Nordosten erhalten, an der Nordseite zugehörig Haus Burgstraße 2 und Burgstraße 3 (Torwächterhaus), auf der Nordwestseite südöstlicher Mauerdurchgang 1872, im Nordwesten vorgelagerte Zwingermauer",49.542374,6.533124
Balduinstraße,Freudenburg,"Brunnenfigur des heiligen Sebastian, 19. Jahrhundert (?)",49.54086,6.532441
Balduinstraße,Freudenburg,"Katholische Pfarrkirche der heiligen Dreifaltigkeit; dreischiffige neugotische Hallenkirche, im Kern aus dem 16. Jahrhundert, Erweiterungen 1856/58 und 1899",49.54086,6.532441
Balduinstraße 17,Freudenburg,"ehemaliges Amtshaus der Abtei St. Maximin; Krüppelwalmdachbau, bald nach 1589, Erneuerungen im 18. Jahrhundert und 1861",49.540486,6.531965
Burgstraße 3,Freudenburg,"Mansarddachbau, drittes Drittel des 18. Jahrhunderts",49.541556,6.533196
Burgstraße 33,Freudenburg,"ehemalige Zehntscheune; winkelförmiger Giebelbau, Ende des 17. oder Anfang des 18. Jahrhunderts",49.540445,6.531264
Burgstraße 35,Freudenburg,"Katholisches Pfarrhaus; barocker Giebelbau, bezeichnet 1730",49.540328,6.531372
(vor) Gartenstraße 52,Freudenburg,"Kreuzigungsbildstock, Schaft bezeichnet 1841, barocker Aufsatz",49.537867,6.532899
Marktplatz 5,Freudenburg,"barocker Krüppelwalmdachbau, 1730; barocker Kreuzigungsbildstock",49.541936,6.533672
"nördlich der Ortslage, nahe der B 51",Freudenburg,"Junkerskreuz; aufwändiger Bildstock, bezeichnet 1638",52.866262,14.057547
an der Kreuzung im Ortsbereich Kalköfen,Freudenburg,"Kreuzigungsbildstock; Rotsandstein, bezeichnet 1819",49.542374,6.533124
Dorfstraße,Freudenburg,"Katholische Filialkirche St. Ottilien; neugotischer Saalbau, 1906/07, Architekt Christoph Ewen",49.548535,6.511106
südlich der Ortslage,Freudenburg,"Herrenmühle; Krüppelwalmdachbau, 1947; Steinbrücke, bezeichnet 1904; Heiligenhäuschen, wohl von 1610; Schaftkreuz, 18. Jahrhundert",49.542374,6.533124
am östlichen Dorfrand an der K 119,Freudenburg,"Wegekapelle; schlichter Putzbau; außen eingemauert Kreuzigungsrelief, bezeichnet 1751",48.465427,8.414304
