Denkmalzone Saarstraße und Im Krahnen (Bereich zwischen Saarstraße und Saarufer von der Brückenstraße bis zu Saarstraße 24 und gegenüber Saarstraße 3),Kanzem,"kennzeichnendes dörfliches Straßenbild zwischen Saarstraße und Saarufer, erschlossen durch Quergassen, mit Hofanlagen des 17. bis frühen 20. Jahrhunderts",49.666667,6.575946
Brückenstraße 1,Kanzem,"barockes Wohnhaus, bezeichnet 1748, 1899 überformt",49.667239,6.575569
(an) Im Krahnen 2,Kanzem,"Reliefplatte mit Madonna, bezeichnet 1663",49.666807,6.573898
"Im Mergel, Ecke Im Cordel",Kanzem,"Schaftkreuz, bezeichnet 1880",49.665303,6.574823
Kirchstraße,Kanzem,"Kriegerdenkmal, Bildhauer Jupp Brüx, Kleve, 1937; zwei Sandsteingrabmale, 1820 und 1853",49.668545,6.579243
Kirchstraße 5,Kanzem,"barockes Quereinhaus, teilweise Fachwerk, 1740",49.667565,6.575785
Kirchstraße 11,Kanzem,"Villa in Parkanlage; Neubarock- und Neurenaissancemotive, verschiedene Bauphasen im 19. Jahrhundert",49.667909,6.577015
Saarstraße 20,Kanzem,"Quereinhaus, erste Hälfte des 19. Jahrhunderts",49.666976,6.574168
Saarstraße 26,Kanzem,"ehemaliges Weingut Le Gallais; winkelförmige Baugruppe in Parkanlage, verschiedene Bauphasen im 19. Jahrhundert",49.666417,6.572659
"Weinstraße 1, 1a",Kanzem,"Weingut Max von Othegraven; anspruchsvolles Gutshaus, nach Kriegszerstörung 1954/56 neu erbaut, Architekt Heinrich Otto Vogel; zugehörig Landschaftspark südlich der Bahntrasse und Weinberg nördlich der Bahntrasse",49.670556,6.577779
Weinstraße 4,Kanzem,"Weingut; stattliches barockes Quereinhaus, bezeichnet 1740",49.668405,6.572057
am rechten Saarbufer beim Weingut Priesterseminar,Kanzem,"Wegekreuz; Schaftkreuz, um 1700",49.666667,6.575946
"an der L 137, am Fuße des Weinbergs",Kanzem,"Wegekreuz; sorgfältig bearbeitetes barockes Steinkreuz, bezeichnet 1695",53.975883,10.588352
an der Saarburger Straße neben einer neuen Wegekapelle,Kanzem,"Wegekreuz; Schaftkreuz, um 1820","",""
