"Denkmalzone Ortskern (Hauptstraße, In Ecken, Römerplatz, Spitzstraße, Waldstraße)",Kenn,"kennzeichnendes Ortsbild mit Pfarrkirche samt Kirchhof, Maximiner Hofgut und Hofanlagen des 19. Jahrhunderts, eingeschlossen der Platz der römischen Villa auf dem Gebiet Hauptstraße, Römerplatz, Im Ecken",49.800487,6.724348
Bahnhofstraße 28,Kenn,"ehemalige Schule; kubisch gestreckter Walmdachbau, 1931, Architekt Laubach",49.806295,6.722929
Hauptstraße,Kenn,"spätgotischer Brunnenstock, um 1500",49.800144,6.725839
Hauptstraße 9,Kenn,"Quereinhaus, 18. Jahrhundert, Erneuerung im 19. Jahrhundert",49.800045,6.725273
Hubertusstraße,Kenn,"Katholische Pfarrkirche St. Margaretha; Saalbau 1746, Teilneubau 1967/68, Architekt Heinrich Otto Vogel, Trier; zugehörig Kirchhof mit Friedhofskreuz und klassizistischer Grabplatte, 1793",49.799865,6.723692
Im Ecken 11,Kenn,"Winkelhof; barockes Quereinhaus, 1768, Erneuerung 1822",49.800696,6.726342
(vor) Im Ecken 11,Kenn,römische Kelleranlage,49.800696,6.726342
Maximinerhof 3 und 4,Kenn,"ehemaliges Hofgut der Abtei St. Maximin; stattlicher Mansardwalmdachbau, bezeichnet 1739, Umbau bezeichnet 1821; Barockwappen des Abtes Willibrord Scheffer",49.799754,6.725956
Spitzstraße,Kenn,"Schaftkreuz, bezeichnet 1820",49.799126,6.726648
Waldstraße 1,Kenn,"Bildwerk des heiligen Antonius von Padua, Ende des 18. Jahrhunderts",49.799807,6.725246
im Wald am südöstlichen Rand der Ortslage,Kenn,"Schaftkreuz, bezeichnet 1821","",""
