(an) Kandelstraße 1,Kirf,"Torbogen, bezeichnet 1741",49.551335,6.48192
(vor) Kimmstraße 6,Kirf,"gotisches Pfeilerkreuz, um 1890",49.552124,6.479467
Kirchstraße,Kirf,"Katholische Pfarrkirche St. Remigius; neugotischer Saalbau, 1863/64; zugehörig ummauerter Platz",49.55151,6.478605
Kirchstraße,Kirf,"Kriegerdenkmal 1914/18; offene Pfeilerbogenhalle 1930, Architekt W. Reden, Hannover, Michaelsskulptur von Bildhauer Ferdinand Flosdorf, Köln",49.55151,6.478605
(an) Kirchstraße 6,Kirf,"Portal der ehemaligen Synagoge, wohl von 1845/46",49.551528,6.478946
"Leukstraße, Ecke Raiffeisenstraße",Kirf,"romantisierende Rotsandsandsteinskulptur, um 1900",49.548828,6.481336
(an) Perler Straße 22,Kirf,"Torbogen, 1798/99",49.550137,6.479934
"Perler Straße, Ecke Kimmstraße",Kirf,"Kreuzigungsbildstock, um 1750",49.551504,6.48112
(bei) Ringstraße 6,Kirf,"Wappenstein der Familie von Lassaulx, 18. Jahrhundert",49.550715,6.479009
an der ehemaligen Römerstraße,Kirf,"Schaftkreuz; reliefierter Schaft aus dem 17. Jahrhundert, Aufsatz bezeichnet 1753",49.550657,6.480123
Gartenfeldstraße 5,Kirf,"Parallelhof, bezeichnet 1851",49.556466,6.447514
Trierer Straße 16a,Kirf,"Katholische Pfarrkirche St. Apollonia und St. Lucia; gotischer Chor, 14. Jahrhundert, Saalbau mit Dachreiter, 1756, Erweiterung 1927",49.557249,6.447523
am östlichen Ortsrand an der Landstraße,Kirf,"Wegekreuz; neugotisches Altarkreuz, Eisenkorpus, 1870er Jahre",49.550657,6.480123
nordwestlich der Ortslage,Kirf,"Flurkapelle; einfacher Putzbau, 19. Jahrhundert",49.550657,6.480123
Hauptstraße,Kirf,"barockes Schaftkreuz, bezeichnet 1757",47.540529,8.824735
(an) Haus Nr. 4,Kirf,"Türeinfassung und Türblatt, 1844",54.733369,8.448503
(an) Haus Nr. 30,Kirf,"Muschelnische, 1750",54.731056,8.446185
"an der B 407, südlich der Ortslage",Kirf,"Wegekreuz; neugotische Nischenädikula, 1864",54.137362,10.495574
an der K 119,Kirf,"Altarkreuz; Rotsandstein, um 1800",49.160943,11.261586
"nahe der B 407, südlich der Ortslage",Kirf,"Wegekapelle; Marienkapelle, bezeichnet 1913","",""
