Denkmalzone Eisenbahnersiedlung (Kurtstraße 1–8),Konz,"vier zweigeschossige traufständige Doppelwohnhäuser mit Stallungen und Gärten, 1887",49.70274,6.578264
Denkmalzone ehemaliges Kartäuser-Kloster und ehemalige Klosterkirche St. Johann (Brunostraße),Konz,"barocke, ursprünglich vierflügelige Anlage mit prunkvoller Schauseite, Kirche, zwei Kreuzgängen, 19 Häuschen, 1680 Grundsteinlegung, 1714 Weihe der Kirche, erhalten die 1885 wiederaufgebaute Kirche und die westlich anschließenden Flügelbauten und die Keller der östlichen Flügelbauten, Umfassungsmauer","",""
Am Bahnhof Karthaus ohne Nummer,Konz,"Bahnhofsgebäude Karthaus; Empfangsgebäude, Nebengebäude und Perronhallen; malerische Bautengruppe, Heimatstil, 1903/04",49.70274,6.578264
Am Denkmal,Konz,"Kriegerdenkmal Konz; Pfeilerrotunde, 1920er Jahre, Wiederherstellung 1959",49.70274,6.578264
Am Markt 11,Konz,"Rathaus: traditionalistischer Walmdachbau, 1949/51",49.70274,6.578264
An der Dampflok,Konz,"Lokomotive der 64er-Reihe, 1936",49.696942,6.576656
Bahnhofstraße ohne Nummer,Konz,"Bahnhofsgebäude Konz; gleisparalleles Empfangsgebäude; stattlicher Neurenaissancebau, 1860",49.70274,6.578264
"Brunostraße 1, Merzlicher Straße 19b",Konz,"Eckwohnhaus mit Gaststätte und Saalbau, Neurenaissancemotive, Anfang des 20. Jahrhunderts",49.711758,6.594973
Brunostraße 82,Konz,"gründerzeitliches Wohn- und Geschäftshaus, um 1890",49.708746,6.587966
auf dem Friedhof Karthaus,Konz,"Kriegerdenkmal, 1920er Jahre",48.285616,9.734037
Karthäuser Straße 153,Konz,"Evangelische Kirche Konz-Karthaus; kleiner neugotischer Saalbau, 1896/97, Architekt Georg Lübke",49.707517,6.585828
Martinstraße,Konz,"Katholische Pfarrkirche St. Nikolaus; Untergeschoss des ehemaligen Chorturms, um 1500",49.695375,6.576512
Martinstraße,Konz,"Spätrömische Kaiservilla; Reste der Sommerresidenz Kaiser Valentinians I., spätrömische Portikusvilla mit Eckrisaliten, um 350, auf dem Gelände der Pfarrkirche St. Nikolaus, in deren Krypta Reste der Villa",49.695375,6.576512
Martinstraße 22,Konz,"Pfarrhaus; Krüppelwalmdachbau, 1770, Erweiterung 1897",49.695608,6.572982
"Martinstraße, auf dem Friedhof",Konz,"Grabdenkmäler des späten 19. Jahrhunderts; Ehrenfriedhof mit Madonna vom Hauptportal der Kirche St. Nikolaus, 1874",49.695608,6.572982
"Martinstraße, auf dem Kirchenvorplatz",Konz,"Statue Kaiser Konstantins, bezeichnet 1810",49.695608,6.572982
(zwischen) Merzlicher Straße 11 und 13,Konz,"Wegekreuz; Schaftkreuz, bezeichnet 1625",49.7111,6.595655
Olkstraße 3,Konz,"Streckhof, Mitte des 19. Jahrhunderts",49.695987,6.578444
Schulstraße 1,Konz,"ehemaliger Hof des Deutschherren-Ordens; spätbarockes Quereinhaus, 1774",49.69622,6.578093
(bei) Schulstraße 1,Konz,"Bildstock, bezeichnet 1613",49.69622,6.578093
"Wiltinger Straße, Ecke Olkstraße",Konz,"Schaftkreuz, bezeichnet 1788",49.695608,6.572982
am Weinberg in der Flur im Kelterberg,Konz,"Hochrelief; kreuztragender Christus, bezeichnet 1758",49.70274,6.578264
auf dem Hohenrücken gelegen,Konz,"Roscheider Hof; stattlicher Vierseithof, Kernbau aus dem 16. Jahrhundert, Erweiterungen im 19. und frühen 20. Jahrhundert",49.70274,6.578264
nahe am Roscheider Hof,Konz,"Bildstock in barocker Tradition, bezeichnet 1818",49.693055,6.609642
östlich von Konz in der Verlängerung der Lindenstraße am Beginn des Konzer Tälchens,Konz,"Marienkapelle; Putzbau, 1910","",""
unterhalb des Roscheider Hofs am Weg zur Kartause,Konz,"Wegekapelle; neugotischer sandsteingegliederter Putzbau, 19. Jahrhundert","",""
"am Löllberg, oberhalb der B 51 und nahe der Stadtgrenze nach Trier",Konz,"Wegekreuz; Schaftkreuz, bezeichnet 1758",49.720105,6.617592
"Denkmalzone Ortskern (Katholische Kirche, Saartalstraße 14, 19, Maximinerstraße 1)",Konz,"Bauten des 19. und frühen 20. Jahrhunderts um den Kreuzungsbereich von Saartalstraße, Maximinerstraße und Steinberger Straße, kennzeichnendes, dörfliches Straßenbild aus Kirche, Schulhaus und Quereinhäusern",49.70274,6.578264
Maximinerstraße 1,Konz,"Krüppelwalmdachbau, 1728, Aufstockung um 1878; zugehörig Zweifensterhaus mit Stall und Scheune, Anfang des 19. Jahrhunderts",49.673815,6.563217
Saartalstraße,Konz,"Katholische Filialkirche St. Nikolaus; kleiner Saalbau, 1854",49.673704,6.563972
Saartalstraße 1,Konz,"Weingut Piedmont; stattliches barockes Quereinhaus, 1721",49.675197,6.564053
Saartalstraße 3,Konz,"Weingut Reverchon; zwei- bis dreigeschossiges Winzervilla auf L-förmigem Grundriss im Schweizer Landhausstil, um 1840, Erweiterung um 1880",49.674725,6.564044
Saartalstraße 14,Konz,"Quereinhaus, bezeichnet 1849, Erweiterung 1878",49.673658,6.563073
