"Denkmalzone Wasserbilliger Straße 15, 16, 19, 25 und Pfarrkirche",Langsur,"Kirche und Pfarrhof, Hofgut mit Landschaftsgarten, Bannmühle, neues Pfarrhaus (1900) und Schule (1951)","",""
auf dem Friedhof,Langsur,"Wegekapelle, 1924; Kriegerdenkmal, 1922",49.723715,6.497838
Mesenicher Straße ohne Nummer,Langsur,"Saal einer ehemaligen Gastwirtschaft; Saalbau mit Treppengiebel, 1904",49.725527,6.501458
(bei) Mesenicher Straße 12,Langsur,"Altarkreuz, um 1780",49.725026,6.498053
(bei) Mesenicher Straße 29,Langsur,"Kreuzigungsbildstock, bezeichnet 1626",49.725497,6.499742
Wasserbilliger Straße,Langsur,"Katholische Pfarrkirche St. Katharina; spätbarocker Saalbau, 1780/81, Architekt Johannes Neurohr; romanischer Chorturm",49.720367,6.501772
Wasserbilliger Straße 15,Langsur,"ehemalige Mühle; bauliche Gesamtanlage der Mühle, Neubau im frühen 19. Jahrhundert, Erweiterungen im 19. und frühen 20. Jahrhundert",49.723547,6.497757
(bei) Wasserbilliger Straße 16,Langsur,"Keller, Pfeilerhalle, 17. Jahrhundert (?)",49.7235,6.496886
Wasserbilliger Straße 24,Langsur,"Giebelbau, frühes 18. Jahrhundert, Umgestaltung um 1900",49.724129,6.497568
Wasserbilliger Straße 31,Langsur,"Quereinhaus, bezeichnet 1802, Erweiterung um 1900",49.724548,6.497254
südöstlich der Ortslage in den Weinbergen,Langsur,"Schaftkreuz; Pfeilerkreuz, bezeichnet 1823",49.723715,6.497838
Kapellenstraße,Langsur,"Katholische Filialkirche St. Briktius; Saalbau, Rundbogenformen, 1863; zugehörig Kirchhofbering mit Schaftkreuz, bezeichnet 1613",49.743279,6.520655
Trierweiler Straße,Langsur,"Nischenkreuz, um 1870",49.723715,6.497838
"Denkmalzone Weinberg (östlich der Ortslage, am oberen Bereich des Sauerhangs)",Langsur,"Terrassenanlage einer aufgegebenen Weinbergsparzelle mit Böschungsmauer aus Kalkbruchsteinen, Entlastungsbögen und Treppen, 19. Jahrhundert",49.723715,6.497838
Gartenstraße 2,Langsur,"spätbarockes Quereinhaus, bezeichnet 1796",49.727029,6.514088
Hauptstraße,Langsur,"Kreuzigungsbildstock; Aufsatz, bezeichnet 1812",49.729393,6.509893
Hauptstraße 33,Langsur,"Katholische Pfarrkirche St. Remigius; neugotischer Saalbau, 1857–59, Architekt wohl Johann Baptist Bingler",49.728729,6.511798
Kirchweg 5,Langsur,"Quereinhaus, Mitte des 19. Jahrhunderts",49.728788,6.512175
Trierer Straße 5,Langsur,"Quereinhaus, bezeichnet 1834",49.728217,6.51275
Trierer Straße 21,Langsur,"Pfarrhof; barocke Hofanlage; Giebelbau, um 1688, Erneuerung im 18. Jahrhundert",49.727495,6.513738
Trierer Straße 23,Langsur,"klassizistisches Quereinhaus, um 1820",49.727175,6.514313
oberhalb am Pfarrhof ausgehend,Langsur,"Stationenweg des Kreuzwegs; 14 Stationen; Tonreliefs in dachförmig geschlossenen Pfeilern, 1902 von Steinmetz Thein, als Abschluss Marienkapelle von 1904",52.736107,8.778274
Denkmalzone Katholische Filialkirche St. Nikolaus (Römerstraße 13),Langsur,"barocker Saalbau, 1733; romanischer Chorturm, 12. Jahrhundert; Denkmalzone mit Kirchhof","",""
östlich der Ortslage an den Weinbergen,Langsur,"Wegekreuz; Nischenkreuz, um 1870",49.723715,6.497838
