Denkmalzone Jüdischer Friedhof (Detzemer Straße),Leiwen,"straßenseitig umfriedet, 50 Grabsteine aus der Zeit von 1863 bis 1933",49.82045,6.882559
"Denkmalzone Klostergartenstraße 17, 19, 21, 23",Leiwen,"Straßenabschnitt in kammartiger Bebauung gegenüber der Pfarrkirche, der den alten Gemeindeplatz begrenzt; von städtebaulicher Bedeutung","",""
Euchariusstraße ohne Nummer,Leiwen,"ehemalige Euchariuskapelle; dreiachsiger barocker Putzbau, 18. Jahrhundert",49.823164,6.882469
Euchariusstraße 12,Leiwen,"ehemaliger Zehnthof; spätmittelalterlicher Fachwerkbau mit massivem Erdgeschoss, 1484/85, Umbauten bezeichnet 1558 und 1824",49.822798,6.882784
Euchariusstraße 22,Leiwen,"Mansardwalmdachbau, teilweise Fachwerk, frühes 19. Jahrhundert",49.823216,6.882452
(bei) Euchariusstraße 29,Leiwen,"Schaftbildstock, bezeichnet 1698",49.82385,6.880826
Kirchgasse,Leiwen,"Katholische Pfarrkirche St. Stefan; barocker Saalbau, 1769/71, Architekt Johannes Seiz, spätgotischer Chor; 1922/23 Ausbau zur Staffelhalle, Architekt Peter Marx; zugehörig ummauerter Kirchhof mit Kreuzigungsgruppe, 1707, Friedhofskreuz vom Ende des 19. Jahrhunderts, Kriegerdenkmal 1914/18 von 1928, Grabkreuze 1761 und 1782",49.820868,6.878939
Klostergartenstraße,Leiwen,"Schaftbildstock, bezeichnet 1673",49.817108,6.878804
Klostergartenstraße 17,Leiwen,"Streckhof; Krüppelwalmdachbau, 16. Jahrhundert",49.821548,6.881014
Klostergartenstraße 19,Leiwen,"spätgründerzeitlicher Winkelhof, 1909",49.821397,6.880924
Laurentiusstraße 4,Leiwen,"Winzeranwesen, neubarocker Streckhof, 1924",49.822397,6.882308
Römerstraße 14,Leiwen,"spätgründerzeitliches Quereinhaus, bezeichnet 1905",49.820595,6.882299
Römerstraße 17,Leiwen,"spätgründerzeitlicher Zwerchgiebelbau, bezeichnet 1905",49.820298,6.882784
Tränkgasse 4,Leiwen,"Hofgut; Renaissancebau mit Walmdach, Treppenturmrisalit, bezeichnet 1610",49.82353,6.882317
Dhronkraftwerk,Leiwen,"technische Anlage aus Dhrontalsperre, Druckleitung und Elektrizitätswerk, 1911/13",49.82045,6.882559
Dhrontalstraße,Leiwen,"Leiwener Mühle; Krüppelwalmdach mit Ökonomie, 1882; Grabensystem",49.82045,6.882559
"im Osten der Gemarkung, über dem Steilabfall zum Taleinschnitt der Kleinen Dhron",Leiwen,"Leiwener Bildchen; Kapelle, 1756","",""
"





Kirchgasse",Leiwen,"Katholische Pfarrkirche St. Stefan


",49.820868,6.878939
"





Kirchgasse",Leiwen,"Kreuzigungsgruppe


",49.820868,6.878939
