Denkmalzone Friedhof (Maximinstraße),Longuich,"1870 angelegt, 1900 erweitert; ummauerte Anlage, neugotisches Friedhofskreuz, 1868; Kriegerdenkmal 1866 und 1870/71, Obelisk von 1899, Erweiterung 1931",49.808266,6.764979
"Denkmalzone Ortskern (Bahnhofstraße, Brückenstraße, Fischergasse, In der Botacht, Johannisstraße, Laurentiusstraße, Maximinstraße, Weinstraße)",Longuich,"kennzeichnendes Ortsbild eines alten Bauern- und Winzerdorfes zu beiden Seiten der Maximinstraße mit den Quergassen Richtung Moselufer und den einrahmenden Baumpflanzungen; historische Bebauung, die bis in die Zeit vor 1600 zurückreicht, mit Pfarrkirche, Pfarrhaus, Schule, Hofgütern, Quereinhäusern, Winkelhöfen, Parallelgehöften und Winzerhäusern",49.808266,6.764979
Bahnhofstraße 2,Longuich,"Winkelhof, bezeichnet 1784",49.805597,6.775507
Bahnhofstraße 4,Longuich,"Krüppelwalmdachbau, bezeichnet 1784",49.805487,6.775498
Brückenstraße ohne Nummer,Longuich,"Brückenzollhäuschen, 1912",49.806592,6.775893
Brückenstraße 3,Longuich,"spätbarocker Winkelhof, bezeichnet 1780",49.806365,6.775974
Brückenstraße 4/6,Longuich,"Treppengiebelhaus, um 1600",49.806836,6.776136
"Kirchenweg, Straßeneinmündung Ceresierstraße",Longuich,"neugotisches Sandsteinkreuz, Ende des 19. Jahrhunderts",49.810056,6.765374
Laurentiusstraße 1,Longuich,"Alte Schule; späthistoristischer Krüppelwalmdachbau, 1906",49.808359,6.772686
Maximinerhof 1–5,Longuich,"ehemaliges Maximiner Hofgut; barocker Vierseithof; Kernbau von 1509, Erweiterung 1714, Teilung im frühen 19. Jahrhundert",49.808405,6.771114
Maximinstraße 7,Longuich,"Hofanlage, 18. Jahrhundert; Kernbau älter, Umbau um 1830, Erweiterung um 1900",49.807987,6.770665
Maximinstraße 9,Longuich,"Pfarrhof; barocker Krüppelwalmdachbau in ummauertem Areal, 1754",49.807597,6.771743
Maximinstraße 10,Longuich,"Küsterhaus; späthistoristischer Zwerchhausbau, 1922",49.808109,6.770674
Maximinstraße 14,Longuich,"Katholische Pfarrkirche St. Laurentius; romanischer Westturm, barocker Saalbau, 1771; zugehörig ummauerter Kirchhof mit Rokoko-Tor, Friedhofskreuz 1829, Grabplatte 1496, Epitaph, um 1570, klassizistische Grabsäule, 1838, Grabstein 1775",49.808004,6.772282
Maximinstraße 16,Longuich,"Alte Schule; späthistoristischer Krüppelwalmdachbau, 1906",49.808004,6.772282
Maximinstraße 18,Longuich,"Alte Schule; klassizistischer Putzbau, 1845",49.807708,6.772013
Maximinstraße 29,Longuich,"barockes Quereinhaus mit Krüppelwalmdach, bezeichnet 1744, Umgestaltung bezeichnet 1833",49.806824,6.773908
Maximinstraße 33,Longuich,"spätbarocker Winkelhof, bezeichnet 1791",49.806568,6.774375
Maximinstraße 36,Longuich,"im Kern barockes Einhaus; stattlicher Krüppelwalmdachbau, klassizistische Überformung bezeichnet 1855",49.807068,6.773639
Maximinstraße 37/39,Longuich,"Alte Burg; gotisches Burghaus, 14. Jahrhundert, Ausbau 1496, Teilung 1803",49.806179,6.774744
Maximinstraße 41,Longuich,"Mansardwalmdachbau, zweite Hälfte des 18. Jahrhunderts",49.806057,6.775265
Mühlenstraße 3,Longuich,"Quereinhaus; klassizistischer Walmdachbau, bezeichnet 1836, Erweiterungen bezeichnet 1842 und 1902",49.805307,6.776531
"Weinstraße, Ecke Bahnhofstraße",Longuich,"Wendelinuskapelle, Putzbau, 1899",49.805656,6.771555
im Süden der Gemarkung im Longuicher Wald,Longuich,"Sauerbrunnen; Quellfassung, Neufassung 1913 (Lage→49.7916821822226.7492961883333Koordinaten: 49° 47′ 30″ N, 6° 44′ 57″ O)",51.453329,8.377581
östlich der Ortslage an der Longuicher Mühle,Longuich,"Wegekreuz; Balkenkreuz, um 1700",49.808266,6.764979
südlich der Ortslage im Weinberg,Longuich,"Badeanlage der römischen Villa; Badeanlage in der rekonstruierten villa suburbana, Ende des 2. Jahrhunderts",49.808266,6.764979
südlich der Ortslage in den Weinbergen,Longuich,"Wegekreuz; Balkenkreuz, reliefertes Vesperbild, bezeichnet 1769",49.808266,6.764979
"Denkmalzone Ortskern (Bachstraße, Kirchenweg, Paulinusgasse, Zuckerbergstraße)",Longuich,"Gefüge des Ortsmittelpunkts um die Filialkirche, wie es im 18. Jahrhundert ausgebildet wurde, mit gruppierten Quereinhäuser des 18. bis frühen 20. Jahrhunderts; kennzeichnendes Ortsbild",49.808266,6.764979
Bachstraße 16,Longuich,"Quereinhaus, 1906",49.811475,6.761835
(bei) Bothgasse 2,Longuich,"Vesperbild, Ende des 18. Jahrhunderts",49.811016,6.761188
Kirchenweg 2,Longuich,"Krüppelwalmdachbau, 18. Jahrhundert, Wiederaufbau bezeichnet 1836",49.811388,6.762832
Kirchenweg 14,Longuich,"spätgotischer Steilgiebelbau, 16. Jahrhundert, Umbau im 18. Jahrhundert",49.811359,6.763622
Kirchenweg 16,Longuich,"spätklassizistischer Streckhof, bezeichnet 1844",49.81083,6.763721
Neustraße 16,Longuich,"Parallelhof, spätes 18. Jahrhundert, Umbau um 1900",49.811737,6.760451
Tränkgasse,Longuich,"Katholische Filialkirche St. Sebastian; spätbarocker Saalbau, 1781",49.811911,6.762131
"





Maximinstraße 9",Longuich,"Pfarrhof


",49.807597,6.771743
