(bei) Hauptstraße 21,Mannebach (bei Saarburg),"neugotische Wegekapelle, Ende des 19. Jahrhunderts",50.282715,6.986494
Kirchstraße,Mannebach (bei Saarburg),"Katholische Pfarrkirche St. Anna; historistischer Saalbau, 1852/53, Architekt Alexius Faure; in der Friedhofsmauer Reste älterer Grabsteine",50.280464,6.98353
Kirchstraße,Mannebach (bei Saarburg),"St.-Nikolaus-Relief, 19. Jahrhundert",50.280464,6.98353
Kümmener Weg 5,Mannebach (bei Saarburg),"Kruzifix in Steinnische, 18. Jahrhundert",50.282646,6.986719
(an) Schulstraße 3,Mannebach (bei Saarburg),"Schaftkreuz, bezeichnet 1838",49.632902,6.508429
(bei) Wiesenstraße 6,Mannebach (bei Saarburg),"Wegekreuz, Rokoko, bezeichnet 1777",50.935287,11.593774
am Weg über den Höhenrücken inmitten des den Ostteil der Gemarkung einnehmenden Waldes,Mannebach (bei Saarburg),"Wegekreuz; Nischenkreuz, frühes 17. Jahrhundert",53.11233,8.718922
"in der Talaue, südlich der Ortslage",Mannebach (bei Saarburg),"Wegekreuz; Nischenkreuz, bezeichnet 1707",48.150258,8.441082
südlich der Ortslage,Mannebach (bei Saarburg),"Bildstock; neu zusammengesetzter Kreuzigungsbildstock auf altem Setzstein, Anfang des 19. Jahrhunderts",50.282646,6.986719
Denkmalzone Brunnenstraße 7,Mannebach (bei Saarburg),"Brunnenanlage und Quereinhaus, Krüppelwalmdachbau, bezeichnet 1884","",""
Nitteler Straße,Mannebach (bei Saarburg),"Kreuzigungsbildstock, bezeichnet 1653",49.634209,6.505914
