"Denkmalzone Ortskern (Hauptstraße, St.-Andreasstraße, Schulstraße)",Pölich,"Dorf im Umfang des 19. Jahrhunderts einschließlich der in den 1920er Jahren entlang der Hauptstraße gewachsenen Erweiterung aus Kirche, Hofgut, Quereinhäusern und Winzervillen, Bausubstanz des 19. und 20. Jahrhunderts mit zum Teil älteren Kernen; kennzeichnendes Ortsbild",49.797946,6.848531
Hauptstraße 4,Pölich,"Winzervilla; Walmdachbau, 1920er Jahre",49.795969,6.848576
Hauptstraße 8,Pölich,"Pfarrhaus; Krüppelwalmdachbau, 1921",49.796387,6.848522
Hauptstraße 15,Pölich,"Winkelhof, 17. Jahrhundert, Erneuerung gegen Ende des 18. Jahrhunderts",49.796998,6.848567
(an) Hauptstraße 21,Pölich,"Balkenkreuz, bezeichnet 1668",49.797545,6.848423
Hauptstraße 23,Pölich,"Hofanlage; Wohnhaus mit Krüppelwalmdach, spätes 16. Jahrhundert, spätbarocker Umbau",49.797719,6.848298
Römerstraße 8,Pölich,"Katholische Pfarrvikariatskirche St. Andreas; spätbarocker Saalbau, bezeichnet 1789; Grabsteine des 18. Jahrhunderts",49.797539,6.847777
Schulstraße 5,Pölich,"Winkelhof, 19. Jahrhundert, älterer Kernbau",49.958526,10.996457
nordöstlich der Ortslage an der alten Straße nach Schleich,Pölich,"Wegekreuz; Balkenkreuz, 16. Jahrhundert","",""
am westlichen Ortsrand,Pölich,"römische Wasserleitung; Kanalabschnitt der römischen Wasserleitung, um 206",49.797946,6.848531
südwestlich der Ortslage am Höhenausläufer des Moselbogens und an der Gemarkungsgrenze zu Mehring,Pölich,"Bildstock; Reliefaufsatz mit figurenreicher Darstellung, bezeichnet 1664",51.165109,14.421293
