Bahnhofstraße 1,Ralingen,"Quereinhaus, um 1864, im Kern älter",49.806528,6.514475
Brückenstraße ohne Nummer,Ralingen,"Katholische Pfarrkirche St. Martin; ortsbildprägender neuromanischer Saalbau mit Querarmen und Westturm, 1810, Erweiterung und Umgestaltung 1896, Architekt J. P. Knepper, Luxemburg; ummauerter Kirchhof mit Grabkreuzen des 18. un 19. Jahrhunderts und ummauerter ehemaliger Pfarrhof",51.106417,3.691258
Brückenstraße 25,Ralingen,"Quereinhaus, um 1864, Umgestaltung 1925",49.806179,6.514124
"Sauerstraße, Ecke Hubertusstraße",Ralingen,"Schaftkreuz, bezeichnet 1744",49.805801,6.515077
an der B 418 nördlich des Ortes,Ralingen,"Ralinger Sprudel; Brunnenstube und Quellfassung, 1909/10 neu gefasst",54.137362,10.495574
Lambertusstraße,Ralingen,"Pfarrhaus; spätbarock, bezeichnet 1788, im Kern älter",49.815248,6.489969
Lambertusstraße 2,Ralingen,"Hofanlage; Krüppelwalmdachbau, bezeichnet 1824",49.81337,6.489915
(bei) Lambertusstraße 15,Ralingen,"gotisches Schaftkreuz, 16. Jahrhundert",49.814759,6.490553
Lambertusstraße 19,Ralingen,"Katholische Pfarrkirche St. Lambert; klassizistischer Saalbau, Erweiterung 1860; romanischer Turm, frühes 12. Jahrhundert; zugehörig Kirchenbering, Wappenschild 1448 und Grabplatte 1540",49.814945,6.489555
"Lambertusstraße, Ecke Mindener Straße",Ralingen,"Schaftkreuz, frühes 17. Jahrhundert",49.815248,6.489969
Mindener Straße,Ralingen,"Wegekapelle; neugotisch, 1884",49.812882,6.494083
Mindener Straße 1,Ralingen,"Zollbeamtenwohnhaus; eingeschossiger Krüppelwalmdachbau, um 1920",49.814068,6.487992
Mühlenweg/In der Reih,Ralingen,"Katholische Filialkirche St. Nikolaus; neugotischer Saalbau, bezeichnet 1861; zugehörig Sakristei, Friedhof und Hangmauer",49.813957,6.499554
Im Flur 9,Ralingen,"ehemalige Schule; eingeschossiger Krüppelwalmdachbau, 1901",49.814707,6.498269
südlich der Ortslage am Ufer der Sauer,Ralingen,"Wegekreuz; Nischenkreuz, 1871",51.9335,12.225388
Hospitalstraße,Ralingen,"Knewelsbrunnen; Brunnenanlage, Quellfassung aus dem 19. Jahrhundert",49.791602,6.543868
Hospitalstraße 1,Ralingen,"ehemaliges Hofgut Kartäuserhof; später Echternacher Hof, seit dem frühen 19. Jahrhundert Vereinigte Hospitien Trier; Dreiseithof, bauliche Gesamtanlage; Wohnhaus und Ökonomie neubarock, um 1910",49.791136,6.543535
Hospitalstraße 2,Ralingen,"Katholische Filialkirche St. Antonius; romanischer Saalbau, 12. Jahrhundert",49.791456,6.543508
Hospitalstraße 7,Ralingen,"ehemaliges Echternacher Hofgut (Schultheißenhof); Dreiseithof; klassizistisches Wohnhaus, bezeichnet 1846; bauliche Gesamtanlage mit kleiner Hofkapelle im Garten",49.792625,6.544514
(an) Brunnenstraße 4,Ralingen,"Türsturz mit Wappen, bezeichnet 1776",49.816067,6.553192
Klemensstraße 12,Ralingen,"Katholische Filialkirche St. Klemens; romanische Chorturmkirche, 11. oder 12. Jahrhundert",52.731909,8.292672
Klemensstraße 14,Ralingen,"Streckhof; Wohnteil mit Krüppelwalmdach, bezeichnet 1822, Erweiterung um 1900",52.73192,8.292941
Im Sauertal,Ralingen,"Marienkapelle; Wegekapelle, bezeichnet 1897",49.787967,6.509714
Im Sauertal 3,Ralingen,"Quereinhaus, Ende des 18. Jahrhunderts",49.788385,6.510531
Jakobstraße,Ralingen,"Kirchborn oder Jakobusborn; Laufbrunnen, 1913",49.789996,6.515696
Jakobstraße 1,Ralingen,"Katholische Pfarrkirche St. Jakobus; neuromanische doppelchörige Basilika, 1901/03, Architekten Reinhold Wirtz und Wilhelm Schmitz; romanischer Ostquerbau, um 1100; zugehörig ummauerter Kirchhof (1901 neu angelegt, mit barocker Skulptur), Kirchborn und Pfarrhof (Lindenstraße 3) mit terrassierter Gartenanlage",49.788839,6.514457
(bei) Kirchstraße 16,Ralingen,"klassizistisches Altarkreuz, bezeichnet 1840",53.079989,7.396009
Lindenstraße 1,Ralingen,"Pfarrhaus; um 1800, Umbau 1908; zugehörig Hof und Garten mit Kreuzigungsgruppe, 19. Jahrhundert, romanische Sandsteinsäule",49.788508,6.513882
östlich der Ortslage an der K 8,Ralingen,"Wegekreuz; Säulenkreuz, bezeichnet 1861","",""
in der Feldflur südöstlich der Ortslage nahe der K 7,Ralingen,"Wegekreuz; Säulenkreuz, bezeichnet 1866","",""
