"Brückenstraße, an der Leukbrücke",Trassem,"Nischenkreuz, um 1600",49.581851,6.531183
Kehrbachstraße 2,Trassem,"Quereinhaus, Ende des 19. Jahrhunderts",49.576845,6.523467
Kehrbachstraße 10,Trassem,"Oberhauser Mühler; stattlicher klassizistischer Krüppelwalmdachbau, 1839, Mühlenteil-Aufstockung um 1910",49.576366,6.522317
(zwischen) Kehrbachstraße 16 und 18,Trassem,"Altarkreuz, erste Hälfte des 18. Jahrhunderts",49.576115,6.519119
"Kehrbachstraße, Ecke Saarburger Straße",Trassem,"Altarkreuz, bezeichnet 1710",49.576022,6.518634
Kirchstraße 5a,Trassem,"Katholische Pfarrkirche St. Erasmus; neugotischer Saalbau, 1893, Turm vom Ende des 17. Jahrhunderts; im Kirchhof gusseisernes Kreuz, bezeichnet 1890; Schaftkreuz, bezeichnet 1735 und 1739",49.575367,6.52353
(an) Kirchstraße 9,Trassem,"Schaftkreuz, Ende des 18. Jahrhunderts",49.575548,6.524149
Kirchstraße 25a/26,Trassem,"Haus des ehemaligen Kurtrierischen Grundgerichtsmeiers; Quereinhaus, um 1700, Erweiterung 1769",49.576804,6.525578
(bei) Saarburger Straße 1,Trassem,"Altarkreuz, bezeichnet 1724",49.581799,6.527904
Saarburger Straße 33,Trassem,"ehemalige Mädchenschule; sandsteingegliederter Walmdachbau, 1908/09",49.578989,6.526216
Saarburger Straße 64,Trassem,"Quereinhaus, um 1800",49.57573,6.524105
in der nördlichen Verlängerung der Mühlenstraße,Trassem,"Wegekreuz; Rotsandsteinschaftkreuz, bezeichnet 1735 (Aufsatz neu)",49.577587,6.524545
zwischen Trassem und Saarburg an der östlichen Anhöhe des Leuchachtals,Trassem,"Kreuzkapelle; Zentralbau bezeichnet 1704, Erneuerung bezeichnet 1815; Renaissance-Schaftkreuz bezeichnet 1577",49.577587,6.524545
